"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","query_id","query_symbol_count","query_mapped_symbol_count","query_entrez_count","background_symbol_count","background_mapped_symbol_count","background_entrez_count","clusterprofiler_pool","multiple_testing_scope"
"BP","GO:0007229","integrin-mediated signaling pathway","6/210","10/1569",0.00070673318294066,0.0179436249027444,0.0152747781049096,"Itga9/Col3a1/Lama2/Lama5/Slc2a10/Itgb4",6,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0009887","animal organ morphogenesis","33/210","144/1569",0.000707871818039399,0.0179436249027444,0.0152747781049096,"Mylk/Dsp/Foxp2/Runx2/Cdh1/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Eln/Gja1/Igf2/Jag2/Lama2/Lama3/Lama5/Nrg3/Pax1/Pkd1/Prrx1/Ptprm/Itgb4/Esrp1/Tgfbr3/Trp63/Ush2a/Wnt6/Robo2/Kif26b/Flrt2/Tacstd2/Perp",33,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0044085","cellular component biogenesis","48/210","235/1569",0.00071144478963308,0.0179436249027444,0.0152747781049096,"Mylk/Krt5/Acta1/Ahsg/Cdh1/Col3a1/Col1a2/Eln/Emp1/Epha7/Fga/Gja1/Kcnd2/Kcns1/Krt14/Krt19/Lama3/Lama5/Mapt/Myh11/Nefl/Nefm/Nrg3/Nrxn1/Ntrk1/Pkd1/Serpinf2/Itgb4/Snca/Tgfbr3/Tnnt3/Trp63/Lingo2/Lrrtm4/Cntn5/Mdga2/Negr1/Cdh18/Il1rapl1/Flrt2/Syt7/Pkp3/Srpk3/Tacstd2/Il1rapl2/Kirrel3/Nebl/Kcnb2",48,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0009925","basal plasma membrane","11/210","29/1569",0.000727237340704097,0.0179436249027444,0.0152747781049096,"Itga9/Dsp/Car2/Cdh1/Chrm3/Pkd1/Itgb4/Slc4a1/Trf/Dlg2/Tacstd2",11,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0005261","monoatomic cation channel activity","11/210","29/1569",0.000727237340704097,0.0179436249027444,0.0152747781049096,"Cacna2d3/Kcnd2/Kcns1/Pkd1/Trpv2/Trpm3/Kcnq5/Nalcn/Piezo2/Kcnip4/Kcnb2",11,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0042060","wound healing","11/210","29/1569",0.000727237340704097,0.0179436249027444,0.0152747781049096,"Mylk/Dsp/Col3a1/Fga/Krt6a/Anxa1/Serpinf2/Ppl/S100a9/Slc4a1/Syt7",11,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0015075","monoatomic ion transmembrane transporter activity","17/210","57/1569",0.000743140231582194,0.0179436249027444,0.0152747781049096,"Cacna2d3/Cpox/Gja1/Kcnd2/Kcns1/Pkd1/Slc4a1/Gabrp/Trpv2/Trpm3/Kcnq5/Nalcn/Piezo2/Slc25a37/Kcnip4/Atp1a2/Kcnb2",17,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0005581","collagen trimer","8/210","17/1569",0.000745450008411176,0.0179436249027444,0.0152747781049096,"Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Dcn/Col6a4/C1qtnf2",8,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0051259","protein complex oligomerization","8/210","17/1569",0.000745450008411176,0.0179436249027444,0.0152747781049096,"Col1a2/Kcnd2/Kcns1/Mapt/Pkd1/Snca/Trp63/Kcnb2",8,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0042995","cell projection","46/210","223/1569",0.000749716371972401,0.0179436249027444,0.0152747781049096,"Mylk/Grm5/Alk/Car2/Cdh1/Chrm3/Camp/Dbh/Epha7/Grm1/Hdc/Kcnd2/Lama2/Anxa1/Mapt/Nefl/Nefm/Nrxn1/Ntrk1/Pcsk2/Pkd1/Prph/Ptprm/Snca/Ctnna3/Gabrp/Trf/Trp63/Ush2a/Trpv2/Kcnq5/Dlg2/Cadm2/Cntn5/Robo2/Negr1/Il1rapl1/Flrt2/Rgs6/Syt7/Nts/Kirrel3/Myh14/Kcnip4/Atp1a2/Kcnb2",46,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
