pair_id,pearson,rmsd
"[""Col1a2"",""Gp6""]",0.997603775607906,0.026563842679582762
"[""Col1a2"",""Itga10_Itgb1""]",0.998567234054999,0.022745916554889407
"[""Col1a2"",""Itga11_Itgb1""]",0.9991104935130022,0.01636080218563345
"[""Col1a2"",""Itga1_Itgb1""]",0.9980917097868116,0.02396166065357387
"[""Col1a2"",""Itga2_Itgb1""]",0.9992884920169517,0.014528951395982792
"[""Col1a2"",""Itga3_Itgb1""]",0.9987022675780827,0.01984673325795733
"[""Col1a2"",""Itga9_Itgb1""]",0.99960630232658,0.010584181737787274
"[""Col1a2"",""Itgav_Itgb8""]",0.9994425322565378,0.012613372994915327
"[""Col1a2"",""Sdc1""]",0.9992597280790098,0.014759047479996667
"[""Col1a2"",""Sdc4""]",0.9973584230122897,0.03077324964941577
"[""Col2a1"",""Cd44""]",0.999734145345914,0.013666003230749641
"[""Col2a1"",""Gp6""]",0.9999662285495687,0.004320616165706276
"[""Col2a1"",""Itga10_Itgb1""]",0.9998604720214901,0.007360546157440859
"[""Col2a1"",""Itga11_Itgb1""]",0.9999061722106706,0.0055687879567974255
"[""Col2a1"",""Itga1_Itgb1""]",0.9999491401353132,0.004883388848540557
"[""Col2a1"",""Itga2_Itgb1""]",0.9999700744059119,0.003648598601432744
"[""Col2a1"",""Itga3_Itgb1""]",0.9999702816705731,0.0032851252342647875
"[""Col2a1"",""Itga9_Itgb1""]",0.9999803705759809,0.002741875511595035
"[""Col2a1"",""Itgav_Itgb8""]",0.9999655683875539,0.0031496082964452003
"[""Col2a1"",""Sdc1""]",0.9999245861711811,0.004787040284805874
"[""Col2a1"",""Sdc4""]",0.9998313418055329,0.007708618179012798
"[""Col4a1"",""Cd44""]",0.9866691277440954,0.08013133395975969
"[""Col4a1"",""Gp6""]",0.9986674975731478,0.019473235708532183
"[""Col4a1"",""Itga10_Itgb1""]",0.9990573057163741,0.017867655502139347
"[""Col4a1"",""Itga11_Itgb1""]",0.9994489740942211,0.012693852673296785
"[""Col4a1"",""Itga1_Itgb1""]",0.9986391608967018,0.02020970543931328
"[""Col4a1"",""Itga2_Itgb1""]",0.9996042495785953,0.010831254286424166
"[""Col4a1"",""Itga3_Itgb1""]",0.9992934537228517,0.014303339063917465
"[""Col4a1"",""Itga9_Itgb1""]",0.999780388866572,0.007869971512406308
"[""Col4a1"",""Itgav_Itgb8""]",0.9996812585889228,0.00932433755423857
"[""Col4a1"",""Sdc1""]",0.9996384825071654,0.010093138095692422
"[""Col4a1"",""Sdc4""]",0.998507502951671,0.021978646591030705
"[""Col4a2"",""Cd44""]",0.993678278072662,0.05181883318183696
"[""Col4a2"",""Gp6""]",0.9988467806572955,0.018044462915567574
"[""Col4a2"",""Itga10_Itgb1""]",0.999408110700563,0.013838330304029131
"[""Col4a2"",""Itga11_Itgb1""]",0.9996252671556638,0.010335807482100612
"[""Col4a2"",""Itga1_Itgb1""]",0.998914702734723,0.017940175766134686
"[""Col4a2"",""Itga2_Itgb1""]",0.9997437468054571,0.008589774203492807
"[""Col4a2"",""Itga3_Itgb1""]",0.9994718298529862,0.01224026043327396
"[""Col4a2"",""Itga9_Itgb1""]",0.999871499896849,0.005892940660149859
"[""Col4a2"",""Itgav_Itgb8""]",0.9998017736685321,0.007257148215623083
"[""Col4a2"",""Sdc1""]",0.9997570131593065,0.008168019895143623
"[""Col4a2"",""Sdc4""]",0.9989567874945181,0.018040913508737794
"[""Col4a3"",""Cd44""]",0.9771023552020458,0.12098091666052213
"[""Col4a3"",""Gp6""]",0.998989028445505,0.01668115943290324
"[""Col4a3"",""Itga10_Itgb1""]",0.9993800872370935,0.014078124917589493
"[""Col4a3"",""Itga11_Itgb1""]",0.9996388681141922,0.010136787767388276
"[""Col4a3"",""Itga1_Itgb1""]",0.9989536869219795,0.017483483785587946
"[""Col4a3"",""Itga2_Itgb1""]",0.9997971761406832,0.007548082264317486
"[""Col4a3"",""Itga3_Itgb1""]",0.9995307663897535,0.011492578686650832
"[""Col4a3"",""Itga9_Itgb1""]",0.9998894708234711,0.0054134077994557874
"[""Col4a3"",""Itgav_Itgb8""]",0.999802256903728,0.007268401982547747
"[""Col4a3"",""Sdc1""]",0.999771754089234,0.007943570407520775
"[""Col4a3"",""Sdc4""]",0.9989475156846885,0.018045624164974853
"[""Col4a4"",""Cd44""]",0.972676341570636,0.08917630245207712
"[""Col4a4"",""Gp6""]",0.9992340152489018,0.014718833177847255
"[""Col4a4"",""Itga10_Itgb1""]",0.9996365018212906,0.010928664030211395
"[""Col4a4"",""Itga11_Itgb1""]",0.9997776256907712,0.00799360283239064
"[""Col4a4"",""Itga1_Itgb1""]",0.9993615773719677,0.013779358137918455
"[""Col4a4"",""Itga2_Itgb1""]",0.9999115296198449,0.0050024181950222785
"[""Col4a4"",""Itga3_Itgb1""]",0.9997474192343372,0.008443280592686005
"[""Col4a4"",""Itga9_Itgb1""]",0.9999614515796765,0.003186624977382352
"[""Col4a4"",""Itgav_Itgb8""]",0.9998937773391501,0.005400305696124449
"[""Col4a4"",""Sdc1""]",0.9998808372744029,0.005781649064104726
"[""Col4a4"",""Sdc4""]",0.9993553082637836,0.014230328069537643
"[""Col4a5"",""Cd44""]",0.9930182754794004,0.051050488679984594
"[""Col4a5"",""Gp6""]",0.9976919860396279,0.025712792910599722
"[""Col4a5"",""Itga10_Itgb1""]",0.9986162461644537,0.020916341190825662
"[""Col4a5"",""Itga11_Itgb1""]",0.999206618659917,0.014996764446124073
"[""Col4a5"",""Itga1_Itgb1""]",0.9977034337557402,0.025967629652479774
"[""Col4a5"",""Itga2_Itgb1""]",0.9993118870550176,0.014011286842433251
"[""Col4a5"",""Itga3_Itgb1""]",0.9987391503371269,0.019014985748154797
"[""Col4a5"",""Itga9_Itgb1""]",0.9995586516802001,0.011013050634784437
"[""Col4a5"",""Itgav_Itgb8""]",0.9994528326173762,0.012188876372195089
"[""Col4a5"",""Sdc1""]",0.9993948727826496,0.012927742385492125
"[""Col4a5"",""Sdc4""]",0.9977369138615608,0.026409519014077426
"[""Col4a6"",""Cd44""]",0.9542665089822282,0.14636857198527478
"[""Col4a6"",""Gp6""]",0.9974381568474977,0.027054383867235784
"[""Col4a6"",""Itga10_Itgb1""]",0.997836004058504,0.027290036966245657
"[""Col4a6"",""Itga11_Itgb1""]",0.9988792228987688,0.018113176850419927
"[""Col4a6"",""Itga1_Itgb1""]",0.9973075846952665,0.0282769192765923
"[""Col4a6"",""Itga2_Itgb1""]",0.999117492628981,0.01600612611145018
"[""Col4a6"",""Itga3_Itgb1""]",0.9984708805456121,0.021107774781333157
"[""Col4a6"",""Itga9_Itgb1""]",0.9994069184832477,0.012910140870288049
"[""Col4a6"",""Itgav_Itgb8""]",0.9992177946858044,0.01472394037356257
"[""Col4a6"",""Sdc1""]",0.9991506628019667,0.0155680104131947
"[""Col4a6"",""Sdc4""]",0.9967780664651494,0.032415317254295896
"[""Col6a1"",""Cd44""]",0.993056688319898,0.040725019910024
"[""Col6a1"",""Gp6""]",0.9983317837705823,0.021688925798947534
"[""Col6a1"",""Itga10_Itgb1""]",0.9996119281301176,0.01122911221501162
"[""Col6a1"",""Itga11_Itgb1""]",0.9998207149536738,0.0074430908740385745
"[""Col6a1"",""Itga1_Itgb1""]",0.9990172166557144,0.01675399964382343
"[""Col6a1"",""Itga2_Itgb1""]",0.9998916084341579,0.005396125744147172
"[""Col6a1"",""Itga3_Itgb1""]",0.9996520085322967,0.010143365487314392
"[""Col6a1"",""Itga9_Itgb1""]",0.9999649967040809,0.00376023205330564
"[""Col6a1"",""Itgav_Itgb8""]",0.9999316375150721,0.005873032662913121
"[""Col6a1"",""Sdc1""]",0.9998955215060257,0.0062369528402837025
"[""Col6a1"",""Sdc4""]",0.9988758276122944,0.01919642018693877
"[""Col6a2"",""Cd44""]",0.9905548202868384,0.04677859648328344
"[""Col6a2"",""Gp6""]",0.9982105599418489,0.022639742092602153
"[""Col6a2"",""Itga10_Itgb1""]",0.9994303291240428,0.014052849929931981
"[""Col6a2"",""Itga11_Itgb1""]",0.9996931892332204,0.009651981722752551
"[""Col6a2"",""Itga1_Itgb1""]",0.9988548743155496,0.018226852971772612
"[""Col6a2"",""Itga2_Itgb1""]",0.9998283120573421,0.00689731370882416
"[""Col6a2"",""Itga3_Itgb1""]",0.9995238382506679,0.011875895196753418
"[""Col6a2"",""Itga9_Itgb1""]",0.9999388683209732,0.004357141499414319
"[""Col6a2"",""Itgav_Itgb8""]",0.9998815925035874,0.006573441168301188
"[""Col6a2"",""Sdc1""]",0.9998020638160806,0.00793519299493786
"[""Col6a2"",""Sdc4""]",0.9986151400689623,0.021641497861594437
"[""Col6a3"",""Cd44""]",0.9901472481258492,0.05850716145897195
"[""Col6a3"",""Gp6""]",0.9993059926796992,0.013530899198085084
"[""Col6a3"",""Itga10_Itgb1""]",0.9998451648560481,0.006927672467802507
"[""Col6a3"",""Itga11_Itgb1""]",0.9998806075824764,0.00583767932977282
"[""Col6a3"",""Itga1_Itgb1""]",0.9996570722927807,0.009481138735675876
"[""Col6a3"",""Itga2_Itgb1""]",0.9999586469113534,0.0034563356327975392
"[""Col6a3"",""Itga3_Itgb1""]",0.9998440075042143,0.00677950109399525
"[""Col6a3"",""Itga9_Itgb1""]",0.999985601912501,0.0027417454771492943
"[""Col6a3"",""Itgav_Itgb8""]",0.9999645591130549,0.004168712312359147
"[""Col6a3"",""Sdc1""]",0.9999203010457346,0.005164336203665402
"[""Col6a3"",""Sdc4""]",0.9995867893077713,0.011368622510795345
"[""Col6a4"",""Cd44""]",0.9932810092872816,0.06261301938086279
"[""Col6a4"",""Gp6""]",0.9996313004361288,0.013367428868412452
"[""Col6a4"",""Itga10_Itgb1""]",0.9994883193850995,0.013282631270488782
"[""Col6a4"",""Itga11_Itgb1""]",0.9998223914964524,0.007599022941572253
"[""Col6a4"",""Itga1_Itgb1""]",0.9997529520923907,0.008230062189488106
"[""Col6a4"",""Itga2_Itgb1""]",0.9999578571258807,0.004436388973068385
"[""Col6a4"",""Itga3_Itgb1""]",0.9999164221660254,0.007087357789108241
"[""Col6a4"",""Itga9_Itgb1""]",0.99996458343043,0.004416893225882466
"[""Col6a4"",""Itgav_Itgb8""]",0.9999329364779099,0.005835536493760838
"[""Col6a4"",""Sdc1""]",0.9999356857939125,0.005637855528238488
"[""Col6a4"",""Sdc4""]",0.9994435898437153,0.01519266544426263
"[""Col6a5"",""Cd44""]",0.9950413739796449,0.029874359800672646
