seed,time,cell_type,n_available,n_sampled
44,2.5,Jaw and tooth,6416,758
44,2.5,Kidney,261,28
44,2.5,Liver,5803,687
44,2.5,Lung,1541,198
44,2.5,Meninges,4086,462
44,2.5,Mesentery,2,0
44,2.5,Mesothelium,5,0
44,2.5,Mucosal epithelium,510,48
44,2.5,Muscle,1523,159
44,2.5,Pancreas,48,6
44,2.5,Smooth muscle,1274,149
44,2.5,Spinal cord,6591,786
44,2.5,Sympathetic nerve,25,4
44,3.0,Adipose tissue,1520,158
44,3.0,Adrenal gland,76,7
44,3.0,Blood vessel,130,9
44,3.0,Brain,27595,3183
44,3.0,Cartilage,1805,215
44,3.0,Cartilage primordium,1239,132
44,3.0,Cavity,12866,1479
44,3.0,Choroid plexus,703,91
44,3.0,Connective tissue,18703,2168
44,3.0,Dorsal root ganglion,2083,228
44,3.0,Epidermis,2710,288
44,3.0,Facial nerve,11,1
44,3.0,GI tract,396,34
44,3.0,Heart,4956,564
44,3.0,Inner ear,73,8
44,3.0,Jaw and tooth,6450,748
44,3.0,Kidney,342,43
44,3.0,Liver,6404,717
44,3.0,Lung,1686,184
44,3.0,Meninges,4441,491
44,3.0,Mucosal epithelium,623,66
44,3.0,Muscle,581,62
44,3.0,Olfactory epithelium,15,2
44,3.0,Pancreas,60,9
44,3.0,Smooth muscle,2167,245
44,3.0,Spinal cord,7526,868
44,3.0,Sympathetic nerve,4,0
