time,pair_id,ligand,receptor,pair,sender_type,receiver_type,ligand_mean,receptor_mean,communication_weight,lr_score,sender_expression_supported,receiver_expression_supported,expression_supported_edge,expression_source
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Meninges,0.004046232905238867,0.09415308386087418,0.6640291443072793,0.0002529720661855377,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Mesentery,0.004046232905238867,0.1379539668560028,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Mesothelium,0.004046232905238867,0.20694556832313538,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Mucosal epithelium,0.004046232905238867,0.16626812517642975,0.0010744504607939,7.228468183657897e-07,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Muscle,0.004046232905238867,0.183630108833313,0.0001786580752912,1.3274477024453108e-07,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Ovary,0.004046232905238867,0.09168989211320877,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Pancreas,0.004046232905238867,0.4485943019390106,0.0003705407740495,6.725748676593198e-07,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Sympathetic nerve,0.004046232905238867,0.09011421352624893,0.0005122917127712,1.8679339036558806e-07,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,Urogenital ridge,0.004046232905238867,0.22845786809921265,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Blood vessel,0.0023204274475574493,0.17154569923877716,0.1622328143678504,6.457828847761314e-05,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Brain,0.0023204274475574493,0.05539463087916374,0.0837512574826014,1.0765321473253655e-05,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Cartilage primordium,0.0023204274475574493,0.2643163502216339,38.353080758021385,0.023522976659586574,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Cavity,0.0023204274475574493,0.09909687936306,0.1569402034341152,3.608794761004759e-05,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Choroid plexus,0.0023204274475574493,0.06811472028493881,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Connective tissue,0.0023204274475574493,0.19814270734786987,1.2393096637011225,0.0005698045631545667,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Dorsal root ganglion,0.0023204274475574493,0.1345275193452835,0.8669564439100531,0.000270630292483544,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Epidermis,0.0023204274475574493,0.20572710037231445,0.1740806979769257,8.310174019283193e-05,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,GI tract,0.0023204274475574493,0.21195538341999054,0.0005523798576167,2.7167537758459786e-07,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Heart,0.0023204274475574493,0.08417846262454987,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Jaw and tooth,0.0023204274475574493,0.2186741679906845,0.7066108582130245,0.0003585467444556694,True,True,True,observed
