variant,metric,time,mean,sem,n
remove_YSL,w1,1.4,0.1299377975904499,0.0099945973133491,5
remove_YSL,w1,1.4500000000000002,0.1301660052467697,0.0098652812363843,5
remove_YSL,w1,1.5,0.1381750780617591,0.012788116375166,5
remove_YSL,w1,1.55,0.1438212803315749,0.0158918901703547,5
remove_YSL,w1,1.6,0.137965884079218,0.0149139816929358,5
remove_YSL,w1,1.65,0.1351909909299351,0.0177990084380875,5
remove_YSL,w1,1.7000000000000002,0.1423907985341755,0.0104569797676949,5
remove_YSL,w1,1.75,0.136996487616403,0.0137697048752756,5
remove_YSL,w1,1.8,0.1435219918558485,0.0133835110062112,5
remove_YSL,w1,1.85,0.1362595814958281,0.0173112288627273,5
remove_YSL,w1,1.9,0.1455315870535934,0.0165168951470561,5
remove_YSL,w1,1.95,0.1357359873715588,0.0177737731350017,5
remove_YSL,w1,2.0,0.1423887317234493,0.0142080418513079,5
remove_YSL,w1,2.0500000000000003,0.1435843494195467,0.0162269698706555,5
remove_YSL,w1,2.1,0.1395561165455939,0.0112780480798432,5
remove_YSL,w1,2.15,0.1441619199258755,0.0144748115634533,5
remove_YSL,w1,2.2,0.1435020898060578,0.0152870378192952,5
remove_YSL,w1,2.25,0.1352842793818651,0.0168570640529584,5
remove_YSL,w1,2.3000000000000003,0.1354216166687488,0.0140739674963102,5
remove_YSL,w1,2.35,0.1390968758732669,0.0094348542458556,5
remove_YSL,w1,2.4000000000000004,0.1367030197612511,0.0166253119557077,5
remove_YSL,w1,2.45,0.1400507167167577,0.0135916609837955,5
remove_YSL,w1,2.5,0.1460660099737619,0.0173504894422364,5
remove_YSL,w1,2.5500000000000003,0.1394611528609009,0.0196951559748997,5
remove_YSL,w1,2.6,0.1383033904296266,0.015782429640239,5
remove_YSL,w1,2.6500000000000004,0.1406868132924202,0.0124306554365083,5
remove_YSL,w1,2.7,0.1388345800508108,0.01736693606345,5
remove_YSL,w1,2.75,0.1330232952481946,0.0118454157003612,5
remove_YSL,w1,2.8000000000000003,0.1401908545225667,0.0129556110326409,5
remove_YSL,w1,2.85,0.1314261449927921,0.0125956719360922,5
remove_YSL,w1,2.9000000000000004,0.1389976695771982,0.0178777355157665,5
remove_YSL,w1,2.95,0.1380102461143426,0.0104593057525764,5
remove_YSL,w1,3.0,0.1294542221135185,0.0185680496656049,5
remove_YSL,w1,3.0500000000000003,0.134868436193031,0.0147079982814795,5
remove_YSL,w1,3.1,0.1453302363932202,0.0090392355691767,5
remove_YSL,w1,3.1500000000000004,0.1521461547202719,0.0106950162601461,5
remove_YSL,w1,3.2,0.1347398381747657,0.0124972170875881,5
remove_YSL,w1,3.25,0.1391454160605193,0.0067392420010252,5
remove_YSL,w1,3.3000000000000003,0.1281747039468247,0.0121947895247543,5
remove_YSL,w1,3.35,0.1474126935106669,0.0062141733517368,5
remove_YSL,w1,3.4000000000000004,0.1406483132408825,0.0102220426163305,5
remove_YSL,w1,3.45,0.1529571614255554,0.0132292916445665,5
remove_YSL,w1,3.5,0.147051716741495,0.0121304334996065,5
remove_YSL,w1,3.5500000000000003,0.1492880104486507,0.0172953932668246,5
remove_YSL,w1,3.6,0.1483481429196539,0.0139283013632084,5
remove_YSL,w1,3.65,0.1533459077786477,0.0101667604649558,5
remove_YSL,w1,3.7,0.1495493901511036,0.0108634942738362,5
remove_YSL,w1,3.75,0.1611539734888342,0.0113705365086148,5
remove_YSL,w1,3.8,0.1531609203289345,0.0119784198242191,5
remove_YSL,w1,3.85,0.1467485277691567,0.009271114067202,5
remove_YSL,w1,3.9,0.1618768437764035,0.0120494055320376,5
remove_YSL,w1,3.95,0.1598203696085059,0.0057050850674681,5
remove_YSL,w1,4.0,0.1688550929031581,0.0133016457434465,5
remove_EVL,w1,0.0,0.1121102604101638,6.938893903907228e-18,5
remove_EVL,w1,0.05,0.1143869628837163,0.0019575493232922,5
remove_EVL,w1,0.1,0.1184376973930789,0.0032876218157715,5
remove_EVL,w1,0.15,0.1211312888064003,0.0040841441605488,5
remove_EVL,w1,0.2,0.1243699256823228,0.0043590366846961,5
remove_EVL,w1,0.25,0.126675585330833,0.0025577063461985,5
remove_EVL,w1,0.3,0.1329155949265107,0.0028384351222695,5
remove_EVL,w1,0.35,0.1336201996498181,0.0033581813725676,5
remove_EVL,w1,0.4,0.1376210773594737,0.004900376479959,5
remove_EVL,w1,0.45,0.1416437535498214,0.0070263726336194,5
remove_EVL,w1,0.5,0.1448036447278217,0.0093516218994133,5
remove_EVL,w1,0.55,0.1484539471027167,0.0121748923873067,5
remove_EVL,w1,0.6000000000000001,0.1551262256731637,0.0114398562535488,5
remove_EVL,w1,0.65,0.1585082104001594,0.0118464027607469,5
remove_EVL,w1,0.7000000000000001,0.1604274219181967,0.0118860842422381,5
remove_EVL,w1,0.75,0.1638599477154078,0.0139405813630186,5
remove_EVL,w1,0.8,0.1686290968503892,0.013338180238804,5
remove_EVL,w1,0.8500000000000001,0.1704654648917075,0.0134106832675,5
remove_EVL,w1,0.9,0.1744348800120643,0.014262587698173,5
remove_EVL,w1,0.95,0.1757867508255049,0.0155884225636293,5
remove_EVL,w1,1.0,0.1779447766555747,0.0154057977223479,5
remove_EVL,w1,1.05,0.1806427371457183,0.0166671164509799,5
remove_EVL,w1,1.1,0.1830310408171782,0.0176410065425139,5
remove_EVL,w1,1.15,0.1848341690550412,0.017657242045019,5
remove_EVL,w1,1.2000000000000002,0.1873260831802082,0.0172851602679839,5
remove_EVL,w1,1.25,0.1907099756483024,0.0161236566938128,5
remove_EVL,w1,1.3,0.1914046765815278,0.0196237064199042,5
remove_EVL,w1,1.35,0.1957398105378177,0.0170380146265833,5
remove_EVL,w1,1.4,0.201006711637783,0.0156534508853218,5
remove_EVL,w1,1.4500000000000002,0.2031116514709129,0.0175559284477235,5
remove_EVL,w1,1.5,0.1983929667927736,0.015799400579514,5
remove_EVL,w1,1.55,0.1990907024557843,0.0156786998810635,5
remove_EVL,w1,1.6,0.2031779443451001,0.0186959191235955,5
remove_EVL,w1,1.65,0.1998314865989174,0.0147443990132161,5
remove_EVL,w1,1.7000000000000002,0.1954887600628384,0.0150900702561587,5
remove_EVL,w1,1.75,0.2006271081616367,0.0166698414610317,5
remove_EVL,w1,1.8,0.1870487097350832,0.017548650287233,5
remove_EVL,w1,1.85,0.1927736355782495,0.0164086866257502,5
remove_EVL,w1,1.9,0.195355523011776,0.0218385983553274,5
remove_EVL,w1,1.95,0.2024643340224126,0.0165333203000218,5
remove_EVL,w1,2.0,0.20202579352541,0.0172370041392323,5
remove_EVL,w1,2.0500000000000003,0.1975922811387485,0.0157643410362191,5
remove_EVL,w1,2.1,0.1873950863535336,0.0140610446224783,5
remove_EVL,w1,2.15,0.2093077324603587,0.0193553869454483,5
remove_EVL,w1,2.2,0.1956538596336373,0.0138199489964458,5
remove_EVL,w1,2.25,0.1998406770567903,0.0195712412619945,5
remove_EVL,w1,2.3000000000000003,0.2074287696262303,0.0162244716672362,5
remove_EVL,w1,2.35,0.210042432613373,0.0201370227924521,5
remove_EVL,w1,2.4000000000000004,0.20488326384589,0.0167840782388327,5
remove_EVL,w1,2.45,0.2120675050778666,0.0212633188870374,5
remove_EVL,w1,2.5,0.2004998349876496,0.0146926830444206,5
