profile,pair_id,ligand,receptor,cluster
Angptl4_Itgav_Itgb3,"[""Angptl4"",""Itgav_Itgb3""]",Angptl4,Itgav_Itgb3,1
Angptl4_Sdc1,"[""Angptl4"",""Sdc1""]",Angptl4,Sdc1,1
Angptl4_Sdc2,"[""Angptl4"",""Sdc2""]",Angptl4,Sdc2,1
Angptl4_Sdc3,"[""Angptl4"",""Sdc3""]",Angptl4,Sdc3,1
Angptl4_Sdc4,"[""Angptl4"",""Sdc4""]",Angptl4,Sdc4,1
Angptl7_Pirb,"[""Angptl7"",""Pirb""]",Angptl7,Pirb,1
Anxa1_Fpr1,"[""Anxa1"",""Fpr1""]",Anxa1,Fpr1,1
Anxa1_Fpr2,"[""Anxa1"",""Fpr2""]",Anxa1,Fpr2,1
Anxa1_Fpr2_Fpr3,"[""Anxa1"",""Fpr2_Fpr3""]",Anxa1,Fpr2_Fpr3,1
Apela_Aplnr,"[""Apela"",""Aplnr""]",Apela,Aplnr,1
Apln_Aplnr,"[""Apln"",""Aplnr""]",Apln,Aplnr,1
App_Cd74,"[""App"",""Cd74""]",App,Cd74,1
Areg_Egfr,"[""Areg"",""Egfr""]",Areg,Egfr,1
Areg_Egfr_Erbb2,"[""Areg"",""Egfr_Erbb2""]",Areg,Egfr_Erbb2,1
Artn_Gfra1_Ret,"[""Artn"",""Gfra1_Ret""]",Artn,Gfra1_Ret,1
Artn_Gfra3_Ret,"[""Artn"",""Gfra3_Ret""]",Artn,Gfra3_Ret,1
Avp_Avpr1a,"[""Avp"",""Avpr1a""]",Avp,Avpr1a,2
Bdnf_Ntrk2,"[""Bdnf"",""Ntrk2""]",Bdnf,Ntrk2,1
Bmp10_Acvrl1_Acvr2a,"[""Bmp10"",""Acvrl1_Acvr2a""]",Bmp10,Acvrl1_Acvr2a,1
Bmp10_Acvrl1_Bmpr2,"[""Bmp10"",""Acvrl1_Bmpr2""]",Bmp10,Acvrl1_Bmpr2,1
Bmp2_Bmpr1a_Acvr2a,"[""Bmp2"",""Bmpr1a_Acvr2a""]",Bmp2,Bmpr1a_Acvr2a,1
Bmp2_Bmpr1a_Acvr2b,"[""Bmp2"",""Bmpr1a_Acvr2b""]",Bmp2,Bmpr1a_Acvr2b,1
Bmp2_Bmpr1a_Bmpr2,"[""Bmp2"",""Bmpr1a_Bmpr2""]",Bmp2,Bmpr1a_Bmpr2,1
Bmp2_Bmpr1b_Acvr2a,"[""Bmp2"",""Bmpr1b_Acvr2a""]",Bmp2,Bmpr1b_Acvr2a,1
Bmp2_Bmpr1b_Acvr2b,"[""Bmp2"",""Bmpr1b_Acvr2b""]",Bmp2,Bmpr1b_Acvr2b,1
Bmp2_Bmpr1b_Bmpr2,"[""Bmp2"",""Bmpr1b_Bmpr2""]",Bmp2,Bmpr1b_Bmpr2,1
Bmp4_Bmpr1a_Acvr2a,"[""Bmp4"",""Bmpr1a_Acvr2a""]",Bmp4,Bmpr1a_Acvr2a,1
Bmp4_Bmpr1a_Acvr2b,"[""Bmp4"",""Bmpr1a_Acvr2b""]",Bmp4,Bmpr1a_Acvr2b,1
Bmp4_Bmpr1a_Bmpr2,"[""Bmp4"",""Bmpr1a_Bmpr2""]",Bmp4,Bmpr1a_Bmpr2,1
Bmp4_Bmpr1b_Acvr2a,"[""Bmp4"",""Bmpr1b_Acvr2a""]",Bmp4,Bmpr1b_Acvr2a,1
Bmp4_Bmpr1b_Acvr2b,"[""Bmp4"",""Bmpr1b_Acvr2b""]",Bmp4,Bmpr1b_Acvr2b,1
Bmp4_Bmpr1b_Bmpr2,"[""Bmp4"",""Bmpr1b_Bmpr2""]",Bmp4,Bmpr1b_Bmpr2,1
Bmp5_Acvr1_Acvr2a,"[""Bmp5"",""Acvr1_Acvr2a""]",Bmp5,Acvr1_Acvr2a,1
Bmp5_Acvr1_Acvr2b,"[""Bmp5"",""Acvr1_Acvr2b""]",Bmp5,Acvr1_Acvr2b,1
Bmp5_Acvr1_Bmpr2,"[""Bmp5"",""Acvr1_Bmpr2""]",Bmp5,Acvr1_Bmpr2,1
Bmp5_Bmpr1a_Acvr2a,"[""Bmp5"",""Bmpr1a_Acvr2a""]",Bmp5,Bmpr1a_Acvr2a,1
Bmp5_Bmpr1a_Acvr2b,"[""Bmp5"",""Bmpr1a_Acvr2b""]",Bmp5,Bmpr1a_Acvr2b,1
Bmp5_Bmpr1a_Bmpr2,"[""Bmp5"",""Bmpr1a_Bmpr2""]",Bmp5,Bmpr1a_Bmpr2,1
Bmp5_Bmpr1b_Acvr2a,"[""Bmp5"",""Bmpr1b_Acvr2a""]",Bmp5,Bmpr1b_Acvr2a,1
Bmp5_Bmpr1b_Acvr2b,"[""Bmp5"",""Bmpr1b_Acvr2b""]",Bmp5,Bmpr1b_Acvr2b,1
Bmp5_Bmpr1b_Bmpr2,"[""Bmp5"",""Bmpr1b_Bmpr2""]",Bmp5,Bmpr1b_Bmpr2,1
Bmp6_Acvr1_Acvr2a,"[""Bmp6"",""Acvr1_Acvr2a""]",Bmp6,Acvr1_Acvr2a,1
Bmp6_Acvr1_Acvr2b,"[""Bmp6"",""Acvr1_Acvr2b""]",Bmp6,Acvr1_Acvr2b,1
Bmp6_Acvr1_Bmpr2,"[""Bmp6"",""Acvr1_Bmpr2""]",Bmp6,Acvr1_Bmpr2,1
Bmp6_Bmpr1a_Acvr2a,"[""Bmp6"",""Bmpr1a_Acvr2a""]",Bmp6,Bmpr1a_Acvr2a,1
Bmp6_Bmpr1a_Acvr2b,"[""Bmp6"",""Bmpr1a_Acvr2b""]",Bmp6,Bmpr1a_Acvr2b,1
Bmp6_Bmpr1a_Bmpr2,"[""Bmp6"",""Bmpr1a_Bmpr2""]",Bmp6,Bmpr1a_Bmpr2,1
Bmp6_Bmpr1b_Acvr2a,"[""Bmp6"",""Bmpr1b_Acvr2a""]",Bmp6,Bmpr1b_Acvr2a,1
Bmp6_Bmpr1b_Acvr2b,"[""Bmp6"",""Bmpr1b_Acvr2b""]",Bmp6,Bmpr1b_Acvr2b,1
Bmp6_Bmpr1b_Bmpr2,"[""Bmp6"",""Bmpr1b_Bmpr2""]",Bmp6,Bmpr1b_Bmpr2,1
Bmp7_Acvr1_Acvr2a,"[""Bmp7"",""Acvr1_Acvr2a""]",Bmp7,Acvr1_Acvr2a,1
Bmp7_Acvr1_Acvr2b,"[""Bmp7"",""Acvr1_Acvr2b""]",Bmp7,Acvr1_Acvr2b,1
Bmp7_Acvr1_Bmpr2,"[""Bmp7"",""Acvr1_Bmpr2""]",Bmp7,Acvr1_Bmpr2,1
Bmp7_Bmpr1a_Acvr2a,"[""Bmp7"",""Bmpr1a_Acvr2a""]",Bmp7,Bmpr1a_Acvr2a,1
Bmp7_Bmpr1a_Acvr2b,"[""Bmp7"",""Bmpr1a_Acvr2b""]",Bmp7,Bmpr1a_Acvr2b,1
Bmp7_Bmpr1a_Bmpr2,"[""Bmp7"",""Bmpr1a_Bmpr2""]",Bmp7,Bmpr1a_Bmpr2,1
Bmp7_Bmpr1b_Acvr2a,"[""Bmp7"",""Bmpr1b_Acvr2a""]",Bmp7,Bmpr1b_Acvr2a,1
Bmp7_Bmpr1b_Acvr2b,"[""Bmp7"",""Bmpr1b_Acvr2b""]",Bmp7,Bmpr1b_Acvr2b,1
Bmp7_Bmpr1b_Bmpr2,"[""Bmp7"",""Bmpr1b_Bmpr2""]",Bmp7,Bmpr1b_Bmpr2,1
Bmp8a_Acvr1_Acvr2a,"[""Bmp8a"",""Acvr1_Acvr2a""]",Bmp8a,Acvr1_Acvr2a,1
Bmp8a_Acvr1_Acvr2b,"[""Bmp8a"",""Acvr1_Acvr2b""]",Bmp8a,Acvr1_Acvr2b,1
Bmp8a_Acvr1_Bmpr2,"[""Bmp8a"",""Acvr1_Bmpr2""]",Bmp8a,Acvr1_Bmpr2,1
Bmp8a_Bmpr1a_Acvr2a,"[""Bmp8a"",""Bmpr1a_Acvr2a""]",Bmp8a,Bmpr1a_Acvr2a,1
Bmp8a_Bmpr1a_Acvr2b,"[""Bmp8a"",""Bmpr1a_Acvr2b""]",Bmp8a,Bmpr1a_Acvr2b,1
Bmp8a_Bmpr1a_Bmpr2,"[""Bmp8a"",""Bmpr1a_Bmpr2""]",Bmp8a,Bmpr1a_Bmpr2,1
Bmp8a_Bmpr1b_Acvr2a,"[""Bmp8a"",""Bmpr1b_Acvr2a""]",Bmp8a,Bmpr1b_Acvr2a,1
Bmp8a_Bmpr1b_Acvr2b,"[""Bmp8a"",""Bmpr1b_Acvr2b""]",Bmp8a,Bmpr1b_Acvr2b,1
Bmp8a_Bmpr1b_Bmpr2,"[""Bmp8a"",""Bmpr1b_Bmpr2""]",Bmp8a,Bmpr1b_Bmpr2,1
Bmp8b_Acvr1_Acvr2a,"[""Bmp8b"",""Acvr1_Acvr2a""]",Bmp8b,Acvr1_Acvr2a,1
Bmp8b_Acvr1_Acvr2b,"[""Bmp8b"",""Acvr1_Acvr2b""]",Bmp8b,Acvr1_Acvr2b,1
Bmp8b_Acvr1_Bmpr2,"[""Bmp8b"",""Acvr1_Bmpr2""]",Bmp8b,Acvr1_Bmpr2,1
Bmp8b_Bmpr1a_Acvr2a,"[""Bmp8b"",""Bmpr1a_Acvr2a""]",Bmp8b,Bmpr1a_Acvr2a,1
Bmp8b_Bmpr1a_Acvr2b,"[""Bmp8b"",""Bmpr1a_Acvr2b""]",Bmp8b,Bmpr1a_Acvr2b,1
Bmp8b_Bmpr1a_Bmpr2,"[""Bmp8b"",""Bmpr1a_Bmpr2""]",Bmp8b,Bmpr1a_Bmpr2,1
Bmp8b_Bmpr1b_Acvr2a,"[""Bmp8b"",""Bmpr1b_Acvr2a""]",Bmp8b,Bmpr1b_Acvr2a,1
Bmp8b_Bmpr1b_Acvr2b,"[""Bmp8b"",""Bmpr1b_Acvr2b""]",Bmp8b,Bmpr1b_Acvr2b,1
Bmp8b_Bmpr1b_Bmpr2,"[""Bmp8b"",""Bmpr1b_Bmpr2""]",Bmp8b,Bmpr1b_Bmpr2,1
Btc_Egfr,"[""Btc"",""Egfr""]",Btc,Egfr,1
Btc_Egfr_Erbb2,"[""Btc"",""Egfr_Erbb2""]",Btc,Egfr_Erbb2,1
Btc_Erbb2_Erbb4,"[""Btc"",""Erbb2_Erbb4""]",Btc,Erbb2_Erbb4,1
Btc_Erbb4,"[""Btc"",""Erbb4""]",Btc,Erbb4,1
Btla_Tnfrsf14,"[""Btla"",""Tnfrsf14""]",Btla,Tnfrsf14,1
C3_C3ar1,"[""C3"",""C3ar1""]",C3,C3ar1,2
C3_Cr2,"[""C3"",""Cr2""]",C3,Cr2,1
C3_Itgam_Itgb2,"[""C3"",""Itgam_Itgb2""]",C3,Itgam_Itgb2,1
C3_Itgax_Itgb2,"[""C3"",""Itgax_Itgb2""]",C3,Itgax_Itgb2,1
C4b_Cr2,"[""C4b"",""Cr2""]",C4b,Cr2,1
Cadm1_Cadm1,"[""Cadm1"",""Cadm1""]",Cadm1,Cadm1,1
Cadm3_Cadm3,"[""Cadm3"",""Cadm3""]",Cadm3,Cadm3,3
Calca_Calcr,"[""Calca"",""Calcr""]",Calca,Calcr,1
Calca_Calcrl,"[""Calca"",""Calcrl""]",Calca,Calcrl,1
Calcb_Calcr,"[""Calcb"",""Calcr""]",Calcb,Calcr,2
Calcb_Calcrl,"[""Calcb"",""Calcrl""]",Calcb,Calcrl,1
Cck_Cckar,"[""Cck"",""Cckar""]",Cck,Cckar,1
Cck_Cckbr,"[""Cck"",""Cckbr""]",Cck,Cckbr,1
Ccl1_Ackr1,"[""Ccl1"",""Ackr1""]",Ccl1,Ackr1,2
Ccl1_Ackr4,"[""Ccl1"",""Ackr4""]",Ccl1,Ackr4,1
Ccl11_Ackr1,"[""Ccl11"",""Ackr1""]",Ccl11,Ackr1,2
Ccl11_Ackr2,"[""Ccl11"",""Ackr2""]",Ccl11,Ackr2,1
Ccl12_Ccr2,"[""Ccl12"",""Ccr2""]",Ccl12,Ccr2,1
Ccl17_Ackr1,"[""Ccl17"",""Ackr1""]",Ccl17,Ackr1,2
Ccl17_Ackr2,"[""Ccl17"",""Ackr2""]",Ccl17,Ackr2,1
Ccl17_Ccr4,"[""Ccl17"",""Ccr4""]",Ccl17,Ccr4,1
Ccl2_Ackr1,"[""Ccl2"",""Ackr1""]",Ccl2,Ackr1,1
Ccl2_Ackr2,"[""Ccl2"",""Ackr2""]",Ccl2,Ackr2,1
Ccl2_Ccr2,"[""Ccl2"",""Ccr2""]",Ccl2,Ccr2,1
Ccl20_Ccr6,"[""Ccl20"",""Ccr6""]",Ccl20,Ccr6,1
Ccl22_Ackr2,"[""Ccl22"",""Ackr2""]",Ccl22,Ackr2,1
Ccl22_Ccr4,"[""Ccl22"",""Ccr4""]",Ccl22,Ccr4,1
Ccl24_Ackr2,"[""Ccl24"",""Ackr2""]",Ccl24,Ackr2,1
Ccl25_Ackr4,"[""Ccl25"",""Ackr4""]",Ccl25,Ackr4,1
Ccl25_Ccr9,"[""Ccl25"",""Ccr9""]",Ccl25,Ccr9,1
Ccl27a_Ccr10,"[""Ccl27a"",""Ccr10""]",Ccl27a,Ccr10,1
Ccl27a_Ccr2,"[""Ccl27a"",""Ccr2""]",Ccl27a,Ccr2,2
Ccl28_Ccr10,"[""Ccl28"",""Ccr10""]",Ccl28,Ccr10,1
Ccl3_Ackr2,"[""Ccl3"",""Ackr2""]",Ccl3,Ackr2,1
Ccl3_Ccr1,"[""Ccl3"",""Ccr1""]",Ccl3,Ccr1,1
Ccl3_Ccr5,"[""Ccl3"",""Ccr5""]",Ccl3,Ccr5,1
Ccl4_Ackr2,"[""Ccl4"",""Ackr2""]",Ccl4,Ackr2,1
Ccl4_Ccr5,"[""Ccl4"",""Ccr5""]",Ccl4,Ccr5,1
Ccl5_Ackr1,"[""Ccl5"",""Ackr1""]",Ccl5,Ackr1,2
Ccl5_Ackr2,"[""Ccl5"",""Ackr2""]",Ccl5,Ackr2,1
Ccl5_Ccr1,"[""Ccl5"",""Ccr1""]",Ccl5,Ccr1,1
Ccl5_Ccr4,"[""Ccl5"",""Ccr4""]",Ccl5,Ccr4,1
Ccl5_Ccr5,"[""Ccl5"",""Ccr5""]",Ccl5,Ccr5,1
Ccl6_Ccr1,"[""Ccl6"",""Ccr1""]",Ccl6,Ccr1,2
Ccl6_Ccr2,"[""Ccl6"",""Ccr2""]",Ccl6,Ccr2,2
Ccl7_Ackr1,"[""Ccl7"",""Ackr1""]",Ccl7,Ackr1,1
Ccl7_Ccr1,"[""Ccl7"",""Ccr1""]",Ccl7,Ccr1,1
Ccl7_Ccr2,"[""Ccl7"",""Ccr2""]",Ccl7,Ccr2,1
Ccl9_Ccr1,"[""Ccl9"",""Ccr1""]",Ccl9,Ccr1,2
Cd1d1_Ceacam5,"[""Cd1d1"",""Ceacam5""]",Cd1d1,Ceacam5,1
Cd200_Cd200r1,"[""Cd200"",""Cd200r1""]",Cd200,Cd200r1,2
Cd200_Cd200r2,"[""Cd200"",""Cd200r2""]",Cd200,Cd200r2,1
Cd200_Cd200r3,"[""Cd200"",""Cd200r3""]",Cd200,Cd200r3,1
Cd200_Cd200r4,"[""Cd200"",""Cd200r4""]",Cd200,Cd200r4,2
Cd22_Ptprc,"[""Cd22"",""Ptprc""]",Cd22,Ptprc,1
Cd226_Nectin2,"[""Cd226"",""Nectin2""]",Cd226,Nectin2,1
Cd226_Pvr,"[""Cd226"",""Pvr""]",Cd226,Pvr,1
Cd274_Pdcd1,"[""Cd274"",""Pdcd1""]",Cd274,Pdcd1,1
Cd34_Selp,"[""Cd34"",""Selp""]",Cd34,Selp,1
Cd46_Jag1,"[""Cd46"",""Jag1""]",Cd46,Jag1,1
Cd52_Siglecg,"[""Cd52"",""Siglecg""]",Cd52,Siglecg,1
Cd6_Alcam,"[""Cd6"",""Alcam""]",Cd6,Alcam,1
Cd70_Cd27,"[""Cd70"",""Cd27""]",Cd70,Cd27,1
Cd80_Cd274,"[""Cd80"",""Cd274""]",Cd80,Cd274,1
Cd80_Cd28,"[""Cd80"",""Cd28""]",Cd80,Cd28,1
Cd80_Ctla4,"[""Cd80"",""Ctla4""]",Cd80,Ctla4,1
Cd86_Cd28,"[""Cd86"",""Cd28""]",Cd86,Cd28,1
Cd86_Ctla4,"[""Cd86"",""Ctla4""]",Cd86,Ctla4,1
Cd8a_Ceacam5,"[""Cd8a"",""Ceacam5""]",Cd8a,Ceacam5,1
Cd96_Nectin1,"[""Cd96"",""Nectin1""]",Cd96,Nectin1,1
Cd96_Pvr,"[""Cd96"",""Pvr""]",Cd96,Pvr,1
Cdh1_Cdh1,"[""Cdh1"",""Cdh1""]",Cdh1,Cdh1,1
Cdh1_Itga2_Itgb1,"[""Cdh1"",""Itga2_Itgb1""]",Cdh1,Itga2_Itgb1,1
Cdh1_Itgae_Itgb7,"[""Cdh1"",""Itgae_Itgb7""]",Cdh1,Itgae_Itgb7,1
Cdh1_Klrg1,"[""Cdh1"",""Klrg1""]",Cdh1,Klrg1,1
Cdh15_Cdh15,"[""Cdh15"",""Cdh15""]",Cdh15,Cdh15,1
Cdh2_Cdh2,"[""Cdh2"",""Cdh2""]",Cdh2,Cdh2,1
Cdh4_Cdh4,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,1
Cdh5_Cdh5,"[""Cdh5"",""Cdh5""]",Cdh5,Cdh5,1
Ceacam1_Ceacam5,"[""Ceacam1"",""Ceacam5""]",Ceacam1,Ceacam5,1
Cga_Fshr,"[""Cga"",""Fshr""]",Cga,Fshr,1
Cga_Lhcgr,"[""Cga"",""Lhcgr""]",Cga,Lhcgr,1
Cga_Tshr,"[""Cga"",""Tshr""]",Cga,Tshr,1
Chad_Itga2_Itgb1,"[""Chad"",""Itga2_Itgb1""]",Chad,Itga2_Itgb1,1
Clcf1_Cntfr_Lifr_Il6st,"[""Clcf1"",""Cntfr_Lifr_Il6st""]",Clcf1,Cntfr_Lifr_Il6st,1
Cldn11_Cldn11,"[""Cldn11"",""Cldn11""]",Cldn11,Cldn11,1
Clec2g_Klrb1,"[""Clec2g"",""Klrb1""]",Clec2g,Klrb1,1
Clec2g_Klrb1f,"[""Clec2g"",""Klrb1f""]",Clec2g,Klrb1f,1
Clec2h_Klrb1,"[""Clec2h"",""Klrb1""]",Clec2h,Klrb1,1
Clec2i_Klrb1,"[""Clec2i"",""Klrb1""]",Clec2i,Klrb1,1
Clec2i_Klrb1f,"[""Clec2i"",""Klrb1f""]",Clec2i,Klrb1f,1
Cntf_Cntfr_Lifr_Il6st,"[""Cntf"",""Cntfr_Lifr_Il6st""]",Cntf,Cntfr_Lifr_Il6st,1
Cntn1_Nrcam,"[""Cntn1"",""Nrcam""]",Cntn1,Nrcam,2
Cntn2_Cntn2,"[""Cntn2"",""Cntn2""]",Cntn2,Cntn2,2
Cntn2_Cntn2_Cntnap2,"[""Cntn2"",""Cntn2_Cntnap2""]",Cntn2,Cntn2_Cntnap2,2
Cntn2_L1cam,"[""Cntn2"",""L1cam""]",Cntn2,L1cam,2
Col1a1_Cd44,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,3
Col1a1_Gp6,"[""Col1a1"",""Gp6""]",Col1a1,Gp6,1
Col1a1_Itga10_Itgb1,"[""Col1a1"",""Itga10_Itgb1""]",Col1a1,Itga10_Itgb1,1
Col1a1_Itga11_Itgb1,"[""Col1a1"",""Itga11_Itgb1""]",Col1a1,Itga11_Itgb1,1
Col1a1_Itga1_Itgb1,"[""Col1a1"",""Itga1_Itgb1""]",Col1a1,Itga1_Itgb1,1
Col1a1_Itga2_Itgb1,"[""Col1a1"",""Itga2_Itgb1""]",Col1a1,Itga2_Itgb1,1
Col1a1_Itga3_Itgb1,"[""Col1a1"",""Itga3_Itgb1""]",Col1a1,Itga3_Itgb1,1
Col1a1_Itga9_Itgb1,"[""Col1a1"",""Itga9_Itgb1""]",Col1a1,Itga9_Itgb1,1
Col1a1_Itgav_Itgb8,"[""Col1a1"",""Itgav_Itgb8""]",Col1a1,Itgav_Itgb8,1
Col1a1_Sdc1,"[""Col1a1"",""Sdc1""]",Col1a1,Sdc1,1
Col1a1_Sdc4,"[""Col1a1"",""Sdc4""]",Col1a1,Sdc4,1
Col1a2_Cd44,"[""Col1a2"",""Cd44""]",Col1a2,Cd44,3
Col1a2_Gp6,"[""Col1a2"",""Gp6""]",Col1a2,Gp6,1
Col1a2_Itga10_Itgb1,"[""Col1a2"",""Itga10_Itgb1""]",Col1a2,Itga10_Itgb1,1
Col1a2_Itga11_Itgb1,"[""Col1a2"",""Itga11_Itgb1""]",Col1a2,Itga11_Itgb1,1
Col1a2_Itga1_Itgb1,"[""Col1a2"",""Itga1_Itgb1""]",Col1a2,Itga1_Itgb1,1
Col1a2_Itga2_Itgb1,"[""Col1a2"",""Itga2_Itgb1""]",Col1a2,Itga2_Itgb1,1
Col1a2_Itga3_Itgb1,"[""Col1a2"",""Itga3_Itgb1""]",Col1a2,Itga3_Itgb1,1
Col1a2_Itga9_Itgb1,"[""Col1a2"",""Itga9_Itgb1""]",Col1a2,Itga9_Itgb1,1
Col1a2_Itgav_Itgb8,"[""Col1a2"",""Itgav_Itgb8""]",Col1a2,Itgav_Itgb8,1
Col1a2_Sdc1,"[""Col1a2"",""Sdc1""]",Col1a2,Sdc1,1
Col1a2_Sdc4,"[""Col1a2"",""Sdc4""]",Col1a2,Sdc4,1
Col2a1_Cd44,"[""Col2a1"",""Cd44""]",Col2a1,Cd44,1
Col2a1_Gp6,"[""Col2a1"",""Gp6""]",Col2a1,Gp6,1
Col2a1_Itga10_Itgb1,"[""Col2a1"",""Itga10_Itgb1""]",Col2a1,Itga10_Itgb1,1
Col2a1_Itga11_Itgb1,"[""Col2a1"",""Itga11_Itgb1""]",Col2a1,Itga11_Itgb1,1
Col2a1_Itga1_Itgb1,"[""Col2a1"",""Itga1_Itgb1""]",Col2a1,Itga1_Itgb1,1
Col2a1_Itga2_Itgb1,"[""Col2a1"",""Itga2_Itgb1""]",Col2a1,Itga2_Itgb1,1
Col2a1_Itga3_Itgb1,"[""Col2a1"",""Itga3_Itgb1""]",Col2a1,Itga3_Itgb1,1
Col2a1_Itga9_Itgb1,"[""Col2a1"",""Itga9_Itgb1""]",Col2a1,Itga9_Itgb1,1
Col2a1_Itgav_Itgb8,"[""Col2a1"",""Itgav_Itgb8""]",Col2a1,Itgav_Itgb8,1
Col2a1_Sdc1,"[""Col2a1"",""Sdc1""]",Col2a1,Sdc1,1
Col2a1_Sdc4,"[""Col2a1"",""Sdc4""]",Col2a1,Sdc4,1
Col4a1_Cd44,"[""Col4a1"",""Cd44""]",Col4a1,Cd44,1
Col4a1_Gp6,"[""Col4a1"",""Gp6""]",Col4a1,Gp6,1
Col4a1_Itga10_Itgb1,"[""Col4a1"",""Itga10_Itgb1""]",Col4a1,Itga10_Itgb1,1
Col4a1_Itga11_Itgb1,"[""Col4a1"",""Itga11_Itgb1""]",Col4a1,Itga11_Itgb1,1
Col4a1_Itga1_Itgb1,"[""Col4a1"",""Itga1_Itgb1""]",Col4a1,Itga1_Itgb1,1
Col4a1_Itga2_Itgb1,"[""Col4a1"",""Itga2_Itgb1""]",Col4a1,Itga2_Itgb1,1
Col4a1_Itga3_Itgb1,"[""Col4a1"",""Itga3_Itgb1""]",Col4a1,Itga3_Itgb1,1
Col4a1_Itga9_Itgb1,"[""Col4a1"",""Itga9_Itgb1""]",Col4a1,Itga9_Itgb1,1
Col4a1_Itgav_Itgb8,"[""Col4a1"",""Itgav_Itgb8""]",Col4a1,Itgav_Itgb8,1
Col4a1_Sdc1,"[""Col4a1"",""Sdc1""]",Col4a1,Sdc1,1
Col4a1_Sdc4,"[""Col4a1"",""Sdc4""]",Col4a1,Sdc4,1
Col4a2_Cd44,"[""Col4a2"",""Cd44""]",Col4a2,Cd44,1
Col4a2_Gp6,"[""Col4a2"",""Gp6""]",Col4a2,Gp6,1
Col4a2_Itga10_Itgb1,"[""Col4a2"",""Itga10_Itgb1""]",Col4a2,Itga10_Itgb1,1
Col4a2_Itga11_Itgb1,"[""Col4a2"",""Itga11_Itgb1""]",Col4a2,Itga11_Itgb1,1
Col4a2_Itga1_Itgb1,"[""Col4a2"",""Itga1_Itgb1""]",Col4a2,Itga1_Itgb1,1
Col4a2_Itga2_Itgb1,"[""Col4a2"",""Itga2_Itgb1""]",Col4a2,Itga2_Itgb1,1
Col4a2_Itga3_Itgb1,"[""Col4a2"",""Itga3_Itgb1""]",Col4a2,Itga3_Itgb1,1
Col4a2_Itga9_Itgb1,"[""Col4a2"",""Itga9_Itgb1""]",Col4a2,Itga9_Itgb1,1
Col4a2_Itgav_Itgb8,"[""Col4a2"",""Itgav_Itgb8""]",Col4a2,Itgav_Itgb8,1
Col4a2_Sdc1,"[""Col4a2"",""Sdc1""]",Col4a2,Sdc1,1
Col4a2_Sdc4,"[""Col4a2"",""Sdc4""]",Col4a2,Sdc4,1
Col4a3_Cd44,"[""Col4a3"",""Cd44""]",Col4a3,Cd44,1
Col4a3_Gp6,"[""Col4a3"",""Gp6""]",Col4a3,Gp6,1
Col4a3_Itga10_Itgb1,"[""Col4a3"",""Itga10_Itgb1""]",Col4a3,Itga10_Itgb1,1
Col4a3_Itga11_Itgb1,"[""Col4a3"",""Itga11_Itgb1""]",Col4a3,Itga11_Itgb1,1
