time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,24.53499864270585,9.324495864185641,179,23,23,0,529,Liver,Liver
0.5,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,23.757243868120995,11.195990129171593,230,24,24,0,576,Liver,Liver
1.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,18.524023335028353,9.702461866389651,223,23,23,0,529,Liver,Liver
1.5,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,17.130982767158237,9.818835859954492,248,25,25,0,625,Liver,Liver
2.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,14.192455861282689,7.753735144931227,236,27,27,0,729,Liver,Liver
2.5,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,13.241653252778251,7.473526896106952,242,26,26,0,676,Liver,Liver
3.0,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,Agt_Agtr1a,11.502718885162531,6.702706430261137,246,26,26,0,676,Liver,Liver
0.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.69683949966647,0.23436521183563266,179,23,23,0,529,Cavity,Cavity
0.5,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.573766155619614,0.3405160865327909,230,24,24,0,576,Liver,Liver
1.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.2778275152785568,0.38318309400434886,223,23,23,0,529,Liver,Liver
1.5,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.2243380798177403,0.45584509284344565,248,25,25,0,625,Liver,Liver
2.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.1060735912158426,0.3985117056850953,236,27,27,0,729,Liver,Liver
2.5,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.1012458689506421,0.41452476210821426,242,26,26,0,676,Liver,Liver
3.0,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,Agt_Agtr1b,1.0503179466000025,0.41128411514894603,246,26,26,0,676,Liver,Liver
0.0,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,9.614215097789955,1.3324129231713293,179,23,23,0,529,Cartilage primordium,Cartilage primordium
0.5,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,8.875784144135343,1.7702948856668383,230,24,24,0,576,Liver,Liver
1.0,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,6.797993252639063,1.8981477843508379,223,23,23,0,529,Liver,Liver
1.5,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,6.103874825188546,2.1531836901840125,248,25,25,0,625,Liver,Liver
2.0,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,5.166615292337161,1.7524561316200362,236,27,27,0,729,Liver,Liver
2.5,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,4.716742875799617,1.7053105530948358,242,26,26,0,676,Liver,Liver
3.0,"[""Agt"",""Mas1""]",Agt,Mas1,Agt_Mas1,4.033011981000212,1.496222648570108,246,26,26,0,676,Liver,Liver
0.0,"[""Alcam"",""Cd6""]",Alcam,Cd6,Alcam_Cd6,60.66658934792579,8.208888899759305,179,23,23,0,529,Muscle,Muscle
0.5,"[""Alcam"",""Cd6""]",Alcam,Cd6,Alcam_Cd6,34.35815884972181,5.374682107337077,230,24,24,0,576,Muscle,Muscle
1.0,"[""Alcam"",""Cd6""]",Alcam,Cd6,Alcam_Cd6,18.384308681311765,2.580748607172374,223,23,23,0,529,Muscle,Muscle
1.5,"[""Alcam"",""Cd6""]",Alcam,Cd6,Alcam_Cd6,12.607580275670593,1.6106062627625441,248,25,25,0,625,Brain,Brain
2.0,"[""Alcam"",""Cd6""]",Alcam,Cd6,Alcam_Cd6,10.160504216918536,1.8490845860267808,236,27,27,0,729,Brain,Brain
2.5,"[""Alcam"",""Cd6""]",Alcam,Cd6,Alcam_Cd6,9.124180261775894,1.8761468861281325,242,26,26,0,676,Brain,Brain
3.0,"[""Alcam"",""Cd6""]",Alcam,Cd6,Alcam_Cd6,9.10784911029765,2.0162178004673774,246,26,26,0,676,Brain,Brain
0.0,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,Amh_Amhr2_Acvr1,0.46797194278078014,0.09376574267855396,179,23,23,0,529,Muscle,Muscle
0.5,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,Amh_Amhr2_Acvr1,0.2023884506484069,0.036916867456734906,230,24,24,0,576,Muscle,Muscle
1.0,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,Amh_Amhr2_Acvr1,0.08354267332512458,0.011550493480385808,223,23,23,0,529,Muscle,Muscle
1.5,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,Amh_Amhr2_Acvr1,0.04473756156317373,0.006056779130530656,248,25,25,0,625,Jaw and tooth,Jaw and tooth
2.0,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,Amh_Amhr2_Acvr1,0.02930090658775948,0.004028381370694538,236,27,27,0,729,Connective tissue,Connective tissue
2.5,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,Amh_Amhr2_Acvr1,0.023290644117625686,0.003602662211381551,242,26,26,0,676,Connective tissue,Connective tissue
