"ligand","target","weight","ligand_type","target_type","model_time","age_months","window"
"C1qb","Cd33",0.377182762570128,"Microglia","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"C3","Itgam",0.552472339061861,"Fibroblast","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"C3","Itgax",0.702538341419386,"Fibroblast","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Clu","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Fn1","Cd44",0.653771070756008,"Pericytes/Endothelial","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Lgals3bp","Cd33",0.533331866566671,"Fibroblast","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Spp1","Cd44",0.877495978441446,"Fibroblast","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Spp1","Itgb5",0.644074118622928,"Fibroblast","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
"Vcan","Cd44",0.809276861458011,"OPC","Microglia receptor",1.8,15.46,"t1p75_to_t1p80"
