"test_ligand","auroc","aupr","aupr_corrected","pearson","activity_rank","window","baseline_model_time","response_model_time","n_background","n_targets"
"Cdh4",0.503741496598639,0.155824444029584,0.010475606820282,0.00598198963155874,3,"t0p15_to_t0p20",0.15,0.2,344,50
"Clu",0.478707482993197,0.155013683908295,0.00966484669899315,-0.000896571157991557,4,"t0p15_to_t0p20",0.15,0.2,344,50
"Pecam1",0.487414965986395,0.152090362771385,0.00674152556208277,-0.00468929443485088,5,"t0p15_to_t0p20",0.15,0.2,344,50
"Col1a1",0.480612244897959,0.151416719380941,0.0060678821716382,-0.0117547514293666,6,"t0p15_to_t0p20",0.15,0.2,344,50
"Vcan",0.471904761904762,0.15123177591416,0.00588293870485798,-0.0133379831020838,7,"t0p15_to_t0p20",0.15,0.2,344,50
"Ccn2",0.475102040816326,0.149925741248424,0.0045769040391217,-0.0198106957574305,8,"t0p15_to_t0p20",0.15,0.2,344,50
"C1qa",0.464557823129251,0.149635095835768,0.00428625862646576,-0.0124581379751894,9,"t0p15_to_t0p20",0.15,0.2,344,50
"Fn1",0.470136054421769,0.1495758612442,0.00422702403489794,-0.0161113691754053,10,"t0p15_to_t0p20",0.15,0.2,344,50
"Nts",0.467755102040816,0.149393128239374,0.00404429103007117,0.0955723597714087,11,"t0p15_to_t0p20",0.15,0.2,344,50
"Sema3e",0.464353741496599,0.146727666884558,0.00137882967525577,-0.0248084621624898,12,"t0p15_to_t0p20",0.15,0.2,344,50
"Igf1",0.475170068027211,0.141078131136456,-0.00427070607284594,0.0158637606530644,13,"t0p15_to_t0p20",0.15,0.2,344,50
"Igf2",0.459591836734694,0.13944493230814,-0.00590390490116202,-0.0098200630783904,14,"t0p15_to_t0p20",0.15,0.2,344,50
"Cd300c2",0.489319727891156,0.139110598255516,-0.00623823895378661,-0.0180021500312564,15,"t0p15_to_t0p20",0.15,0.2,344,50
"Lcn2",0.494897959183674,0.138069300114544,-0.00727953709475876,-0.028058863116866,16,"t0p15_to_t0p20",0.15,0.2,344,50
"C1qb",0.478299319727891,0.137676780264262,-0.0076720569450402,-0.0140301273670012,17,"t0p15_to_t0p20",0.15,0.2,344,50
"C3",0.474421768707483,0.136702822674201,-0.00864601453510164,-0.0119561177578812,18,"t0p15_to_t0p20",0.15,0.2,344,50
"Spp1",0.485850340136054,0.134679344756588,-0.0106694924527139,-0.0317675259734921,19,"t0p15_to_t0p20",0.15,0.2,344,50
"Sema3d",0.482448979591836,0.134554752944694,-0.010794084264608,-0.0205117770588546,20,"t0p15_to_t0p20",0.15,0.2,344,50
"Apoe",0.475374149659863,0.134405153410101,-0.0109436837992018,-0.024296064507435,21,"t0p15_to_t0p20",0.15,0.2,344,50
"Ntng1",0.464557823129252,0.132708793972293,-0.0126400432370097,-0.0244511536077206,22,"t0p15_to_t0p20",0.15,0.2,344,50
"Lgals3bp",0.457959183673469,0.130144493314987,-0.0152043438943151,-0.0387671898274565,23,"t0p15_to_t0p20",0.15,0.2,344,50
"Dcn",0.564353741496598,0.209255265049598,0.0639064278402954,0.122212828112274,1,"t0p20_to_t0p25",0.2,0.25,344,50
"Sema3a",0.560884353741496,0.197780093938779,0.0524312567294767,0.106232710891952,2,"t0p20_to_t0p25",0.2,0.25,344,50
"Clu",0.558027210884353,0.194449910075983,0.0491010728666808,0.0968211201960312,3,"t0p20_to_t0p25",0.2,0.25,344,50
"C1qa",0.555374149659863,0.191344044483288,0.0459952072739859,0.0976203187147721,4,"t0p20_to_t0p25",0.2,0.25,344,50
"Pecam1",0.566530612244897,0.19124428939393,0.0458954521846272,0.092081948126884,5,"t0p20_to_t0p25",0.2,0.25,344,50
"Col1a1",0.554625850340136,0.189606493802272,0.0442576565929697,0.0879967560537576,6,"t0p20_to_t0p25",0.2,0.25,344,50
"Vcan",0.555102040816325,0.188302839001325,0.0429540017920231,0.0858326260748602,7,"t0p20_to_t0p25",0.2,0.25,344,50
"Igf2",0.535714285714286,0.188247503064304,0.0428986658550015,0.0508080925342142,8,"t0p20_to_t0p25",0.2,0.25,344,50
"Nts",0.56421768707483,0.187259398006908,0.0419105607976053,0.136754932804779,9,"t0p20_to_t0p25",0.2,0.25,344,50
"Cdh4",0.551360544217687,0.185023035494088,0.0396741982847856,0.0815415703101672,10,"t0p20_to_t0p25",0.2,0.25,344,50
"Fn1",0.550680272108843,0.18355105635759,0.0382022191482876,0.078300904090465,11,"t0p20_to_t0p25",0.2,0.25,344,50
"Cd300c2",0.577551020408162,0.183535180302033,0.0381863430927307,0.0266288189133679,12,"t0p20_to_t0p25",0.2,0.25,344,50
"Ccn2",0.56156462585034,0.183366316448041,0.0380174792387388,0.0788439600256685,13,"t0p20_to_t0p25",0.2,0.25,344,50
"Sema3e",0.545238095238095,0.18132759240565,0.0359787551963474,0.0663305867023638,14,"t0p20_to_t0p25",0.2,0.25,344,50
"C3",0.560748299319728,0.177266249571791,0.0319174123624889,0.0874077845059021,15,"t0p20_to_t0p25",0.2,0.25,344,50
"C1qb",0.56204081632653,0.177096595559872,0.03174775835057,0.0841202244911164,16,"t0p20_to_t0p25",0.2,0.25,344,50
"Lcn2",0.582857142857142,0.176335278618152,0.0309864414088502,0.0190683622055842,17,"t0p20_to_t0p25",0.2,0.25,344,50
"Apoe",0.558163265306122,0.174627849619729,0.0292790124104264,0.0511549513586878,18,"t0p20_to_t0p25",0.2,0.25,344,50
"Igf1",0.566326530612244,0.173970940666482,0.0286221034571799,0.0677974311268088,19,"t0p20_to_t0p25",0.2,0.25,344,50
"Spp1",0.576938775510203,0.171384140986165,0.0260353037768629,0.0168271304153199,20,"t0p20_to_t0p25",0.2,0.25,344,50
"Ntng1",0.546122448979591,0.171287402641598,0.0259385654322958,0.0780292206689419,21,"t0p20_to_t0p25",0.2,0.25,344,50
"Sema3d",0.551428571428571,0.165225161491527,0.0198763242822246,0.0564664333029085,22,"t0p20_to_t0p25",0.2,0.25,344,50
"Lgals3bp",0.53095238095238,0.16166534190378,0.0163165046944772,0.0344717610651581,23,"t0p20_to_t0p25",0.2,0.25,344,50
"Dcn",0.534081632653061,0.192046963109057,0.0466981258997551,0.0890189962196673,1,"t0p25_to_t0p30",0.25,0.3,344,50
"Lgals3bp",0.526394557823129,0.184890803253676,0.0395419660443736,0.0855524622059141,2,"t0p25_to_t0p30",0.25,0.3,344,50
"Sema3a",0.534693877551021,0.179078258245491,0.0337294210361883,0.070762086611951,3,"t0p25_to_t0p30",0.25,0.3,344,50
"Pecam1",0.534829931972789,0.173827686880417,0.0284788496711147,0.0607341644375949,4,"t0p25_to_t0p30",0.25,0.3,344,50
"Clu",0.514965986394557,0.173251798758867,0.0279029615495644,0.0495800225142947,5,"t0p25_to_t0p30",0.25,0.3,344,50
"Cdh4",0.538231292517007,0.172028814863746,0.0266799776544439,0.0593400446845982,6,"t0p25_to_t0p30",0.25,0.3,344,50
"Col1a1",0.525442176870748,0.1717796856477,0.0264308484383975,0.0499912530512602,7,"t0p25_to_t0p30",0.25,0.3,344,50
"Vcan",0.52265306122449,0.171411349296139,0.0260625120868363,0.0477762279399951,8,"t0p25_to_t0p30",0.25,0.3,344,50
"Cd300c2",0.57156462585034,0.171297509964822,0.0259486727555197,0.0200573507342828,9,"t0p25_to_t0p30",0.25,0.3,344,50
"C1qa",0.518843537414966,0.171082601978455,0.0257337647691532,0.0548532316706143,10,"t0p25_to_t0p30",0.25,0.3,344,50
"Nts",0.510816326530612,0.170414145013623,0.025065307804321,0.119413474045705,11,"t0p25_to_t0p30",0.25,0.3,344,50
"Ccn2",0.508163265306122,0.166860264291535,0.0215114270822332,0.0296834874926498,12,"t0p25_to_t0p30",0.25,0.3,344,50
"Fn1",0.512857142857143,0.164842881989316,0.0194940447800136,0.0378791223634593,13,"t0p25_to_t0p30",0.25,0.3,344,50
"Sema3e",0.512108843537415,0.163249309559979,0.0179004723506769,0.0285930252016971,14,"t0p25_to_t0p30",0.25,0.3,344,50
"Igf2",0.501836734693877,0.163157798940395,0.0178089617310924,0.0216040573718024,15,"t0p25_to_t0p30",0.25,0.3,344,50
"Lcn2",0.54639455782313,0.159534198030701,0.0141853608213986,0.002863575537936,16,"t0p25_to_t0p30",0.25,0.3,344,50
"C3",0.527006802721088,0.159269520419754,0.013920683210452,0.0539623691105487,17,"t0p25_to_t0p30",0.25,0.3,344,50
"Ntng1",0.527891156462585,0.158714346662596,0.0133655094532933,0.0486180217562398,18,"t0p25_to_t0p30",0.25,0.3,344,50
"C1qb",0.525374149659864,0.157878039335975,0.0125292021266724,0.0464989248151356,19,"t0p25_to_t0p30",0.25,0.3,344,50
"Spp1",0.54469387755102,0.156710718325618,0.0113618811163156,0.0014663540599405,20,"t0p25_to_t0p30",0.25,0.3,344,50
"Apoe",0.518503401360545,0.153682691538499,0.00833385432919712,0.0184919111422802,21,"t0p25_to_t0p30",0.25,0.3,344,50
"Igf1",0.516530612244898,0.152955448375195,0.00760661116589278,0.0236219877004335,22,"t0p25_to_t0p30",0.25,0.3,344,50
"Sema3d",0.527959183673469,0.151729181314423,0.00638034410512045,0.0278577784328343,23,"t0p25_to_t0p30",0.25,0.3,344,50
"C1qb",0.537142857142858,0.220400425165513,0.0750515879562102,0.107514869510237,1,"t0p30_to_t0p35",0.3,0.35,344,50
"Dcn",0.549115646258504,0.217137746077069,0.0717889088677665,0.111493339910229,2,"t0p30_to_t0p35",0.3,0.35,344,50
"Sema3a",0.56312925170068,0.213436237661183,0.0680874004518806,0.106395933813039,3,"t0p30_to_t0p35",0.3,0.35,344,50
"Nts",0.538775510204082,0.207084762685201,0.0617359254758987,0.142253544037288,4,"t0p30_to_t0p35",0.3,0.35,344,50
