gene,cluster,temporal_variance,peak_time
Npy2r,4,0.0005481218702623,2.5
Nr2f2,2,4.361202047660855,0.0
Nrep,2,30.71722815148708,0.0
Nrn1,1,29.065850732820973,0.0
Nrp2,1,0.002832756548159,0.1
Ntng1,2,0.0312588628830952,0.0
Nts,1,0.0011190479689856,0.0
Ntsr2,1,37.67363509332515,0.0
Nwd2,1,0.0116803006984746,0.0
Nxph3,1,0.0022877984833205,0.0
Oasl2,4,0.0057900004989566,2.5
Olfml3,4,0.00065914533704,2.5
Olig2,2,0.0185770908858561,0.0
Opalin,1,0.0009346362656262,0.0
Opn3,4,4.474489787886026e-05,2.5
Orai2,2,0.0129908905997503,0.0
Osmr,4,0.0139978418254466,2.5
P2ry12,4,166.12537463753037,2.5
P2ry13,4,0.4332214067359293,2.5
Paqr5,4,6.984831065455794e-05,2.5
Parm1,2,0.013800809454615,0.0
Pcsk5,1,0.0009306295665595,0.0
Pde11a,2,4.458321804536332e-05,0.0
Pde7b,1,0.3865552917511429,0.1
Pdgfra,4,0.5963561382712985,2.5
Pdyn,1,0.0003142938444555,0.1
Pdzd2,1,0.2216239734954201,0.7
Pdzrn3,2,0.0043144535324974,0.0
Pecam1,2,0.0010279169597976,0.0
Penk,1,0.2674373559712838,0.4
Pglyrp1,1,7.503529433012642e-06,0.6
Picalm,1,71.32391802629137,0.0
Pip5k1b,2,0.0255967646812265,0.0
Pkib,4,0.0022410873290382,2.5
Plch1,2,0.0005365032818492,0.0
Plcxd2,1,0.8901099368404635,0.4
Plcxd3,1,0.0110293283821091,1.3
Plekha2,3,0.0074378475767409,1.1
Plekhb1,4,30.58255241488344,2.5
Pln,2,5.3782744253863424e-06,0.0
Plp1,2,16.726695736007667,0.0
Pou3f1,1,0.0013272157712881,0.3
Ppp1r1b,1,3.435361687535426,0.4
Prdm8,2,0.0222766753918889,0.0
Prdx6,4,280.5621708168204,2.5
Prox1,2,0.0371069427068211,0.0
Prph,4,0.0411702103316643,2.5
Prr16,1,0.0177341245419579,0.0
Prss35,4,0.000117969069696,2.5
Pthlh,1,1.283887666105489e-05,0.0
Ptx3,4,4.578282009001915e-05,2.5
Pvalb,1,0.2140902492895928,0.0
Rab3b,1,0.0052321833770261,0.0
Rasgrf2,2,0.1434706680424965,0.0
Rasl10a,1,0.0041593227612442,0.8
Rbp4,4,0.0003578989214159,2.5
Rfx4,2,0.010460164390181,0.0
Rims3,1,13.911553725820848,0.0
Rmst,2,46.82573366567083,0.0
Rnf152,2,0.0027008345677788,0.0
Ror1,4,7.800935925303153e-05,2.5
Rorb,1,5.842381977558792,0.0
Rprm,2,0.0428109658009367,0.0
Rspo1,1,0.0032504212048624,0.0
Rspo2,4,0.0001816036853344,2.5
Rxfp1,4,4.313580649038453e-05,2.5
S100a6,4,1.5922600515558043,2.5
Satb2,1,0.2341059493183611,0.0
Sdk2,1,0.0014853707050483,0.0
Sema3a,1,0.0188570143256479,0.0
Sema3d,4,0.0011609515824388,2.5
Sema3e,3,0.0019586102857239,0.8
Sema5b,1,0.000415523856487,0.1
Sema6a,2,0.0216326976611643,0.0
Serpina3n,4,2.5042917633500426,2.5
Shisa6,4,0.0049170404893867,2.5
Siglech,4,15.901557893577356,2.5
Sipa1l3,1,0.0048034196717071,0.8
Sla,4,0.0007357692524174,2.5
Slc13a4,4,0.0066458269152983,2.5
Slc17a6,1,0.3819620739659253,0.0
Slc17a7,1,28.50614368995654,0.0
Slc39a12,1,0.1041026659539497,0.0
Slc44a5,4,0.0011490143842769,2.5
Slc6a3,4,8.945026927748505e-07,2.5
Slco2b1,4,0.1638367638714171,2.5
Slfn5,1,0.0001409846186374,0.0
Slit2,2,0.005005022559396,0.0
Sncg,4,0.0008896062235214,2.5
Sntb1,4,8.579469588852298e-05,2.5
Sorcs3,1,0.0225579602304812,0.6
Sorl1,2,7.315374032845569,0.0
Sox10,2,0.0030185017053079,0.0
Sox11,1,0.1946119888534851,0.0
Sox17,4,0.0001351566845302,2.5
Spag16,4,0.0030543738467515,2.5
Sparcl1,1,3565.230036482453,0.0
Spi1,4,0.0104490165853267,2.5
Spp1,4,0.0033258914627797,2.5
Srgn,4,0.0025008953586691,2.5
Sst,1,0.001302522620867,0.0
Stard5,4,0.0002776594807196,2.5
Stat3,4,1.4033297455045142,2.5
Strip2,3,0.0335625537893355,0.9
Syndig1,1,0.0340581576756174,0.1
Syngr1,1,14.99408343880098,0.0
Syt17,2,0.0094805839411768,0.0
Syt2,1,0.0251189727099554,0.5
Syt6,1,0.0298729804190891,0.4
Tacr1,1,5.448217490743962e-05,0.0
Tanc1,3,0.0008404160577691,0.8
Tgfbr1,4,0.0479484739069007,2.5
Tgm1,4,0.0003912511453861,2.5
Th,4,1.1578435205517012e-05,2.5
Thsd7a,2,0.0315809291205612,0.0
Tle4,1,0.2823508504568475,0.0
Tmem119,4,0.7838273306979964,2.5
Tmem132d,1,0.0240504443573231,0.1
Tmem163,1,0.0055991494046343,0.0
Tmem255a,2,0.0024255974446892,0.0
Tnf,4,3.89024688433955e-06,2.5
Tox,2,0.0735424124674168,0.0
Tppp3,2,0.4918695838465543,0.0
Trbc2,1,0.0002710671405576,0.0
Trem2,4,45.78520588391627,2.5
Trp73,4,0.0003329344977779,2.5
Trpc4,2,0.0013318707483717,0.0
Tyrobp,4,6.713693689153798,2.5
Unc13c,1,0.0113451104182079,0.0
Vat1l,1,0.1068932347126263,0.0
Vcan,4,0.0038813009436305,2.5
Vim,4,61.81208573262632,2.5
Vip,1,0.0002488481868811,0.0
Vwc2l,2,0.0005042711912678,0.0
Wfs1,1,0.2185709787580185,0.1
Zfp366,1,5.650880173450701e-05,0.1
Zfp536,1,0.0423796860958463,0.8
Zfpm2,2,0.002940583902873,0.0
