time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver,cluster,representativeness_rank_within_pattern,distance_to_pattern_prototype,display_order
0.0,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,2.9366881947497907,0.777815795540594,164,18,18,0,324,wntEGC,wntEGC,1,6,0.38919862878722733,6
0.5,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,4.298770432019671,1.5683183106485656,120,19,19,0,361,wntEGC,wntEGC,1,6,0.38919862878722733,6
1.0,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,3.785823598376162,1.2622551842189196,140,19,19,0,361,wntEGC,wntEGC,1,6,0.38919862878722733,6
1.5,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,6.477090826040572,2.2339379854732058,126,19,19,0,361,wntEGC,wntEGC,1,6,0.38919862878722733,6
2.0,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,4.765946586529404,1.2643663989580851,190,18,18,0,324,sfrpEGC,wntEGC,1,6,0.38919862878722733,6
2.5,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,5.937451957582804,1.3913674384229469,191,22,22,0,484,sfrpEGC,sfrpEGC,1,6,0.38919862878722733,6
3.0,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,3.946958260767422,1.1183132732111087,224,21,21,0,441,wntEGC,wntEGC,1,6,0.38919862878722733,6
3.5,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,8.408507991967472,1.743329917893238,197,21,21,0,441,sfrpEGC,sfrpEGC,1,6,0.38919862878722733,6
4.0,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,SEMA6A_PLXNA4,5.353406558538279,2.1288356738717598,163,20,20,0,400,wntEGC,wntEGC,1,6,0.38919862878722733,6
0.0,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.0511529767044425,0.0172356033757904,135,18,18,0,324,sfrpEGC,sfrpEGC,1,7,0.3929774632560063,7
0.5,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.0717414411026866,0.0199885946010298,120,19,19,0,361,wntEGC,wntEGC,1,7,0.3929774632560063,7
1.0,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.0791970339173724,0.0244427022366558,136,19,19,0,361,sfrpEGC,wntEGC,1,7,0.3929774632560063,7
1.5,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.103536391306866,0.0285412831045185,126,19,19,0,361,wntEGC,wntEGC,1,7,0.3929774632560063,7
2.0,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.0402592481390854,0.0085583621905752,164,18,18,0,324,sfrpEGC,sfrpEGC,1,7,0.3929774632560063,7
2.5,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.0997624711544897,0.0301342109637108,191,22,22,0,484,sfrpEGC,sfrpEGC,1,7,0.3929774632560063,7
3.0,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.0589105392782678,0.0077853945989866,214,21,21,0,441,MCG,sfrpEGC,1,7,0.3929774632560063,7
3.5,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.1460034275961918,0.0390061963234115,197,21,21,0,441,sfrpEGC,sfrpEGC,1,7,0.3929774632560063,7
4.0,"[""WNT10B"",""FZD3_LRP6""]",WNT10B,FZD3_LRP6,WNT10B_FZD3_LRP6,0.0985120357022437,0.0338703361611013,148,20,20,0,400,sfrpEGC,sfrpEGC,1,7,0.3929774632560063,7
0.0,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.5816428481266377,0.1815060982770933,156,18,18,0,324,wntEGC,wntEGC,1,8,0.39305744438361284,8
0.5,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.5104666784470435,0.1853302691242434,120,19,19,0,361,wntEGC,wntEGC,1,8,0.39305744438361284,8
1.0,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.4637271089233996,0.1577836882696948,139,19,19,0,361,wntEGC,wntEGC,1,8,0.39305744438361284,8
1.5,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.7494295755731327,0.2778323097883062,126,19,19,0,361,wntEGC,wntEGC,1,8,0.39305744438361284,8
2.0,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.5906460294256625,0.1877492803922996,190,18,18,0,324,sfrpEGC,sfrpEGC,1,8,0.39305744438361284,8
2.5,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.7023737743146607,0.2018013164409097,191,22,22,0,484,sfrpEGC,sfrpEGC,1,8,0.39305744438361284,8
3.0,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.3584555256911448,0.0896117387384326,224,21,21,0,441,sfrpEGC,sfrpEGC,1,8,0.39305744438361284,8
3.5,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,1.080159469422995,0.2671061116960913,197,21,21,0,441,sfrpEGC,sfrpEGC,1,8,0.39305744438361284,8
4.0,"[""SEMA4A"",""PLXNB3""]",SEMA4A,PLXNB3,SEMA4A_PLXNB3,0.880688875283558,0.3026776375079656,163,20,20,0,400,wntEGC,wntEGC,1,8,0.39305744438361284,8
0.0,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.0244096201085008,0.0038775324550045,159,18,18,0,324,ribEGC,wntEGC,1,9,0.39596583820753184,9
0.5,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.048321216750933,0.0151791561300849,120,19,19,0,361,wntEGC,wntEGC,1,9,0.39596583820753184,9
1.0,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.0393701221206308,0.0128413187342452,140,19,19,0,361,wntEGC,wntEGC,1,9,0.39596583820753184,9
1.5,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.0777858120023685,0.0252384949385026,126,19,19,0,361,wntEGC,wntEGC,1,9,0.39596583820753184,9
2.0,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.06107672075148,0.0233079890202639,190,18,18,0,324,wntEGC,wntEGC,1,9,0.39596583820753184,9
2.5,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.0574001954399141,0.0115204288297193,191,22,22,0,484,sfrpEGC,sfrpEGC,1,9,0.39596583820753184,9
3.0,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.0339285784592851,0.0080078628477302,218,21,21,0,441,wntEGC,wntEGC,1,9,0.39596583820753184,9
3.5,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.1059499723185962,0.0173679234444737,197,21,21,0,441,sfrpEGC,sfrpEGC,1,9,0.39596583820753184,9
4.0,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,0.0624052887831288,0.0126828860870784,148,20,20,0,400,MCG,wntEGC,1,9,0.39596583820753184,9
0.0,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0269624095844326,0.0081475514851493,135,18,18,0,324,reaEGC,reaEGC,1,10,0.40940485929948706,10
0.5,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.050523509733033,0.0145189883983514,120,19,19,0,361,wntEGC,wntEGC,1,10,0.40940485929948706,10
1.0,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0545339410797562,0.0161101515618315,139,19,19,0,361,sfrpEGC,wntEGC,1,10,0.40940485929948706,10
1.5,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0833323254300423,0.0243267263853169,126,19,19,0,361,wntEGC,wntEGC,1,10,0.40940485929948706,10
2.0,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0539082087441212,0.0095547775548996,190,18,18,0,324,sfrpEGC,tlNBL,1,10,0.40940485929948706,10
2.5,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0825504614327419,0.0237679219557347,191,22,22,0,484,sfrpEGC,sfrpEGC,1,10,0.40940485929948706,10
3.0,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0462569536439439,0.0126239393174325,213,21,21,0,441,sfrpEGC,sfrpEGC,1,10,0.40940485929948706,10
3.5,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0974124670443983,0.0228104546347824,197,21,21,0,441,sfrpEGC,sfrpEGC,1,10,0.40940485929948706,10
4.0,"[""LAMC1"",""ITGA9_ITGB1""]",LAMC1,ITGA9_ITGB1,LAMC1_ITGA9_ITGB1,0.0637003626192105,0.021309574037013,150,20,20,0,400,sfrpEGC,wntEGC,1,10,0.40940485929948706,10
0.0,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0436469552964601,0.0284684745742583,102,18,18,0,324,wntEGC,wntEGC,1,11,0.41097573425697703,11
0.5,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0434653962220146,0.022644678169201,120,19,19,0,361,wntEGC,wntEGC,1,11,0.41097573425697703,11
