pair,auc,peak_time,peak_score,trough_time,start_score,end_score,delta_end_start,score_range,cluster_id,shape_rank
NRG3_ERBB2_ERBB4,6.941600617118993,0.5,4.05380318719766,3.0,2.311510455573293,0.7931915387661324,-1.5183189168071607,3.650253524280117,2,25
NRG3_ERBB4,6.941600617118993,0.5,4.05380318719766,3.0,2.311510455573293,0.7931915387661324,-1.5183189168071607,3.650253524280117,2,26
NTS_NTSR1,7.403008880609037,0.5,4.345026368584032,3.0,2.909748494187373,0.9706104078423424,-1.9391380863450305,3.728836290068057,2,27
NMB_NMBR,1.591619704676485,0.5,0.7949455888450144,3.5,0.5824576364656516,0.20729779812757534,-0.3751598383380763,0.6522770030244059,2,28
VIP_VIPR1,0.05065711967388002,0.5,0.027182930020126398,3.5,0.017975372011954354,0.0072852178818284905,-0.010690154130125864,0.02310494919852059,2,29
ADM_CALCRL,0.2050300927616608,0.5,0.10073907540144242,3.5,0.07267769349896135,0.03531539047603855,-0.037362303022922795,0.07681056405085168,2,30
NEGR1_NEGR1,23.05661565149461,0.5,12.605993913926262,3.5,8.860666647848124,2.4720824216138793,-6.3885842262342445,10.85609238708013,2,31
WNT7B_FZD7_LRP5,0.7155782982917696,0.5,0.3234816019689311,3.0,0.20407503405191135,0.1059515524283961,-0.09812348162351525,0.22525028666815214,2,32
WNT7B_FZD7_LRP6,0.7155782982917696,0.5,0.3234816019689311,3.0,0.20407503405191135,0.1059515524283961,-0.09812348162351525,0.22525028666815214,2,33
LAMA4_ITGA7_ITGB1,0.074335584166657,0.5,0.03321586274730316,3.5,0.026434717684290614,0.00906215644250876,-0.017372561241781853,0.02496710738483042,2,34
VEGFC_FLT4,0.0055736252999535945,0.5,0.0026214108136414843,3.5,0.001962763971181641,0.000705663529246979,-0.001257100441934662,0.0019766152926331054,2,35
VEGFC_FLT4_KDR,0.0055736252999535945,0.5,0.0026214108136414843,3.5,0.001962763971181641,0.000705663529246979,-0.001257100441934662,0.0019766152926331054,2,36
WNT2B_FZD2_LRP5,0.41478195132155005,1.5,0.1842340741309248,3.0,0.07946651230841671,0.06341130351228381,-0.016055208796132897,0.13571307463293636,2,37
WNT2B_FZD2_LRP6,0.41478195132155005,1.5,0.1842340741309248,3.0,0.07946651230841671,0.06341130351228381,-0.016055208796132897,0.13571307463293636,2,38
WNT8B_FZD2_LRP5,1.0037907408409434,1.5,0.45423037722007903,3.0,0.1793195901742209,0.18431179112872845,0.0049922009545075585,0.34530736360644854,2,39
WNT8B_FZD2_LRP6,1.0037907408409434,1.5,0.45423037722007903,3.0,0.1793195901742209,0.18431179112872845,0.0049922009545075585,0.34530736360644854,2,40
TNC_ITGA2B_ITGB3,0.2481372921113892,1.5,0.11719005049986748,3.5,0.050393125228717944,0.0323547753702327,-0.018038349858485243,0.08927378580827494,2,41
TNC_ITGAV_ITGB3,0.2481372921113892,1.5,0.11719005049986748,3.5,0.050393125228717944,0.0323547753702327,-0.018038349858485243,0.08927378580827494,2,42
LAMA1_ITGA1_ITGB1,0.017396396243115626,1.5,0.008632158281360106,4.0,0.00414779317643702,0.0016781898107890967,-0.0024696033656479233,0.00695396847057101,2,43
