pattern,term,term_name,term_id,query_size,background_size,set_size_in_background,overlap_count,gene_ratio,p_value,fold_enrichment,overlap_genes,adjusted_p_value,significant
2,Monocarboxylic Acid Transport (GO:0015718),Monocarboxylic Acid Transport,GO:0015718,1076,1538,15,13,0.012081784386617101,0.12494790341764579,1.2387856257744734,ABCC3;ABCG2;CEACAM1;CRABP2;FABP7;PMP2;SLC10A6;SLC16A1;SLC16A12;SLC16A2;SLC16A6;SLC16A7;SLC51A,0.9997662475896321,False
2,Integrin-Mediated Signaling Pathway (GO:0007229),Integrin-Mediated Signaling Pathway,GO:0007229,1076,1538,35,28,0.026022304832713755,0.12876112568843878,1.1434944237918216,ADAM9;CEACAM1;COL3A1;DAB2;FBLN1;FN1;FYB1;HCK;ITGA1;ITGA3;ITGA6;ITGA7;ITGA8;ITGA9;ITGAL;ITGAM;ITGB1;ITGB2;ITGB3;ITGB4;ITGB5;ITGB6;ITGB7;ITGB8;ITGBL1;LAMA5;PLPP3;SEMA7A,0.9997662475896321,False
2,Phosphate-Containing Compound Metabolic Process (GO:0006796),Phosphate-Containing Compound Metabolic Process,GO:0006796,1076,1538,19,16,0.01486988847583643,0.13084277724064994,1.2036783408334963,DUSP12;DUSP5;ENPP3;EPHB2;FBP1;GALK2;IPPK;LCP1;PIK3CG;PLPP2;PLPP3;PLPPR3;PTPRB;PTPRC;SLC22A3;TNFAIP8L3,0.9997662475896321,False
2,Response To Cytokine (GO:0034097),Response To Cytokine,GO:0034097,1076,1538,19,16,0.01486988847583643,0.13084277724064994,1.2036783408334963,ADAM9;ALDH1A2;CD74;COL3A1;CSF1R;CXCR4;IFITM2;IL6R;LIFR;OSMR;SHFL;SNCA;STAT1;TIMP1;TIMP4;TRIM32,0.9997662475896321,False
2,Endocytosis (GO:0006897),Endocytosis,GO:0006897,1076,1538,31,25,0.023234200743494422,0.1311230358277556,1.152716153015949,ATP9B;AXL;CAV1;CD93;CORO1A;CORO1C;CSNK1G3;DAB2;EHD2;GAS6;HSPG2;IL10RA;ITGAM;ITGB1;ITGB2;LDLR;MARCO;MET;MYO1E;NLGN3;PECAM1;SNX33;SORT1;STAB1;TYRO3,0.9997662475896321,False
2,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),Regulation Of Phosphatidylinositol 3-Kinase Signaling,GO:0014066,1076,1538,27,22,0.020446096654275093,0.13265656912676405,1.164670246454633,CCL5;CEACAM1;DCN;EGF;ERBB3;F2R;FGF2;FGFR1;FLT1;FN1;KDR;NTRK1;NTRK3;PDGFA;PDGFC;PDGFD;PDGFRA;PDGFRB;SEMA3E;STAMBP;TEK;TREM2,0.9997662475896321,False
2,Negative Regulation Of Protein Phosphorylation (GO:0001933),Negative Regulation Of Protein Phosphorylation,GO:0001933,1076,1538,23,19,0.017657992565055763,0.13285658076248058,1.180782285437207,CAV1;CDKN1A;CEACAM1;CIB1;CORO1C;EMILIN1;ENG;EPHB2;FBLN1;LYN;MYADM;NTRK3;PLPP3;PMEPA1;PTPRC;SFRP1;SLIT2;SNCA;SPRY2,0.9997662475896321,False
2,Macromolecule Modification (GO:0043412),Macromolecule Modification,GO:0043412,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,CSNK1G3;DUSP12;LOX;LOXL2;MAN2B1;ST3GAL1;ST3GAL6;ST6GAL1;ST8SIA2,0.9997662475896321,False
2,Negative Regulation Of Amide Metabolic Process (GO:0034249),Negative Regulation Of Amide Metabolic Process,GO:0034249,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,CHRNA7;CLU;EPHA4;GRB7;NCL;RNF139;RPS3;TRIM2;ZAR1,0.9997662475896321,False
2,Negative Regulation Of Immune Response (GO:0050777),Negative Regulation Of Immune Response,GO:0050777,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,COL3A1;ENPP3;HCK;LYN;MUL1;PLK2;SPI1;TREM2;TYRO3,0.9997662475896321,False
2,Negative Regulation Of Response To Stimulus (GO:0048585),Negative Regulation Of Response To Stimulus,GO:0048585,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,ALOX5;CLU;COL3A1;EPHA4;ERBB3;LYN;NR1H3;RPS3;SLIT2,0.9997662475896321,False
2,Positive Regulation Of Cholesterol Transport (GO:0032376),Positive Regulation Of Cholesterol Transport,GO:0032376,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,CAV1;CETP;LIPG;NFKBIA;NR1H3;PLTP;PON1;PTCH1;TREM2,0.9997662475896321,False
2,Protein Modification By Small Protein Removal (GO:0070646),Protein Modification By Small Protein Removal,GO:0070646,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,COPS4;DESI1;JOSD1;OTUD3;STAMBP;USP18;USP2;USP20;USP45,0.9997662475896321,False
2,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),Regulation Of Extrinsic Apoptotic Signaling Pathway,GO:2001236,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,AGT;BCL2L14;CAV1;FGFR1;ITGA6;LTB;TGFBR1;THBS1;TNFRSF12A,0.9997662475896321,False
2,Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),Regulation Of Plasma Membrane Bounded Cell Projection Assembly,GO:0120032,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,ARF6;CAV1;CLU;DYNC2LI1;EPHA2;MYO10;RDX;TBC1D17;TBC1D8,0.9997662475896321,False
2,Regulation Of Wound Healing (GO:0061041),Regulation Of Wound Healing,GO:0061041,1076,1538,10,9,0.008364312267657992,0.14784095993597113,1.2864312267657994,ALOX5;CAV1;EPHB2;F2R;FGF2;HBEGF;ITGB1;MYLK;TNFRSF12A,0.9997662475896321,False
2,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),Plasma Membrane Bounded Cell Projection Assembly,GO:0120031,1076,1538,30,24,0.022304832713754646,0.15590254028341674,1.1434944237918216,AIF1;ARF6;ATAT1;B9D2;CCDC113;CCDC65;CDH13;CFAP161;CYFIP1;EHD2;FLNA;IFT172;IFT46;ITGB1;MYLK;NUDCD3;PCNT;PMP22;RAPGEF6;S1PR1;S1PR2;TMEM138;TTC36;VCL,0.9997662475896321,False
2,Carboxylic Acid Transport (GO:0046942),Carboxylic Acid Transport,GO:0046942,1076,1538,14,12,0.011152416356877323,0.1588755055679836,1.2251725969198088,PSAP;SLC16A1;SLC16A12;SLC16A2;SLC16A6;SLC16A7;SLC38A4;SLC6A6;SLC7A10;SLC7A2;SLC7A3;SLC7A5,0.9997662475896321,False
2,Membrane Organization (GO:0061024),Membrane Organization,GO:0061024,1076,1538,14,12,0.011152416356877323,0.1588755055679836,1.2251725969198088,ANXA2;CHMP3;CNTN2;CORO1C;MITD1;MYADM;NUP155;RTP3;S100A10;TLCD1;TMEM43;WASL,0.9997662475896321,False
2,Positive Regulation Of Cell Death (GO:0010942),Positive Regulation Of Cell Death,GO:0010942,1076,1538,14,12,0.011152416356877323,0.1588755055679836,1.2251725969198088,AXIN2;CLU;HBD;HBE1;HBG2;HBZ;ITGAM;ITGB2;MAP3K5;NTRK1;SLC6A6;SNCA,0.9997662475896321,False
2,Proteasomal Protein Catabolic Process (GO:0010498),Proteasomal Protein Catabolic Process,GO:0010498,1076,1538,14,12,0.011152416356877323,0.1588755055679836,1.2251725969198088,AXIN2;BAG6;CRBN;FBXW5;KCTD10;RHBDD1;RNF139;RNF5;SKP2;SPSB3;TNFSF13B;TRIM2,0.9997662475896321,False
2,Regulation Of Autophagy (GO:0010506),Regulation Of Autophagy,GO:0010506,1076,1538,26,21,0.019516728624535316,0.15935036200850713,1.1544895624821274,ACER2;ATP6V0E1;BAD;DAP;DCN;DRAM1;DRAM2;FZD5;GFAP;IL10RA;MET;OSBPL7;PLK2;PSAP;SNX32;SNX6;TREM2;TRIM32;TRIM38;TRIM65;USP20,0.9997662475896321,False
2,DNA Metabolic Process (GO:0006259),DNA Metabolic Process,GO:0006259,1076,1538,22,18,0.016728624535315983,0.16171810089985214,1.169482933423454,ALKBH3;AXIN2;CHRNA4;KMT5C;MCM3;MSH6;NABP2;POLH;RFC2;RMI1;RNASEH2A;RPA2;RPA3;RPS3;RUVBL2;TOP3B;USP45;XPC,0.9997662475896321,False
2,Positive Regulation Of Cell Migration (GO:0030335),Positive Regulation Of Cell Migration,GO:0030335,1076,1538,85,64,0.05947955390334572,0.1631895441222188,1.0762300459217145,ACVR1B;ADAM9;AIF1;BMPR2;CAV1;CCL5;CD151;CDH13;CDH5;CIB1;COL1A1;CSF1R;CXCL12;CXCR4;DAB2;DDRGK1;EGF;ENPP2;EPHA2;EPHA4;EPHB2;F10;F2R;FLT1;FN1;FZD4;GPNMB;GRB7;GRN;HBEGF;ITGA6;ITGB1;KDR;LRRC15;MYADM;MYLK;NTRK3;PDGFA;PDGFC;PDGFD;PDGFRA;PDGFRB;PECAM1;PTPRC;RDX;ROCK2;SEMA3E;SEMA3G;SEMA4A;SEMA4B;SEMA4F;SEMA4G;SEMA6D;SEMA7A;SMO;SNAI2;SPRY2;TGFBR1;THBS1;TMSB15A;TRIM32;TWIST2;VSIR;ZNF268,0.9997662475896321,False
2,Actin Polymerization Or Depolymerization (GO:0008154),Actin Polymerization Or Depolymerization,GO:0008154,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,AIF1;INF2;PSTPIP2;WASF3;WASL,0.9997662475896321,False
2,Carboxylic Acid Metabolic Process (GO:0019752),Carboxylic Acid Metabolic Process,GO:0019752,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,GLUD1;PON1;PTGIS;ST3GAL1;ST6GAL1,0.9997662475896321,False
2,Cell-Cell Junction Maintenance (GO:0045217),Cell-Cell Junction Maintenance,GO:0045217,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CSF1R;F2R;MYADM;NLGN2;PARD6A,0.9997662475896321,False
