raw_gene,variance,rank
ISL1,0.0001727010253676347,492
WDR11,0.00017224789633935822,493
LOC115659439[nr] | AMEX60DD007129,0.00017163932453274493,494
EBAG9,0.0001715300284586391,495
KCNG3,0.00017124724664972888,496
AMEX60DD052884,0.00016971746924359862,497
NEFL,0.00016950831320162551,498
IGDCC4,0.00016943590125043553,499
ITGB8,0.00016932843867082455,500
TMEM214,0.0001679238782530431,501
CDKN2D,0.00016754825634032107,502
CUL4A,0.00016655265283552152,503
HDAC9,0.00016626027324345694,504
MEGF11,0.00016390248287660153,505
TRMT9B,0.0001636176937206,506
HMOX1,0.00016280012047517132,507
BCL2L10[nr] | AMEX60DD003702,0.00016164670952204075,508
SALL3,0.0001616193155608473,509
TES,0.00016152793245106174,510
NT5DC3,0.00016052012455600252,511
SLITRK3,0.00016044069110613754,512
RPA3,0.0001601366444976422,513
DNAJC17,0.00015751733050350654,514
SNAPC5,0.0001572164169953458,515
SRGN[nr] | AMEX60DD051795,0.00015687713383888624,516
WASF3,0.00015442687979820251,517
NPNT,0.0001541922128227999,518
CAV1,0.00015334157325560548,519
HDAC3,0.00015221684353197687,520
CGREF1,0.00015216785375133575,521
S1PR1,0.00015186926797320637,522
ACSBG1,0.00015177757532035643,523
KIF26B,0.0001512211954353156,524
SRP54,0.0001509394538452667,525
EXT2,0.00015077262230867657,526
CSNK1G3,0.00015021125322815787,527
BLVRA,0.00014953119961767425,528
CRHBP,0.00014935329302288332,529
BPGM,0.00014908284363117025,530
IRF1,0.00014826931293404516,531
NID2,0.0001465485213882566,532
LDLR,0.0001464480086031031,533
FAM219A,0.0001463985065380991,534
CBARP[nr] | AMEX60DD013552,0.00014514431862498953,535
MRPS11,0.00014454876705987795,536
PLRG1,0.00014447307802467423,537
CNP,0.00014415685088869717,538
FGF17,0.00014317639717833337,539
DCC,0.00014263085514043858,540
CAT,0.00014246615898119025,541
RPA2,0.00014166405956354805,542
SEMA7A[nr] | AMEX60DD003916,0.00014145987491109792,543
RGS5,0.00014031817379193642,544
PCP4,0.0001398100707300276,545
AMEX60DD019239,0.00013980554699261796,546
MARCO,0.00013973272227477712,547
SLC6A6,0.00013958608967094634,548
NIPSNAP1,0.00013955499828141113,549
nan | AMEX60DD001386,0.00013842024605907773,550
VWC2L,0.0001380098172118509,551
KLHL17,0.00013753200089321516,552
ZNF512B,0.00013714441738900713,553
EML1,0.00013683784831011048,554
FHL1,0.0001368111321176991,555
NMRK2,0.0001359479406646218,556
IPO13,0.00013590975223775565,557
AMEX60DD048202,0.00013550326286050586,558
AMEX60DD007902,0.0001353736123225368,559
NEU1,0.00013452184227681017,560
LOC115462277[nr] | AMEX60DD042322,0.00013449738611868392,561
OSIL,0.00013406235895400983,562
GALNTL6,0.00013398886757988397,563
ITGB2,0.0001337566839290909,564
AMEX60DD047480,0.00013360876201866086,565
MPP4,0.00013359782889101526,566
CCDC80,0.00013345176962450115,567
AMEX60DD014061,0.0001319485239784737,568
VAX2,0.00013189532003023697,569
ST8SIA5,0.00013042949981300993,570
AMEX60DD008169,0.00012999459328597967,571
KCNQ5,0.0001290822377909358,572
ATAT1,0.00012855670599880623,573
CRMP1,0.00012833193467408455,574
HES6,0.00012787016594101108,575
COL4A1,0.00012751558933310166,576
PPP1R12A,0.00012748422275536147,577
ADAMTS8[nr] | AMEX60DD053568,0.00012738444960719438,578
C8G,0.00012728608657785442,579
CD68,0.0001262958826821098,580
VSIR,0.0001262062630556902,581
IGF1R,0.00012596335100278525,582
BRI3,0.00012566582127016904,583
MPP1,0.00012565138308346662,584
PDCL,0.00012564463277067955,585
WASL,0.00012562078462306466,586
PAXBP1,0.0001254792806092293,587
FAM107B,0.00012496435098449158,588
SLA2,0.0001245551246291324,589
AMEX60DD031644,0.0001243249689816642,590
AMEX60DD032942,0.00012374994259808757,591
KCNMB2,0.00012349882186820065,592
CTSC,0.0001233503719253118,593
USP2,0.00012332832130143286,594
NIF3L1,0.0001226724129757325,595
CISD3,0.00012186823164229311,596
CDR2L,0.00012094215434659561,597
C1QL1,0.00012000049486208943,598
LYG2,0.00011947125495251244,599
RAC2,0.00011926832736192588,600
AMEX60DD020585,0.00011917128162031778,601
CDK2AP2,0.00011914094453566369,602
CLDN12,0.00011893600804860157,603
TGFBR1,0.00011769673434334971,604
AMEX60DD017107,0.00011757473190557197,605
MARCHF8,0.00011755373500134568,606
TXNIP,0.0001171921654304105,607
PPM1K,0.00011684546683026173,608
NTNG1,0.00011646840811291747,609
OPTC,0.00011602942437644595,610
HS3ST1,0.00011501594048439045,611
AMEX60DD052236,0.00011494388171804423,612
CHRNA7,0.00011419643266032513,613
SPP1[nr] | AMEX60DD043905,0.0001141729947462705,614
KIFC1,0.00011345806511173551,615
PGAM1,0.00011317136749761692,616
SLIT2,0.000113099212657038,617
DAB2IP,0.00011267113358922138,618
EFNB2,0.00011115193869219864,619
NRG3,0.00010908371417011912,620
SLC5A6,0.00010802387003600459,621
SEMA4F,0.00010753325101656307,622
TSPAN4,0.00010706908895376741,623
PRR7,0.00010677030308125035,624
MSANTD3,0.00010646118484999978,625
GATC,0.00010639250199270559,626
GARRE1,0.00010633490555720614,627
RECK,0.00010614635219911034,628
EGF,0.00010562995925193857,629
GPX8,0.00010442170868155212,630
ASIC4__2,0.00010381695452077404,631
NFE2L1,0.00010378770063108025,632
CNTNAP5__2,0.00010352190556408243,633
DCPS,0.00010227810002948967,634
RELN,0.00010226780859505,635
TTC9C,0.00010211074858700003,636
IFI30,0.00010089123026872268,637
CREB3L2,0.00010088201224752217,638
AMEX60DD055997,9.954717420677131e-05,639
AXL,9.921171618571109e-05,640
KDM1A,9.860391762786065e-05,641
DCAF15,9.840981256244956e-05,642
LOC108706699[nr] | AMEX60DD044522,9.81188824583527e-05,643
GLCE,9.763481427636915e-05,644
LAGE3,9.763201991292023e-05,645
SSTR5,9.762389447251182e-05,646
RGS9,9.748208013271603e-05,647
COL6A3,9.724147488107076e-05,648
SGMS1,9.694416032206918e-05,649
