raw_gene,variance,rank,display_gene,gene_symbol,raw_cluster,pattern
TENT4A,0.0005728897533516322,269,TENT4A,TENT4A,2,1
MAB21L1,0.0005657996835005904,270,MAB21L1,MAB21L1,2,1
POLR2G,0.0005625734156620435,271,POLR2G,POLR2G,1,2
PNO1,0.000562361034833975,272,PNO1,PNO1,1,2
TNC,0.0005579335888555579,273,TNC,TNC,1,2
EFNA3,0.000551174640001289,274,EFNA3,EFNA3,2,1
NRXN1,0.0005504673185960368,275,NRXN1,NRXN1,2,1
DESI1,0.0005497519051678112,276,DESI1,DESI1,1,2
ARL4D,0.0005487736186736691,277,ARL4D,ARL4D,1,2
FN1,0.0005484233659767171,278,FN1,FN1,1,2
SDHAF2,0.0005462151613102971,279,SDHAF2,SDHAF2,1,2
SHANK2[nr] | AMEX60DD005060,0.000545717350564335,280,SHANK2,SHANK2,2,1
AMEX60DD032648,0.0005427623200027769,281,AMEX60DD032648,,1,2
VIP,0.0005414404001763082,282,VIP,VIP,1,2
ETV1,0.0005317760587695326,283,ETV1,ETV1,1,2
CXCL12,0.0005245215436673304,284,CXCL12,CXCL12,1,2
CDH8,0.0005244043138116445,285,CDH8,CDH8,1,2
GPNMB,0.0005177356063379891,286,GPNMB,GPNMB,1,2
CTSV,0.0005174564837627831,287,CTSV,CTSV,1,2
MRPS18C,0.0005173181401589137,288,MRPS18C,MRPS18C,1,2
RASD2,0.0005170238464360779,289,RASD2,RASD2,1,2
CHST11,0.0005151263151633779,290,CHST11,CHST11,1,2
TTC29,0.0005099557219430634,291,TTC29,TTC29,2,1
KCTD12,0.0004912925742646669,292,KCTD12,KCTD12,1,2
SGK1,0.00048787891103137276,293,SGK1,SGK1,1,2
JUN,0.00048013127382188873,294,JUN,JUN,2,1
TNFRSF19,0.00047585185329633686,295,TNFRSF19,TNFRSF19,1,2
ST6GALNAC2,0.0004734834407655949,296,ST6GALNAC2,ST6GALNAC2,1,2
EMB,0.00046760301018828904,297,EMB,EMB,1,2
SEMA6D,0.00046710598507328894,298,SEMA6D,SEMA6D,1,2
TRAPPC2L,0.0004654123537264124,299,TRAPPC2L,TRAPPC2L,1,2
ACY3,0.00045632902554758364,300,ACY3,ACY3,1,2
DAG1,0.00045336365011600273,301,DAG1,DAG1,1,2
LRRN1,0.00045173152646630607,302,LRRN1,LRRN1,1,2
PLXNA4,0.0004511074926654223,303,PLXNA4,PLXNA4,1,2
SEMA3A,0.00044484150540610945,304,SEMA3A,SEMA3A,2,1
AMEX60DD024630,0.0004443352384109368,305,AMEX60DD024630,,1,2
CD5L,0.00044134228645935185,306,CD5L,CD5L,1,2
MMP2,0.00044051521489372667,307,MMP2,MMP2,1,2
FOXP2,0.0004385368818099583,308,FOXP2,FOXP2,1,2
CERS6,0.00043657945496179993,309,CERS6,CERS6,2,1
TXNDC9,0.00043594941995097795,310,TXNDC9,TXNDC9,1,2
LRRTM4,0.00043430473294297687,311,LRRTM4,LRRTM4,2,1
ACHE,0.0004313525370030378,312,ACHE,ACHE,2,1
SOX5,0.00042941175507701473,313,SOX5,SOX5,1,2
FRY,0.00042819401710355573,314,FRY,FRY,1,2
FXYD1,0.00042724116148983943,315,FXYD1,FXYD1,1,2
CXCR4,0.0004244666193141021,316,CXCR4,CXCR4,1,2
FAM135B,0.00042427841700394217,317,FAM135B,FAM135B,2,1
FLNA,0.0004233528692120824,318,FLNA,FLNA,1,2
AMEX60DD001639,0.0004151431957815964,319,AMEX60DD001639,,1,2
DLX6__2,0.00041460366059103813,320,DLX6__2,DLX6__2,1,2
LRRC4C,0.00041419175519980016,321,LRRC4C,LRRC4C,1,2
CSF1R,0.00040609625540955754,322,CSF1R,CSF1R,1,2
FGFR1,0.00040600003940100254,323,FGFR1,FGFR1,1,2
PAG1,0.00040416520765508,324,PAG1,PAG1,2,1
MRPL10,0.0004032310736289735,325,MRPL10,MRPL10,1,2
LOC100189574[nr] | AMEX60DD011987,0.00040108845547772473,326,LOC100189574,LOC100189574,1,2
GPC4,0.00039846109110346306,327,GPC4,GPC4,1,2
BMPR2,0.00039380825981138025,328,BMPR2,BMPR2,1,2
WNT7B,0.00039349580354655563,329,WNT7B,WNT7B,1,2
PLP1,0.0003921942189412753,330,PLP1,PLP1,2,1
