display_order,title,time,origin,celltype,count,fraction,color
5,1.5,1.5,generated_global_t0,Sympathetic nerve,75,0.0008656209965028912,#cc5a0dff
5,1.5,1.5,generated_global_t0,Mucosal epithelium,423,0.004882102420276306,#2f7dd1ff
5,1.5,1.5,generated_global_t0,Pancreas,87,0.0010041203559433538,#739b1eff
5,1.5,1.5,generated_global_t0,Mesothelium,92,0.00106182842237688,#ff8383ff
5,1.5,1.5,generated_global_t0,Choroid plexus,150,0.0017312419930057823,#bd3addff
5,1.5,1.5,generated_global_t0,Mesentery,173,0.0019966990986000025,#e71d36ff
5,1.5,1.5,generated_global_t0,Blood vessel,11,0.00012695774615375738,#b3a726ff
5,1.5,1.5,generated_global_t0,Smooth muscle,98,0.0011310781020971111,#fc5151ff
5,1.5,1.5,generated_global_t0,Ovary,3,3.462483986011565e-05,#55afd9ff
5,1.5,1.5,generated_global_t0,Cartilage,2,2.308322657341043e-05,#35586dff
6,2.0 (generated),2.0,generated_global_t0,Cartilage primordium,3503,0.036913706439613475,#3cb44bff
6,2.0 (generated),2.0,generated_global_t0,Lung,1511,0.015922526528762766,#7ec136ff
6,2.0 (generated),2.0,generated_global_t0,Brain,24684,0.26011359684710794,#ef833aff
6,2.0 (generated),2.0,generated_global_t0,Spinal cord,5272,0.0555549701255045,#f9d5baff
6,2.0 (generated),2.0,generated_global_t0,Cavity,12080,0.1272959103027493,#dfdce0ff
6,2.0 (generated),2.0,generated_global_t0,Epidermis,3557,0.03748274444924497,#036df4ff
6,2.0 (generated),2.0,generated_global_t0,Liver,5026,0.05296268585940546,#c923b1ff
6,2.0 (generated),2.0,generated_global_t0,Jaw and tooth,6364,0.06706218320916361,#f062f9ff
6,2.0 (generated),2.0,generated_global_t0,GI tract,1504,0.015848762342329053,#5c5ca6ff
6,2.0 (generated),2.0,generated_global_t0,Kidney,214,0.0022550765566877774,#62cfe8ff
6,2.0 (generated),2.0,generated_global_t0,Muscle,3510,0.03698747062604719,#af1041ff
6,2.0 (generated),2.0,generated_global_t0,Connective tissue,15873,0.1672655616089023,#0bd3b1ff
6,2.0 (generated),2.0,generated_global_t0,Meninges,4110,0.04331011517750825,#dfca43ff
6,2.0 (generated),2.0,generated_global_t0,Heart,3430,0.03614445135251905,#d3245aff
6,2.0 (generated),2.0,generated_global_t0,Adipose tissue,550,0.00579575750550597,#bf024fff
6,2.0 (generated),2.0,generated_global_t0,Dorsal root ganglion,2385,0.025132512092057704,#b74c11ff
6,2.0 (generated),2.0,generated_global_t0,Mucosal epithelium,388,0.004088643476611484,#2f7dd1ff
6,2.0 (generated),2.0,generated_global_t0,Choroid plexus,111,0.0011696892420202957,#bd3addff
