condition,condition_label,condition_order,sender_type,receiver_type,pair_label,pair_order,reference_mean_D_AB_state,condition_mean_D_AB_state,condition_percentile,condition_rank_descending,n_directed_pairs
formal_seed46_cutoff1p0,Seed 46,3,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,23.615057625149877,100.0,1.0,698
formal_seed46_cutoff1p0,Seed 46,3,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,3.262537043167722,99.5702005730659,4.0,698
formal_seed46_cutoff1p0,Seed 46,3,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,4.774275352959788,99.7134670487106,3.0,698
formal_seed46_cutoff1p0,Seed 46,3,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,2.827593046187918,99.42693409742121,5.0,698
formal_seed46_cutoff1p0,Seed 46,3,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,2.824251782573388,99.2836676217765,6.0,698
formal_seed46_cutoff1p0,Seed 46,3,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,5.27341503180785,99.8567335243553,2.0,698
formal_seed46_cutoff1p0,Seed 46,3,Eye,Eye,Eye → Eye,6,4.22893406444942,2.357239385949547,99.14040114613181,7.0,698
formal_seed46_cutoff1p0,Seed 46,3,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,2.325595669519611,98.8538681948424,9.0,698
formal_seed46_cutoff1p0,Seed 46,3,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,2.354763981814802,98.9971346704871,8.0,698
formal_seed46_cutoff1p0,Seed 46,3,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,2.302331583150476,98.71060171919771,10.0,698
formal_seed46_cutoff1p0,Seed 46,3,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.6594746991194953,98.567335243553,11.0,698
formal_seed46_cutoff1p0,Seed 46,3,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.8027119556443947,97.56446991404012,18.0,698
formal_seed47_cutoff1p0,Seed 47,4,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,9.766503662656945,100.0,1.0,698
formal_seed47_cutoff1p0,Seed 47,4,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,3.662973688691749,99.5702005730659,4.0,698
formal_seed47_cutoff1p0,Seed 47,4,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,5.960115466180713,99.8567335243553,2.0,698
formal_seed47_cutoff1p0,Seed 47,4,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,2.910565504835952,99.14040114613181,7.0,698
formal_seed47_cutoff1p0,Seed 47,4,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,4.161275441662754,99.7134670487106,3.0,698
formal_seed47_cutoff1p0,Seed 47,4,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,2.073037329526159,98.71060171919771,10.0,698
formal_seed47_cutoff1p0,Seed 47,4,Eye,Eye,Eye → Eye,6,4.22893406444942,2.4640641496407945,98.9971346704871,8.0,698
formal_seed47_cutoff1p0,Seed 47,4,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,1.3599212454885883,98.42406876790831,12.0,698
formal_seed47_cutoff1p0,Seed 47,4,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,3.0033819334348704,99.2836676217765,6.0,698
formal_seed47_cutoff1p0,Seed 47,4,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,3.0321653877944024,99.42693409742121,5.0,698
formal_seed47_cutoff1p0,Seed 47,4,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.9753407138308705,98.567335243553,11.0,698
formal_seed47_cutoff1p0,Seed 47,4,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.8408945404478815,97.70773638968481,17.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,20.717520704623105,100.0,1.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,8.829893805120665,99.8567335243553,2.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,7.910784412280468,99.7134670487106,3.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,5.403951911161676,99.5702005730659,4.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,5.229421857557624,99.42693409742121,5.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.208444012574804,99.2836676217765,6.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Eye,Eye,Eye → Eye,6,4.22893406444942,3.079247638134033,98.9971346704871,8.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,3.5115636890817177,99.14040114613181,7.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,3.075001298503089,98.8538681948424,9.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,2.820303040105122,98.71060171919771,10.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,2.0752875634451025,98.567335243553,11.0,698
formal_seed42_cutoff0p8,"0.8×, seed 42",5,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,1.716988792353214,98.42406876790831,12.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,19.37136512973665,100.0,1.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,2.65455476164628,99.42693409742121,5.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,3.7222575149484274,99.7134670487106,3.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,2.244164677366797,99.2836676217765,6.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,3.2961931769162818,99.5702005730659,4.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.935223653372782,99.8567335243553,2.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Eye,Eye,Eye → Eye,6,4.22893406444942,1.7017953176651,98.71060171919771,10.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,1.7185441820883154,98.8538681948424,9.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,1.9396288668497668,99.14040114613181,7.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,1.7829743852659772,98.9971346704871,8.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.4047961242716296,98.42406876790831,12.0,698
formal_seed43_cutoff0p8,"0.8×, seed 43",6,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.4841547954877951,96.84813753581662,23.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,20.88879409188786,100.0,1.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,2.662431630149862,99.5702005730659,4.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,5.613441807420747,99.8567335243553,2.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,1.8566866165334015,98.42406876790831,12.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,2.507800666125412,99.42693409742121,5.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.199064610796431,99.7134670487106,3.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Eye,Eye,Eye → Eye,6,4.22893406444942,2.069255890656377,98.567335243553,11.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,2.403851953933607,99.14040114613181,7.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,2.422915079723504,99.2836676217765,6.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,2.176385941410196,98.8538681948424,9.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.5170500394295754,98.13753581661891,14.0,698
formal_seed44_cutoff0p8,"0.8×, seed 44",7,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.5980363357012323,96.99140401146131,22.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,26.05755485009622,100.0,1.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,11.094718299238966,99.8567335243553,2.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,8.121701913030497,99.7134670487106,3.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,6.832853455861131,99.5702005730659,4.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,6.25780654905616,99.42693409742121,5.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.286829168744053,98.9971346704871,8.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Eye,Eye,Eye → Eye,6,4.22893406444942,4.315691404576924,99.14040114613181,7.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,4.710981491723637,99.2836676217765,6.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,3.391894968610858,98.71060171919771,10.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,3.741564694227797,98.8538681948424,9.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,2.6118621375628934,98.42406876790831,12.0,698
formal_seed42_cutoff1p2,"1.2×, seed 42",8,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,2.718738141598969,98.567335243553,11.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,21.166264284465026,100.0,1.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,3.564329467108937,99.42693409742121,5.0,698
