condition_a,condition_b,component,space,n_valid_cells,valid_cell_fraction,cosine_median,cosine_q25,cosine_q75,cosine_mean,flattened_cosine,setting,replicate
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,intrinsic,spatial,11999,1.0,0.9997325539588928,0.9984095692634583,0.9999592304229736,0.9924644827842712,0.9992230534553528,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,intrinsic,state,11999,1.0,0.9972536563873291,0.9956897795200348,0.9988509118556976,0.9971184134483337,0.9964877367019653,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.9828873872756958,0.9650251865386963,0.9904885590076447,0.9713942408561707,0.9675703048706055,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9626504778862,0.788457840681076,0.9969841539859772,0.750123143196106,0.7724305391311646,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,interaction,state,4711,0.39261605133761146,0.9830590486526489,0.9651612639427185,0.9907014071941376,0.971606433391571,0.9676056504249573,Neighborhood 1.2×,43
formal_seed43_cutoff1p2,formal_seed43_cutoff1p0,growth,scalar,11999,1.0,0.9983096206230484,,,0.9983096206230484,0.9983096206230484,Neighborhood 1.2×,43
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,total,joint,11999,1.0,0.9950420260429382,0.9901242852210999,0.997238963842392,0.984830915927887,0.9770781993865967,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,total,spatial,11999,1.0,0.9989417791366577,0.9937610924243927,0.9998713433742523,0.9748589992523193,0.9916714429855347,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,total,state,11999,1.0,0.9950007200241089,0.9900678992271423,0.9972433745861053,0.9846431016921997,0.9770281910896301,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,intrinsic,joint,11999,1.0,0.9964647889137268,0.9950328767299652,0.9977214634418488,0.9958416223526001,0.9951576590538025,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,intrinsic,spatial,11999,1.0,0.9995773434638977,0.9971198439598083,0.9999568462371826,0.9896188378334045,0.9988495707511902,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,intrinsic,state,11999,1.0,0.9962804317474365,0.9948933124542236,0.9977346062660217,0.9957584142684937,0.9950857758522034,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.9843446612358093,0.9710388779640198,0.9894936084747314,0.9714802503585815,0.9707311391830444,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9713650345802307,0.8409501910209656,0.9978190958499908,0.7868351340293884,0.7931537628173828,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,interaction,state,4711,0.39261605133761146,0.984483540058136,0.9712523519992828,0.9896467626094818,0.9716589450836182,0.9707592725753784,Neighborhood 1.2×,44
formal_seed44_cutoff1p2,formal_seed44_cutoff1p0,growth,scalar,11999,1.0,0.9978950142532451,,,0.9978950142532451,0.9978950142532451,Neighborhood 1.2×,44
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,joint,11999,1.0,0.9808294177055359,0.966153621673584,0.9885022044181824,0.972246527671814,0.9813121557235718,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,spatial,11999,1.0,0.9966565370559692,0.9825142323970795,0.9995184242725372,0.9545587301254272,0.9931348562240601,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,state,11999,1.0,0.9808229207992554,0.9659684598445892,0.98836550116539,0.9720326662063599,0.9812811613082886,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,joint,11999,1.0,0.9849295616149902,0.9809586703777313,0.9901433289051056,0.981787383556366,0.9815155863761902,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,spatial,11999,1.0,0.9973435401916504,0.9854249060153961,0.9996336698532104,0.9600300192832947,0.9955887198448181,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,state,11999,1.0,0.9846798777580261,0.9808889329433441,0.989904910326004,0.981611967086792,0.9811820387840271,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.9556302428245544,0.9201918244361877,0.9660711586475372,0.9184291362762451,0.9760735034942627,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9971635341644287,0.9692866504192352,0.9998859167098999,0.8505752682685852,0.9791029095649719,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,state,4711,0.39261605133761146,0.9555227756500244,0.9201668500900269,0.9659790694713593,0.9183246493339539,0.9760758280754089,Expression loss weight 0.05,42
alpha_expr_005_seed42_cutoff1p0,formal_seed42_cutoff1p0,growth,scalar,11999,1.0,0.9878926439973287,,,0.9878926439973287,0.9878926439973287,Expression loss weight 0.05,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,joint,11999,1.0,0.9692297577857971,0.9083810448646545,0.9868861138820648,0.9331133365631104,0.9401763081550598,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,spatial,11999,1.0,0.9905427098274231,0.94483682513237,0.9987186789512634,0.900031566619873,0.9780557155609131,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,state,11999,1.0,0.9696213006973267,0.9078773558139801,0.9870295822620392,0.9326516389846802,0.9400699734687805,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,joint,11999,1.0,0.986135721206665,0.9787519574165344,0.9915409088134766,0.9774410128593445,0.9849081635475159,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,spatial,11999,1.0,0.9948356747627258,0.9592148661613464,0.9994547665119171,0.9150468111038208,0.9918588995933533,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,state,11999,1.0,0.9860610365867615,0.9779359400272369,0.9915640354156494,0.9772818684577942,0.9846852421760559,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.8355497717857361,0.5108501613140106,0.9297701418399811,0.7185333967208862,0.9264219999313354,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9902485013008118,0.8801254630088806,0.9995597898960114,0.7484256029129028,0.8866552114486694,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,state,4711,0.39261605133761146,0.8357483148574829,0.5087662935256958,0.929558128118515,0.7179535627365112,0.9264420866966248,Transport:mass weight 10:1,42
ot_mass_10_to_1_seed42_cutoff1p0,formal_seed42_cutoff1p0,growth,scalar,11999,1.0,0.8311627708718243,,,0.8311627708718243,0.8311627708718243,Transport:mass weight 10:1,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,joint,11999,1.0,0.7189846038818359,0.6199115514755249,0.8270055055618286,0.6878999471664429,0.6412805914878845,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,spatial,11999,1.0,0.9820118546485901,0.9069554209709167,0.9979158341884613,0.8565773367881775,0.9565415978431702,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,total,state,11999,1.0,0.7157589793205261,0.6138604283332825,0.8279788196086884,0.684830367565155,0.6402099132537842,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,joint,11999,1.0,0.7906486988067627,0.6903848946094513,0.8656242787837982,0.7349028587341309,0.7256788611412048,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,spatial,11999,1.0,0.9881160855293274,0.9330917298793793,0.9988155663013458,0.879008948802948,0.9791432023048401,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,intrinsic,state,11999,1.0,0.7893774509429932,0.6729668974876404,0.8644256591796875,0.727565348148346,0.7162565588951111,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.5300322771072388,0.46184399724006653,0.6064903736114502,0.4942968785762787,0.5898584723472595,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9804555177688599,0.8128214478492737,0.9990571141242981,0.7044346332550049,0.8990347385406494,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,interaction,state,4711,0.39261605133761146,0.5289710760116577,0.46095411479473114,0.6055939197540283,0.49329158663749695,0.5897873640060425,Transport:mass weight 1:10,42
ot_mass_1_to_10_seed42_cutoff1p0,formal_seed42_cutoff1p0,growth,scalar,11999,1.0,0.8691483261427219,,,0.8691483261427219,0.8691483261427219,Transport:mass weight 1:10,42
