time,cell_index,celltype,current_x,current_y,paper_x,paper_y,direct_spatial_vx,direct_spatial_vy,direct_embedded_vx,direct_embedded_vy,display_direct_embedded_vx_paper_basis,display_direct_embedded_vy_paper_basis,full_embedded_vx,full_embedded_vy,interaction_embedded_vx,interaction_embedded_vy,cosine_full_vs_interaction,in_roi,in_nested_red_display_annotation
1.0,3810,scgnIN,-0.741392,0.075082675,-0.7089715600013733,0.070966750383377,-0.04016992,-0.01267323,-0.0028741083,0.0033185594,-0.0025471595760546088,0.0035833973323477664,-0.0005052627,0.0012547686,-0.0025787684,0.0025208697,0.9155426,False,False
1.0,3811,scgnIN,0.6225475,0.043032542,0.6068748831748962,-0.1288701593875885,0.04245861,0.026920272,0.0034540202,-0.0039202487,0.003067606833081642,-0.004238737526430366,-0.0070358063,-0.00059247785,0.0024898692,-0.0006940916,-0.93734205,False,False
1.0,3812,mpEX,-0.3588996,0.060290705,-0.3373964726924896,0.02251404710114,-0.040671974,-0.021727337,-0.00371858,0.002960354,-0.0034232790661803294,0.003307213156144437,-0.0025332447,0.001304353,-0.0013621802,-0.0023982506,0.04104604,False,False
1.0,3813,sfrpEGC,-0.55715156,0.03407979,-0.5363517999649048,0.0163264330476522,-0.092221625,0.017947309,-0.0021350782,0.003872676,-0.0017573828394045069,0.004064974944848,0.0072156996,-0.0035847453,0.010821477,-0.0034137163,0.9879333,False,False
1.0,3814,obNBL,-0.7653858,0.058094576,-0.7406417727470398,0.0501809865236282,-0.051383633,0.0014708512,-0.0028261177,0.0033253764,-0.0024986673973751714,0.003585595908001472,0.0003810724,-0.0010892535,-0.0019409265,0.0050932243,-0.99962044,False,False
1.0,3815,tlNBL,0.56947315,-0.022003025,0.5416213870048523,-0.1175433248281478,0.027236758,-0.01999967,0.0036570563,-0.0027634103,0.0033808145587472032,-0.0031049974545158173,-0.0030918433,0.0010295821,0.003937158,-0.0005984919,-0.9854841,False,False
1.0,3816,scgnIN,-0.6635582,0.05012188,-0.6487497091293335,0.042924165725708,-0.045675594,0.0072451155,-0.002845311,0.0037393405,-0.0024781470772009054,0.004000092443727876,0.004725334,-0.0011057947,0.0052682823,-0.0046953745,0.87849945,False,False
1.0,3817,scgnIN,-0.6674428,0.08928762,-0.6341251134872437,0.0444572642445564,-0.044741742,-0.005779326,-0.0034004427,0.0027648227,-0.003124875266141656,0.003081824614534238,0.001667296,0.0027281265,0.0011877643,0.0017955927,0.9993582,False,False
1.0,3818,scgnIN,-0.69665265,0.057993278,-0.6585211753845215,0.0487500801682472,-0.049557682,-0.0107738795,-0.003314454,0.0033846512,-0.0029797853146751054,0.003691460836991765,0.0033928629,-0.0016499932,0.0011428186,-0.00197071,0.82946473,False,False
1.0,3819,MSN,-0.8785511,0.076950386,-0.8552830219268799,0.0733753964304924,-0.032854833,0.020782398,-0.002086471,0.0037345262,-0.0017221622885266912,0.0039226049412990835,-0.0016713772,0.00038671447,-0.00025139115,-0.00053253886,0.21205223,False,False
1.0,3820,tlNBL,0.5454078,0.018658184,0.5652940273284912,-0.1170182302594184,0.017829634,0.008010199,0.0026846433,-0.0037010822,0.0023216508729996172,-0.003946564685512999,-0.0070899534,-0.0011649755,0.0040703285,-0.0027927635,-0.7219273,False,False
1.0,3821,wntEGC,-0.46909404,0.042128216,-0.4276289343833923,0.013922406360507,-0.043262072,-0.008540112,-0.0037340303,0.0036147109,-0.0033760006114624277,0.003960985490353617,-0.006174409,0.002454618,0.0074815205,-0.0025576174,-0.99880034,False,False
1.0,3822,VLMC,0.96439385,-0.04339613,0.9368401169776917,-0.1833469569683075,0.0022735763,0.033544146,-0.0009954909,0.004055924,-0.0006038377677147153,0.004138484731386309,0.0005922509,0.0015716824,-0.00047590383,0.001100739,0.71898896,False,False
1.0,3823,sfrpEGC,0.51682985,-0.011521764,0.5363668203353882,-0.1091115251183509,0.025510479,0.040798884,-0.003820166,0.0033300514,-0.0034891317744000774,0.0036854749630175587,-0.0017604557,0.0021830462,-0.0045161843,0.0025913632,0.9318841,False,False
1.0,3824,sstIN,-0.16158605,0.04497504,-0.1405837684869766,-0.0042348559945821,-0.029852107,-0.0065240357,-0.0028209554,0.0032707185,-0.002498756985629736,0.003530615930319691,0.0054086414,0.005086068,0.00028678507,-0.004492277,-0.63724494,False,False
1.0,3825,wntEGC,-0.40873864,0.06663832,-0.4102436900138855,0.0317673906683921,-0.039868556,-0.01980057,-0.0019613185,0.0040658363,-0.0015656687776168323,0.004240881557594938,-0.009750709,-0.00075356255,0.0064296075,-0.0030392543,-0.8684659,False,False
1.0,3826,MSN,-0.6334586,0.021607675,-0.6094034910202026,0.0380500480532646,-0.049859073,-0.003156183,-0.0035875137,0.0029377535,-0.0032947912671744636,0.0032721291345671625,0.004537692,0.0009228495,-0.00056052546,-0.00038917526,-0.91860706,False,False
1.0,3827,obNBL,-0.7934078,0.071967036,-0.7651509046554565,0.0827991887927055,-0.05306433,-0.0067018876,-0.0035420866,0.0029454785,-0.003248767486295031,0.0032754784364945996,0.00028367245,8.3816674e-05,-0.0013398147,0.0024307647,-0.21477482,False,False
1.0,3828,obNBL,-0.7981216,0.07114594,-0.7821398973464966,0.0412877276539802,-0.046139408,0.0011089984,-0.0035868972,0.0028227072,-0.0033051968334862347,0.003157386759205911,-0.0024525155,0.00089413795,-0.0010720041,0.0025690796,0.67790604,False,False
1.0,3829,mpEX,0.44514716,0.045011017,0.4456082582473755,-0.0882662907242775,0.0047635837,-0.040926754,0.0028321054,-0.0041980133,0.0024210472797286968,-0.0044560532936272065,0.0030693698,0.0033215813,-0.0033271064,-0.0051385164,-0.98535526,False,False
1.0,3830,mpEX,0.09600142,0.062407047,0.1446001827716827,-0.02039728872478,-0.004665466,-0.0060551427,0.0043709967,-0.002433058,0.004124146701899315,-0.002844075033676084,-0.007934075,0.0059227445,0.0059625427,-0.0012547411,-0.90735704,False,False
