pair_id,center_time,normalized_prominence
"[""Ccl2"",""Ackr1""]",0.5,0.3453937079952176
"[""Ccl2"",""Ackr2""]",0.5,-0.020743128835360003
"[""Ccl2"",""Ccr2""]",0.5,-0.02997940294828494
"[""Ccl20"",""Ccr6""]",0.5,0.05566761928275177
"[""Ccl22"",""Ackr2""]",0.5,-0.04519067962800316
"[""Ccl22"",""Ccr4""]",0.5,-0.1350975562779403
"[""Ccl24"",""Ackr2""]",0.5,0.03545850932886918
"[""Ccl25"",""Ackr4""]",0.5,-0.079052071298091
"[""Ccl25"",""Ccr9""]",0.5,-0.1488009269597499
"[""Ccl27a"",""Ccr10""]",0.5,0.12700165509558392
"[""Ccl27a"",""Ccr2""]",0.5,0.19575091433548897
"[""Ccl28"",""Ccr10""]",0.5,-0.008848215340345855
"[""Ccl3"",""Ackr2""]",0.5,0.052241750676979004
"[""Ccl3"",""Ccr1""]",0.5,0.06902188103215079
"[""Ccl3"",""Ccr5""]",0.5,0.07120694708337139
"[""Ccl4"",""Ackr2""]",0.5,0.1077701514164009
"[""Ccl4"",""Ccr5""]",0.5,0.12349407855101546
"[""Ccl5"",""Ackr1""]",0.5,0.4252420427001363
"[""Ccl5"",""Ackr2""]",0.5,0.05570200712497719
"[""Ccl5"",""Ccr1""]",0.5,0.09395940405418135
"[""Ccl5"",""Ccr4""]",0.5,-0.07424244837820193
"[""Ccl5"",""Ccr5""]",0.5,0.07658856069260878
"[""Ccl6"",""Ccr1""]",0.5,0.09805645017853648
"[""Ccl6"",""Ccr2""]",0.5,0.08615786976250461
"[""Ccl7"",""Ackr1""]",0.5,0.37100086440764257
"[""Ccl7"",""Ccr1""]",0.5,0.006765214854409507
"[""Ccl7"",""Ccr2""]",0.5,-0.02450463543172654
"[""Ccl9"",""Ccr1""]",0.5,0.13806042020713427
"[""Cd1d1"",""Ceacam5""]",0.5,-0.006316771700178747
"[""Cd200"",""Cd200r1""]",0.5,0.21256510874735146
"[""Cd200"",""Cd200r2""]",0.5,0.2066335030527079
"[""Cd200"",""Cd200r3""]",0.5,0.29512481840922566
"[""Cd200"",""Cd200r4""]",0.5,0.2696506298315855
"[""Cd22"",""Ptprc""]",0.5,0.020939705857223823
"[""Cd226"",""Nectin2""]",0.5,-0.019083705150191865
"[""Cd226"",""Pvr""]",0.5,-0.01703856150401306
"[""Cd274"",""Pdcd1""]",0.5,0.22441850076999814
"[""Cd34"",""Selp""]",0.5,-0.06477140520487468
"[""Cd46"",""Jag1""]",0.5,-0.10845854160990148
"[""Cd52"",""Siglecg""]",0.5,-0.002639244200462909
"[""Cd6"",""Alcam""]",0.5,-0.099169169375246
"[""Cd70"",""Cd27""]",0.5,0.15007863958293322
"[""Cd80"",""Cd274""]",0.5,0.040022443661936635
"[""Cd80"",""Cd28""]",0.5,0.0024312262661444484
"[""Cd80"",""Ctla4""]",0.5,-0.025057785002636335
"[""Cd86"",""Cd28""]",0.5,0.04019773319939868
"[""Cd86"",""Ctla4""]",0.5,0.026657493525007125
"[""Cd8a"",""Ceacam5""]",0.5,-0.11457678857389453
"[""Cd96"",""Nectin1""]",0.5,-0.012339664601464517
"[""Cd96"",""Pvr""]",0.5,-0.07167761484795432
"[""Cdh1"",""Cdh1""]",0.5,0.06623991962886056
"[""Cdh1"",""Itga2_Itgb1""]",0.5,-0.01231855455877584
"[""Cdh1"",""Itgae_Itgb7""]",0.5,0.061124374242182866
"[""Cdh1"",""Klrg1""]",0.5,0.03553111380712615
"[""Cdh15"",""Cdh15""]",0.5,-0.24021099469174217
"[""Cdh2"",""Cdh2""]",0.5,-0.10407990449516286
"[""Cdh4"",""Cdh4""]",0.5,-0.13894654635618242
"[""Cdh5"",""Cdh5""]",0.5,-0.07252096438890254
"[""Ceacam1"",""Ceacam5""]",0.5,-0.08364362169190098
"[""Cga"",""Fshr""]",0.5,-0.0992760799779655
"[""Cga"",""Lhcgr""]",0.5,-0.08518108466606111
"[""Cga"",""Tshr""]",0.5,-0.1011011660675975
"[""Chad"",""Itga2_Itgb1""]",0.5,-0.05506600505068593
"[""Clcf1"",""Cntfr_Lifr_Il6st""]",0.5,-0.11820396620417462
"[""Cldn11"",""Cldn11""]",0.5,-0.10800529033477951
"[""Clec2g"",""Klrb1""]",0.5,-0.10453114228821425
"[""Clec2g"",""Klrb1f""]",0.5,-0.10028131628391757
"[""Clec2h"",""Klrb1""]",0.5,-0.11096422997477978
"[""Clec2i"",""Klrb1""]",0.5,-0.09220833000424322
"[""Clec2i"",""Klrb1f""]",0.5,-0.1008659553361746
"[""Cntf"",""Cntfr_Lifr_Il6st""]",0.5,-0.10656454213799749
"[""Cntn1"",""Nrcam""]",0.5,0.31825222724924984
"[""Cntn2"",""Cntn2""]",0.5,0.3100680080063236
"[""Cntn2"",""Cntn2_Cntnap2""]",0.5,0.3100680080063236
"[""Cntn2"",""L1cam""]",0.5,0.42863724274362114
"[""Col1a1"",""Cd44""]",0.5,0.20535807571534542
"[""Col1a1"",""Gp6""]",0.5,0.01434038692680173
"[""Col1a1"",""Itga10_Itgb1""]",0.5,0.27297686179765424
"[""Col1a1"",""Itga11_Itgb1""]",0.5,0.031371793703792394
"[""Col1a1"",""Itga1_Itgb1""]",0.5,0.03530813886008699
"[""Col1a1"",""Itga2_Itgb1""]",0.5,0.003314227130342462
"[""Col1a1"",""Itga3_Itgb1""]",0.5,0.04299387437081814
"[""Col1a1"",""Itga9_Itgb1""]",0.5,-0.009289751133974677
"[""Col1a1"",""Itgav_Itgb8""]",0.5,-0.005271460153697616
"[""Col1a1"",""Sdc1""]",0.5,0.03356922667212958
"[""Col1a1"",""Sdc4""]",0.5,0.3127164278881496
"[""Col1a2"",""Cd44""]",0.5,0.4882228181479672
"[""Col1a2"",""Gp6""]",0.5,-0.03649526700853012
