variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
translate_low,baseline_repeat,D4,full,Cardiomyocytes-1,1,0.998573776696597,0.998573776696597
translate_low,baseline_repeat,D4,full,Endocardial cells,32,0.996395549592285,0.9985150961735783
translate_low,baseline_repeat,D4,full,Epi-epithelial cells,2,0.9964125973578771,0.9964125973578771
translate_low,baseline_repeat,D4,full,Immature myocardial cells,61,0.9968849991134603,0.9994811975864089
translate_low,baseline_repeat,D4,full,TMSB4X high cells,5,0.9982063818134644,0.9994794319682497
translate_low,baseline_repeat,D4,full,Valve cells,46,0.9145267476268736,0.9959258966910359
translate_low,baseline_repeat,D4,interaction,Cardiomyocytes-1,1,0.9999504651071065,0.9999504651071065
translate_low,baseline_repeat,D4,interaction,Endocardial cells,32,0.9970354143812064,0.9999546760847395
translate_low,baseline_repeat,D4,interaction,Epi-epithelial cells,2,0.9999830732313764,0.9999830732313764
translate_low,baseline_repeat,D4,interaction,Immature myocardial cells,61,0.9989133361766803,0.9999646884149471
translate_low,baseline_repeat,D4,interaction,TMSB4X high cells,5,0.9999970274756944,0.9999975315094312
translate_low,baseline_repeat,D4,interaction,Valve cells,46,0.9893933336500149,0.9982016285364534
translate_low,baseline_repeat,D7,full,Cardiomyocytes-1,79,0.9623465910813581,0.9972284640276607
translate_low,baseline_repeat,D7,full,Cardiomyocytes-2,10,0.9926379711426572,0.9967487358398627
translate_low,baseline_repeat,D7,full,Endocardial cells,89,0.9594387730688454,0.9962346112083543
translate_low,baseline_repeat,D7,full,Epi-epithelial cells,36,0.9932105513901727,0.9975392687489442
translate_low,baseline_repeat,D7,full,Erythrocytes,34,0.9805788079023064,0.9971394969774422
translate_low,baseline_repeat,D7,full,Fibroblast cells,1,0.9073985217205724,0.9073985217205724
translate_low,baseline_repeat,D7,full,Immature myocardial cells,202,0.977316075134926,0.9970305444492091
translate_low,baseline_repeat,D7,full,MT-enriched cardiomyocytes,18,0.9950080150156353,0.9982279868876169
translate_low,baseline_repeat,D7,full,Macrophages,3,0.9996365782130274,0.9999799837481044
translate_low,baseline_repeat,D7,full,Valve cells,54,0.9952704536017539,0.9990518725300997
translate_low,baseline_repeat,D7,full,Vascular endothelial cells,2,0.9993634944738977,0.9993634944738977
translate_low,baseline_repeat,D7,interaction,Cardiomyocytes-1,79,0.995965345540068,0.9998044249285919
translate_low,baseline_repeat,D7,interaction,Cardiomyocytes-2,10,0.9991553501650813,0.9995108330422835
translate_low,baseline_repeat,D7,interaction,Endocardial cells,89,0.9985696027542578,0.9997170323779833
translate_low,baseline_repeat,D7,interaction,Epi-epithelial cells,36,0.9941402674636485,0.9999333513619126
translate_low,baseline_repeat,D7,interaction,Erythrocytes,34,0.9412960460558911,0.9996671327714903
translate_low,baseline_repeat,D7,interaction,Fibroblast cells,1,0.9998160460805995,0.9998160460805995
translate_low,baseline_repeat,D7,interaction,Immature myocardial cells,202,0.9930028967322729,0.99976344465813
translate_low,baseline_repeat,D7,interaction,MT-enriched cardiomyocytes,18,0.9998741189403783,0.9999447736864613
translate_low,baseline_repeat,D7,interaction,Macrophages,1,0.9999534449956498,0.9999534449956498
translate_low,baseline_repeat,D7,interaction,Valve cells,54,0.9872036908704274,0.9968440355554149
translate_low,baseline_repeat,D7,interaction,Vascular endothelial cells,2,0.9979748705832294,0.9979748705832294
translate_low,baseline_repeat,D10,full,Cardiomyocytes-1,225,0.9935466796828706,0.99876910709461
translate_low,baseline_repeat,D10,full,Endocardial cells,65,0.9806129951573898,0.9989021248698046
translate_low,baseline_repeat,D10,full,Epi-epithelial cells,84,0.9961986042942638,0.9991514078335568
translate_low,baseline_repeat,D10,full,Erythrocytes,133,0.9970682710579801,0.9986833330695377
translate_low,baseline_repeat,D10,full,Fibroblast cells,12,0.9954944951329566,0.9965299868179929
translate_low,baseline_repeat,D10,full,Immature myocardial cells,263,0.9848684533664643,0.9983232378985059
