variant,reference,timepoint,velocity_key,n_cells,n_nonzero_pairs,zero_pair_fraction,mean_cosine_raw,median_cosine_raw,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted,meaningful_velocity_cutoff_baseline_p10,n_meaningful_pairs,mean_cosine_meaningful,median_cosine_meaningful,global_vector_cosine_rigid_adjusted,magnitude_spearman,relative_vector_field_rmse,mean_delta_l2_rigid_adjusted
rotate_low,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.6465620864459433,0.9467890437104762,0.6464173483738143,0.9467809516377359,0.0023811571563238736,769,0.7199306437291336,0.9580979659560976,0.6494223015612312,0.48473284057950294,0.7930849356478857,0.010892544186907499
rotate_low,baseline_repeat,D14,full,1967,1967,0.0,0.9786414899761721,0.9964010427389658,0.9806764182320141,0.9981685576833826,0.14783120122020918,1732,0.9942582882556673,0.9984734295745634,0.9918576011211798,0.9701369964410794,0.1277881753513855,0.03609601431304628
rotate_low,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.7560436502718091,0.9548531805113021,0.7577174187607699,0.9578196077651171,0.007263288305936659,1670,0.8399410026734155,0.9684427535408158,0.8503688147665001,0.7246183520645355,0.5334661315451882,0.024780365841301225
rotate_moderate,baseline_repeat,D4,full,147,147,0.0,0.9381855521881148,0.9889650376928963,0.9288540996426449,0.9753761538792823,0.07319033616558147,129,0.9572931652823282,0.9782831125421785,0.9507958447808554,0.8849141285540504,0.32083220065983103,0.05978772620846427
rotate_moderate,baseline_repeat,D4,interaction,147,147,0.0,0.893061359441706,0.9908460269838172,0.8956749922011971,0.9926377930579777,0.004658939078279927,125,0.9557503185690107,0.9936584363269216,0.851850824858032,0.6575418023558924,1.6942760385742826,0.025047099657498857
rotate_moderate,baseline_repeat,D7,full,528,528,0.0,0.9596113649405125,0.9945104319879642,0.9618276876886919,0.9955680320295126,0.0558358397707064,466,0.9872565461649295,0.9962836230789256,0.9869705143314101,0.9728741448627527,0.16116537977088444,0.025971286135917582
rotate_moderate,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.9251782226283396,0.9925164092611536,0.9270016546827033,0.993238307535683,0.0021820427909966626,396,0.977795200905498,0.9967148329486772,0.9665558368886065,0.8975307386669501,0.38003308217344056,0.0027744621977616735
rotate_moderate,baseline_repeat,D10,full,908,908,0.0,0.9725357521183253,0.9957256587113826,0.9715550246818055,0.9947834944990765,0.07167914653083692,799,0.9875837578703126,0.9954409413521771,0.985941019708637,0.9713824618914544,0.1673256518107377,0.029579430619266732
rotate_moderate,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.5532905183965344,0.8843939772774498,0.5526246499657304,0.8770742789718056,0.0023811571563238736,624,0.6824178591639457,0.9394796075626257,0.6637490933706884,0.42799859041597643,0.7711483835319966,0.010676108182658312
rotate_moderate,baseline_repeat,D14,full,1967,1967,0.0,0.9671215309146116,0.9871620871112597,0.9742342733721612,0.993561790929538,0.14783120122020918,1755,0.9877343110605005,0.9941610717925174,0.9842900391368972,0.9579668505226443,0.18502893132475512,0.0547597832118651
rotate_moderate,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.7871334475865862,0.9628816630961663,0.7884581262415181,0.9653036830314703,0.007263288305936659,1719,0.8573661144239137,0.9729025984364297,0.8625671865544132,0.6677007448611461,0.5341788322703644,0.025805201833880166
translate_rotate_low,baseline_repeat,D4,full,147,147,0.0,0.9510574004302138,0.9956398885609401,0.9553934313655282,0.9972444568866706,0.07319033616558147,130,0.9815551722467413,0.9979750321423917,0.9728983232612686,0.9525950328298665,0.2352863386608116,0.0348514280693922
translate_rotate_low,baseline_repeat,D4,interaction,147,147,0.0,0.9537267582840463,0.9969034999702879,0.9561164977011276,0.998047927046624,0.004658939078279927,128,0.9842024547124503,0.9982733986806778,0.9470163542827931,0.9280727470551347,0.3220689524275682,0.006602035499967871
translate_rotate_low,baseline_repeat,D7,full,528,528,0.0,0.974195358975515,0.9956915338530969,0.9749946612864238,0.9964786141049886,0.0558358397707064,461,0.9902509890225009,0.99702431797803,0.9877779106518658,0.9785083738965433,0.1581234345399689,0.024970411008270986
translate_rotate_low,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.8597224190716014,0.9780507588696465,0.8614047792118731,0.981129813753762,0.0021820427909966626,446,0.8968273172736021,0.986017133636716,0.8723903775056986,0.6574216541470522,0.5386497855896081,0.005253693541930588
translate_rotate_low,baseline_repeat,D10,full,908,908,0.0,0.9721223469458511,0.995874562641113,0.9725057424971416,0.9962327794037917,0.07167914653083692,790,0.9911029169227797,0.9970670474632894,0.9887493326737374,0.9787098585131114,0.1497702811221454,0.02622547526169099
translate_rotate_low,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.6898988981442575,0.9450304456277108,0.6901125743404584,0.9467709285069164,0.0023811571563238736,772,0.7597703418978297,0.957458959581994,0.6794059742059175,0.5574884616115815,0.7631326358918703,0.010229394107901944
translate_rotate_low,baseline_repeat,D14,full,1967,1967,0.0,0.979532985307119,0.9963813471781782,0.9822158828907955,0.9981898449144051,0.14783120122020918,1733,0.9940137068842856,0.9984616657227514,0.9917641346865892,0.9704226881979076,0.1281146010165927,0.03573364313619004
translate_rotate_low,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.7597001647039556,0.9530144319933923,0.7610828227908759,0.9543327732448097,0.007263288305936659,1685,0.8373239366094896,0.9667055929551278,0.8593538558974122,0.7225722615171729,0.5584840653004712,0.0257442379049245
translate_rotate_moderate,baseline_repeat,D4,full,147,147,0.0,0.9347551198373515,0.9841461037224232,0.9249485364841393,0.9752151016583112,0.07319033616558147,127,0.9551069643625588,0.9790050383252219,0.9512148632860682,0.8884653454125079,0.3160719655921828,0.05957812065255365
translate_rotate_moderate,baseline_repeat,D4,interaction,147,147,0.0,0.8923462310885736,0.9876635099987092,0.8950142010424081,0.9904086468790024,0.004658939078279927,124,0.939472108607226,0.9932031880886147,0.8372102279774897,0.5925772011877688,1.5536101595600011,0.02367971968941537
translate_rotate_moderate,baseline_repeat,D7,full,528,528,0.0,0.9727827899885607,0.9959001435586078,0.9747047117474229,0.9973264806578076,0.0558358397707064,470,0.9916305057754023,0.9977480546905776,0.9898648647422795,0.9795874960420504,0.1426688472975085,0.02263955405667355
translate_rotate_moderate,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.9230567909187092,0.9919631926323934,0.9257852469527106,0.9940108203127495,0.0021820427909966626,407,0.9728919379533206,0.9962957645267929,0.9657224794443724,0.9027123919514869,0.40261440342590615,0.002808463313278593
translate_rotate_moderate,baseline_repeat,D10,full,908,908,0.0,0.9764048402289076,0.99632923222721,0.9749654757594017,0.9945641856959123,0.07167914653083692,794,0.9888909692947757,0.9953524387701882,0.9875585223342541,0.9778869760752724,0.1572747851913578,0.028038423370027855
translate_rotate_moderate,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.5813742483935487,0.898388108954634,0.5813495653340653,0.8952291320439181,0.0023811571563238736,693,0.7093247773946727,0.9412181884089815,0.7161744641732789,0.5196125432844853,0.7043601693679352,0.009932829058404764
translate_rotate_moderate,baseline_repeat,D14,full,1967,1967,0.0,0.9626910322633156,0.9836701508060606,0.9704950679680014,0.9911201828660086,0.14783120122020918,1754,0.9864941852559413,0.992163393388382,0.9830822642327136,0.9641841182806384,0.1938977645866856,0.05782168954780867
translate_rotate_moderate,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.8213421563833958,0.9698092841185101,0.8228707288138883,0.9724376730659421,0.007263288305936659,1719,0.8871904960457937,0.9798246566568373,0.8874249708447882,0.7478453721120891,0.46994866203056257,0.022820941727216004
