condition,sender_type,receiver_type,raw_attention_mean,n_directed_edges,zero_completed_no_edge,rank_from_top,n_complete_directed_type_pairs
trained,Notochord,Forebrain,0.34977921843528748,8,False,62,196
trained,Notochord,Hatching Gland,0.28909474983811373,4,False,92,196
trained,Notochord,"Immature Eye, Midbrain",0.35375761985778809,1,False,59,196
trained,Notochord,Nervous System,0.39639749972091415,543,False,36,196
trained,Notochord,Neural Crest,0.33616271858605057,104,False,69,196
trained,Notochord,"Neural Crest, Otic Vesicle",0.28816936082310141,9,False,93,196
trained,Notochord,Notochord,0.42842950478013331,3831,False,22,196
trained,Notochord,Pronephros,0.39504624605178834,5,False,37,196
trained,Notochord,"Segmental Plate, Tail Bud",0.34402413909532586,49,False,65,196
trained,Notochord,Somite,0.42001818176614092,292,False,26,196
trained,Notochord,Yolk Syncytial Layer,0,0,True,119,196
trained,Notochord,"Yolk Syncytial Layer, Periderm",0.27101227641105652,1,False,100,196
trained,Pronephros,Angioblastic Mesenchymal Cell,0.32831285893917084,2,False,75,196
trained,Pronephros,Erythroid Lineage Cell,0.29167922084428821,49,False,89,196
trained,Pronephros,Forebrain,0.26318186521530151,1,False,105,196
trained,Pronephros,Hatching Gland,0,0,True,119,196
trained,Pronephros,"Immature Eye, Midbrain",0,0,True,119,196
trained,Pronephros,Nervous System,0.27859756350517273,2,False,98,196
trained,Pronephros,Neural Crest,0.35533592104911799,2,False,57,196
trained,Pronephros,"Neural Crest, Otic Vesicle",0.29014453291893,1,False,90,196
trained,Pronephros,Notochord,0.41375795432499479,7,False,28,196
trained,Pronephros,Pronephros,0.27937046438455582,8,False,97,196
trained,Pronephros,"Segmental Plate, Tail Bud",0.3010732233524322,2,False,85,196
trained,Pronephros,Somite,0.27021092921495432,12,False,101,196
trained,Pronephros,Yolk Syncytial Layer,0,0,True,119,196
trained,Pronephros,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,"Segmental Plate, Tail Bud",Angioblastic Mesenchymal Cell,0.4008910059928894,2,False,34,196
trained,"Segmental Plate, Tail Bud",Erythroid Lineage Cell,0.28427758387156893,7,False,95,196
trained,"Segmental Plate, Tail Bud",Forebrain,0.31091767549514771,1,False,82,196
trained,"Segmental Plate, Tail Bud",Hatching Gland,0,0,True,119,196
trained,"Segmental Plate, Tail Bud","Immature Eye, Midbrain",0,0,True,119,196
trained,"Segmental Plate, Tail Bud",Nervous System,0.26884484887123106,5,False,103,196
trained,"Segmental Plate, Tail Bud",Neural Crest,0.35358650734027225,12,False,60,196
trained,"Segmental Plate, Tail Bud","Neural Crest, Otic Vesicle",0.36919167637825012,1,False,52,196
trained,"Segmental Plate, Tail Bud",Notochord,0.2990501507602889,29,False,86,196
trained,"Segmental Plate, Tail Bud",Pronephros,0.32072305679321289,1,False,79,196
trained,"Segmental Plate, Tail Bud","Segmental Plate, Tail Bud",0.37616334855556488,2,False,48,196
trained,"Segmental Plate, Tail Bud",Somite,0.32185542583465571,1,False,78,196
trained,"Segmental Plate, Tail Bud",Yolk Syncytial Layer,0,0,True,119,196
trained,"Segmental Plate, Tail Bud","Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Somite,Angioblastic Mesenchymal Cell,0,0,True,119,196
trained,Somite,Erythroid Lineage Cell,0.47828223764896394,75,False,12,196
trained,Somite,Forebrain,0.53803807497024536,1,False,7,196
trained,Somite,Hatching Gland,0,0,True,119,196
trained,Somite,"Immature Eye, Midbrain",0,0,True,119,196
trained,Somite,Nervous System,0.37019490769931246,14,False,51,196
trained,Somite,Neural Crest,0.39317963610995899,44,False,38,196
trained,Somite,"Neural Crest, Otic Vesicle",0.28911468386650085,4,False,91,196
trained,Somite,Notochord,0.38765869776910872,237,False,42,196
trained,Somite,Pronephros,0.41558212637901304,10,False,27,196
trained,Somite,"Segmental Plate, Tail Bud",0.2526430189609527,1,False,109,196
trained,Somite,Somite,0.89035171885566133,677,False,2,196
trained,Somite,Yolk Syncytial Layer,0,0,True,119,196
trained,Somite,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Yolk Syncytial Layer,Angioblastic Mesenchymal Cell,0,0,True,119,196
trained,Yolk Syncytial Layer,Erythroid Lineage Cell,0,0,True,119,196
trained,Yolk Syncytial Layer,Forebrain,0,0,True,119,196
trained,Yolk Syncytial Layer,Hatching Gland,0.57962654531002045,2,False,6,196
trained,Yolk Syncytial Layer,"Immature Eye, Midbrain",0,0,True,119,196
trained,Yolk Syncytial Layer,Nervous System,0,0,True,119,196
trained,Yolk Syncytial Layer,Neural Crest,0,0,True,119,196
trained,Yolk Syncytial Layer,"Neural Crest, Otic Vesicle",0,0,True,119,196
trained,Yolk Syncytial Layer,Notochord,0,0,True,119,196
trained,Yolk Syncytial Layer,Pronephros,0,0,True,119,196
trained,Yolk Syncytial Layer,"Segmental Plate, Tail Bud",0,0,True,119,196
trained,Yolk Syncytial Layer,Somite,0,0,True,119,196
trained,Yolk Syncytial Layer,Yolk Syncytial Layer,0,0,True,119,196
trained,Yolk Syncytial Layer,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Angioblastic Mesenchymal Cell,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Erythroid Lineage Cell,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Forebrain,0,0,True,119,196
