time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.1116116919915794,0.04496808920267839,155,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.16478667325641416,0.08091404760263728,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.20112836938943685,0.09659927246051249,128,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.2572851565404874,0.12232119429441732,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.1624467292845578,0.03458589508491525,183,18,18,0,324,sfrpEGC,sfrpEGC
2.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.2499754584393754,0.08707727779796998,191,22,22,0,484,sfrpEGC,sfrpEGC
3.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.17069639111063112,0.04722350995617034,208,21,21,0,441,wntEGC,sfrpEGC
3.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.3819813711129195,0.12143349194984326,197,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.27341065999864844,0.16954811691434213,152,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.08286607430595028,0.05668825031948865,138,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.07085036280832264,0.048563921739719795,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.08703608454070438,0.07376524952114309,126,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.11709173848312104,0.07193609065575571,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.1367164753115039,0.09817213794046195,168,18,18,0,324,wntEGC,wntEGC
2.5,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.13479735915395188,0.0444083014827698,191,22,22,0,484,wntEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.28562318210919796,0.21510863805094133,186,21,21,0,441,wntEGC,wntEGC
3.5,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.1726670961775686,0.045870731737972355,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD10_LRP5""]",WNT2B,FZD10_LRP5,WNT2B_FZD10_LRP5,0.15099837826607077,0.13321999203561963,142,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.0828876747565962,0.05668825031948865,138,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.07085036280832264,0.048563921739719795,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.08703721763167872,0.07376524952114309,126,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.11709173848312104,0.07193609065575571,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.1367164753115039,0.09817213794046195,168,18,18,0,324,wntEGC,wntEGC
2.5,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.13479735915395188,0.0444083014827698,191,22,22,0,484,wntEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.2856396186000461,0.21510863805094133,186,21,21,0,441,wntEGC,wntEGC
3.5,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.1726670961775686,0.045870731737972355,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD10_LRP6""]",WNT2B,FZD10_LRP6,WNT2B_FZD10_LRP6,0.15099837826607077,0.13321999203561963,142,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD2_LRP5""]",WNT2B,FZD2_LRP5,WNT2B_FZD2_LRP5,0.2686125566044163,0.15248622587987526,145,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT2B"",""FZD2_LRP5""]",WNT2B,FZD2_LRP5,WNT2B_FZD2_LRP5,0.28433312671272865,0.1708276274832797,120,19,19,0,361,wntEGC,wntEGC
