trajectory_kind,pair_id,ligand,receptor,pair,cell_type,expected_n_times,observed_n_times,requested_times,observed_times,missing_times,complete_time_grid,total_score,nonzero_n_times,requested_subunits,missing_pca_subunits,inactive_pca_subunits,retained,drop_reason,expression_unavailable_times,n_expression_unavailable_times
pair,"[""AVP"",""AVPR2""]",AVP,AVPR2,AVP_AVPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AVP;AVPR2,AVP,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BDNF"",""NTRK2""]",BDNF,NTRK2,BDNF_NTRK2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BDNF;NTRK2,NTRK2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP10"",""ACVRL1_ACVR2A""]",BMP10,ACVRL1_ACVR2A,BMP10_ACVRL1_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;ACVRL1;BMP10,ACVRL1;BMP10,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP10"",""ACVRL1_BMPR2""]",BMP10,ACVRL1_BMPR2,BMP10_ACVRL1_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVRL1;BMP10;BMPR2,ACVRL1;BMP10,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP15"",""BMPR1B_BMPR2""]",BMP15,BMPR1B_BMPR2,BMP15_BMPR1B_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP15;BMPR1B;BMPR2,BMP15;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP2"",""BMPR1A_ACVR2A""]",BMP2,BMPR1A_ACVR2A,BMP2_BMPR1A_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;BMP2;BMPR1A,BMP2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP2"",""BMPR1A_ACVR2B""]",BMP2,BMPR1A_ACVR2B,BMP2_BMPR1A_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP2;BMPR1A,ACVR2B;BMP2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP2"",""BMPR1A_BMPR2""]",BMP2,BMPR1A_BMPR2,BMP2_BMPR1A_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP2;BMPR1A;BMPR2,BMP2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP2"",""BMPR1B_ACVR2A""]",BMP2,BMPR1B_ACVR2A,BMP2_BMPR1B_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;BMP2;BMPR1B,BMP2;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP2"",""BMPR1B_ACVR2B""]",BMP2,BMPR1B_ACVR2B,BMP2_BMPR1B_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP2;BMPR1B,ACVR2B;BMP2;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP2"",""BMPR1B_BMPR2""]",BMP2,BMPR1B_BMPR2,BMP2_BMPR1B_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP2;BMPR1B;BMPR2,BMP2;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP4"",""BMPR1A_ACVR2A""]",BMP4,BMPR1A_ACVR2A,BMP4_BMPR1A_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;BMP4;BMPR1A,BMP4,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP4"",""BMPR1A_ACVR2B""]",BMP4,BMPR1A_ACVR2B,BMP4_BMPR1A_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP4;BMPR1A,ACVR2B;BMP4,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP4"",""BMPR1A_BMPR2""]",BMP4,BMPR1A_BMPR2,BMP4_BMPR1A_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP4;BMPR1A;BMPR2,BMP4,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP4"",""BMPR1B_ACVR2A""]",BMP4,BMPR1B_ACVR2A,BMP4_BMPR1B_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;BMP4;BMPR1B,BMP4;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP4"",""BMPR1B_ACVR2B""]",BMP4,BMPR1B_ACVR2B,BMP4_BMPR1B_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP4;BMPR1B,ACVR2B;BMP4;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP4"",""BMPR1B_BMPR2""]",BMP4,BMPR1B_BMPR2,BMP4_BMPR1B_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP4;BMPR1B;BMPR2,BMP4;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP5"",""ACVR1_ACVR2A""]",BMP5,ACVR1_ACVR2A,BMP5_ACVR1_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;ACVR2A;BMP5,ACVR1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP5"",""ACVR1_ACVR2B""]",BMP5,ACVR1_ACVR2B,BMP5_ACVR1_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;ACVR2B;BMP5,ACVR1;ACVR2B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP5"",""ACVR1_BMPR2""]",BMP5,ACVR1_BMPR2,BMP5_ACVR1_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;BMP5;BMPR2,ACVR1,,False,not_scoreable_in_uniform_active_pca_universe,,
