time,pair_id,ligand,receptor,pair,cell_type,incoming,outgoing,total,n_cells,n_expression_cells,expression_supported
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MSN,0.0001044753941004062,4.751397015628681e-05,0.000151989364256693,2127,2127,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,CMPN,4.308194121451555e-05,2.474975541487633e-05,6.783169662939188e-05,1316,1316,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,mpEX,3.388500160254565e-05,2.7901187618652323e-05,6.178618922119798e-05,938,938,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MCG,2.2346933838022317e-05,3.1301628757380495e-05,5.364856259540281e-05,316,316,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,nptxEX,1.8566726554875177e-05,2.7380721663855016e-05,4.59474482187302e-05,702,702,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,VLMC,1.6086811156684046e-05,1.1913402266410194e-05,2.800021342309424e-05,1464,1464,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,dpEX,7.017099331243673e-06,1.4191850433044187e-05,2.120894976428786e-05,321,321,True
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sstIN,3.1279076804981863e-06,2.7181724551734806e-06,5.846080135671667e-06,420,420,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sfrpEGC,0.00014217083919785027,0.00013651918655455057,0.0002786900257524008,393,393,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,VLMC,7.3755065307144e-05,3.147355294064867e-05,0.00010522861824779266,1406,1406,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,wntEGC,9.469433990363501e-05,0.0,9.469433990363501e-05,431,431,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sstIN,9.040909283367639e-06,2.047171340436838e-05,2.951262268773602e-05,547,547,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,dpEX,2.818727819843419e-07,1.5328419062790053e-05,1.5610291844774396e-05,254,254,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,mpEX,4.138389479223181e-06,7.151937337555409e-06,1.1290326816778591e-05,588,588,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MSN,3.1687608642852256e-06,4.424159542200639e-06,7.592920406485864e-06,859,859,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,CMPN,8.97066615245813e-07,2.707373412031577e-06,3.60444002727739e-06,1202,1202,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,nptxEX,5.396541726476084e-07,1.3687275308024073e-06,1.9083817034500155e-06,536,536,True
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MCG,0.0,0.0,0.0,205,205,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sfrpEGC,0.0011103723897772377,0.0007017089888836489,0.0018120813786608866,974,974,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,wntEGC,0.0005928399951728705,0.0004922718573621841,0.0010851118525350546,649,649,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MCG,0.0002580124539048981,9.342468754038852e-05,0.0003514371414452866,103,103,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,nptxEX,0.00019046550099062807,9.141712264150616e-05,0.0002818826236321342,812,812,True
