distance,true_coefficient,learned_coefficient,shape_aligned_learned,is_interior_assessment_point
0.19437735849056603,0.44697385564182207,0.23928013443946838,0.43502862146669685,True
0.196188679245283,0.4426432245409338,0.23427452147006989,0.4259280544063581,True
0.19799999999999998,0.43815334002193185,0.2294037938117981,0.41707271861477063,True
0.19981132075471697,0.4335058174477471,0.22444596886634827,0.4080590336444546,True
0.20162264150943393,0.428702328896059,0.219166100025177,0.39845984953800817,True
0.20343396226415092,0.42374460255771834,0.21373367309570312,0.3885833037734227,True
0.2052452830188679,0.41863442211498103,0.20796173810958862,0.378089507762789,True
0.2070566037735849,0.41337362609977896,0.20165228843688965,0.36661847110628754,True
0.20886792452830186,0.4079641072322557,0.19516189396381378,0.3548184636923351,True
0.21067924528301885,0.4024078117398063,0.1882907748222351,0.34232627124561704,True
0.21249056603773583,0.39670673865686806,0.18165388703346252,0.3302599283695465,True
0.21430188679245282,0.39086293910571074,0.1749841272830963,0.31813382188555883,True
0.21611320754716978,0.38487851555848734,0.16821348667144775,0.30582430668643135,True
0.21792452830188677,0.3787556210808101,0.1611437201499939,0.292970958910093,True
0.21973584905660376,0.37249645855712477,0.15369367599487305,0.27942623884271056,True
0.22154716981132072,0.3661032798981604,0.14601004123687744,0.26545683413448135,True
0.2233584905660377,0.3595783852307403,0.1375587284564972,0.2500917351594021,True
0.2251698113207547,0.35292412207024726,0.12938566505908966,0.23523251372314213,True
0.2269811320754717,0.3461428844760378,0.12111875414848328,0.22020267070815974,True
0.22879245283018865,0.33923711219011216,0.1127992644906044,0.20507723572103984,True
0.23060377358490564,0.33220928975934716,0.10462531447410583,0.19021640234703233,True
0.23241509433962262,0.3250619456416114,0.09644724428653717,0.17534807820349216,True
0.2342264150943396,0.3177976512960804,0.08782211691141129,0.15966697170141902,True
0.23603773584905657,0.3104190202580812,0.07846370339393616,0.1426526978622658,True
0.23784905660377356,0.3029287071987997,0.06881831586360931,0.1251166844750298,True
0.23966037735849055,0.2953294069701876,0.05917038396000862,0.1075760452328292,True
0.2414716981132075,0.2876238536354123,0.04940710589289665,0.08982569830795226,True
0.2432830188679245,0.2798148194852015,0.03948754072189331,0.07179121010440982,True
0.2450943396226415,0.27190511404043277,0.0295775905251503,0.05377420262072616,True
0.24690566037735848,0.26389758304132827,0.019565388560295105,0.03557129401395688,True
0.24871698113207544,0.25579510742362105,0.009005370549857616,0.016372416144276272,True
0.2505283018867924,0.24760060228205463,-0.0010537365451455116,-0.001915769387615821,True
0.2523396226415094,0.23931701582159667,-0.010571399703621864,-0.019219570612551036,True
0.2541509433962264,0.23094732829673864,-0.019954223185777664,-0.03627822353611907,True
0.25596226415094336,0.22249455093926568,-0.029293455183506012,-0.05325762398257452,True
0.2577735849056603,0.2139617248748783,-0.03859299421310425,-0.07016485973701315,True
0.25958490566037734,0.2053519200290643,-0.04778509587049484,-0.0868767665643974,True
0.2613962264150943,0.1966682340226056,-0.056699320673942566,-0.10308347313773024,True
0.2632075471698113,0.18791379105711914,-0.0653017982840538,-0.11872340072591674,True
0.2650188679245283,0.17909174079104087,-0.07345087826251984,-0.13353901856882108,True
0.26683018867924524,0.1702052572064445,-0.0807497650384903,-0.14680892356879166,True
0.26864150943396226,0.161257537467111,-0.08792924880981445,-0.15986174525496377,True
0.2704528301886792,0.15225180076826167,-0.09489906579256058,-0.17253337752808193,True
0.2722641509433962,0.1431912871783591,-0.10132163763046265,-0.1842100784771955,True
0.2740754716981132,0.1340792564734003,-0.10726910829544067,-0.1950230110704507,True
0.27588679245283015,0.1249189869641232,-0.11289070546627045,-0.2052434820401618,True
0.2776981132075471,0.11571377431653922,-0.118133544921875,-0.2147753440406817,True
0.27950943396226413,0.10646693036622344,-0.12278500199317932,-0.22323203001789946,True
0.2813207547169811,0.09718178192679144,-0.12648089230060577,-0.22995142638274307,True
0.2831320754716981,0.0878616695929809,-0.12967656552791595,-0.23576139185267833,True
0.28494339622641507,0.07850994653877974,-0.13237488269805908,-0.2406671279747225,True
0.28675471698113203,0.06912997731102584,-0.1345403790473938,-0.2446041572389741,True
0.28856603773584905,0.059725136618917506,-0.1363704353570938,-0.2479313322068427,True
0.290377358490566,0.05029880811986568,-0.13806922733783722,-0.25101985911390373,True
0.29218867924528297,0.04085438320212692,-0.13944590091705322,-0.2535227514278809,True
0.294,0.03139525976465679,-0.14030694961547852,-0.25508820034895047,True
0.2999,0.000523598679899948,-0.14085619151592255,-0.25608676191931085,False
0.3,0.0,0.0,0.0,False
0.3001,0.0,0.0,0.0,False
