variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
translate_low,baseline_repeat,D14,interaction,Vascular endothelial cells,77,0.8149711975704381,0.9629016893173022
translate_moderate,baseline_repeat,D4,full,Cardiomyocytes-1,1,0.9994901142802991,0.9994901142802991
translate_moderate,baseline_repeat,D4,full,Endocardial cells,32,0.9918333130373529,0.9970390769707489
translate_moderate,baseline_repeat,D4,full,Epi-epithelial cells,2,0.9905688098857464,0.9905688098857464
translate_moderate,baseline_repeat,D4,full,Immature myocardial cells,61,0.9917824020364964,0.99747387067336
translate_moderate,baseline_repeat,D4,full,TMSB4X high cells,5,0.996901141474285,0.9989000716763872
translate_moderate,baseline_repeat,D4,full,Valve cells,46,0.9369980412105876,0.9950954634096223
translate_moderate,baseline_repeat,D4,interaction,Cardiomyocytes-1,1,0.9925097364560937,0.9925097364560937
translate_moderate,baseline_repeat,D4,interaction,Endocardial cells,32,0.9336685857583427,0.9995060591943051
translate_moderate,baseline_repeat,D4,interaction,Epi-epithelial cells,2,0.9959853326920997,0.9959853326920997
translate_moderate,baseline_repeat,D4,interaction,Immature myocardial cells,61,0.9816388356331921,0.9989707868389824
translate_moderate,baseline_repeat,D4,interaction,TMSB4X high cells,5,0.9994587417499645,0.9995905511597306
translate_moderate,baseline_repeat,D4,interaction,Valve cells,46,0.8756867544421895,0.9934271230798977
translate_moderate,baseline_repeat,D7,full,Cardiomyocytes-1,79,0.9598747150454979,0.9968494160337054
translate_moderate,baseline_repeat,D7,full,Cardiomyocytes-2,10,0.9949576811014065,0.9971071603395643
translate_moderate,baseline_repeat,D7,full,Endocardial cells,89,0.9556621873396791,0.994913369935443
translate_moderate,baseline_repeat,D7,full,Epi-epithelial cells,36,0.9905052170750113,0.9974199576910022
translate_moderate,baseline_repeat,D7,full,Erythrocytes,34,0.9873920660247307,0.9950826431134068
translate_moderate,baseline_repeat,D7,full,Fibroblast cells,1,0.6834279208062191,0.6834279208062191
translate_moderate,baseline_repeat,D7,full,Immature myocardial cells,202,0.970848320834781,0.9953731741399761
translate_moderate,baseline_repeat,D7,full,MT-enriched cardiomyocytes,18,0.9967403738165278,0.9982271492349977
translate_moderate,baseline_repeat,D7,full,Macrophages,3,0.9995290498486237,0.9999864685322802
translate_moderate,baseline_repeat,D7,full,Valve cells,54,0.9863664143337781,0.9981170401764916
translate_moderate,baseline_repeat,D7,full,Vascular endothelial cells,2,0.9525230845700882,0.9525230845700882
translate_moderate,baseline_repeat,D7,interaction,Cardiomyocytes-1,79,0.5974760284685438,0.9191147532436802
translate_moderate,baseline_repeat,D7,interaction,Cardiomyocytes-2,10,0.9650344038865273,0.9949304315512337
translate_moderate,baseline_repeat,D7,interaction,Endocardial cells,89,0.8729391556027282,0.9742250059528134
translate_moderate,baseline_repeat,D7,interaction,Epi-epithelial cells,36,0.9025631151143243,0.9888031708260978
translate_moderate,baseline_repeat,D7,interaction,Erythrocytes,34,0.7689807183077824,0.976759530547717
translate_moderate,baseline_repeat,D7,interaction,Immature myocardial cells,202,0.8955579138053732,0.9902433944228453
translate_moderate,baseline_repeat,D7,interaction,MT-enriched cardiomyocytes,18,0.7353916300246932,0.9168372308822952
translate_moderate,baseline_repeat,D7,interaction,Macrophages,2,0.9965822183971107,0.9965822183971107
translate_moderate,baseline_repeat,D7,interaction,Valve cells,54,0.944703974861596,0.9871693167835991
translate_moderate,baseline_repeat,D7,interaction,Vascular endothelial cells,2,0.9364684208798906,0.9364684208798906
translate_moderate,baseline_repeat,D10,full,Cardiomyocytes-1,225,0.960616579017788,0.9936537540508834
translate_moderate,baseline_repeat,D10,full,Endocardial cells,65,0.9248782038375101,0.989994121057995
translate_moderate,baseline_repeat,D10,full,Epi-epithelial cells,84,0.9819047646599659,0.995182709695061
translate_moderate,baseline_repeat,D10,full,Erythrocytes,133,0.9894401059911088,0.9963543165362292
translate_moderate,baseline_repeat,D10,full,Fibroblast cells,12,0.9776159226512243,0.9961942916218068
translate_moderate,baseline_repeat,D10,full,Immature myocardial cells,263,0.9432432941265333,0.9923328356736046
translate_moderate,baseline_repeat,D10,full,MT-enriched cardiomyocytes,11,0.9033209977414686,0.9943038485047461
translate_moderate,baseline_repeat,D10,full,Macrophages,3,0.9369771561965804,0.9898226550382866
translate_moderate,baseline_repeat,D10,full,Mural cells,3,0.9421772294660279,0.9899234326193985
translate_moderate,baseline_repeat,D10,full,TMSB4X high cells,13,0.8609445902026831,0.9969895605204937
translate_moderate,baseline_repeat,D10,full,Valve cells,46,0.9847993848667361,0.9948731431762055
translate_moderate,baseline_repeat,D10,full,Vascular endothelial cells,50,0.9784296499299391,0.9961279982883307
translate_moderate,baseline_repeat,D10,interaction,Cardiomyocytes-1,225,0.5539753857194047,0.8338035527945072
translate_moderate,baseline_repeat,D10,interaction,Endocardial cells,65,0.7888738166209655,0.9588079122978583
translate_moderate,baseline_repeat,D10,interaction,Epi-epithelial cells,84,0.004106528998414327,0.024639293637608434
translate_moderate,baseline_repeat,D10,interaction,Erythrocytes,133,0.5751315827249125,0.8771991984617744
translate_moderate,baseline_repeat,D10,interaction,Fibroblast cells,11,0.3958444498888221,0.8689463834104071
translate_moderate,baseline_repeat,D10,interaction,Immature myocardial cells,263,0.5356948054621952,0.8153085479758205
translate_moderate,baseline_repeat,D10,interaction,MT-enriched cardiomyocytes,11,0.5470113978902985,0.9731509581611479
translate_moderate,baseline_repeat,D10,interaction,Mural cells,3,0.13885628734982283,0.3239686872697582
translate_moderate,baseline_repeat,D10,interaction,TMSB4X high cells,13,0.7599302893627746,0.8336527552593309
translate_moderate,baseline_repeat,D10,interaction,Valve cells,46,0.4429047027134635,0.7989106584347143
translate_moderate,baseline_repeat,D10,interaction,Vascular endothelial cells,50,0.3826237204179994,0.7204656145410202
translate_moderate,baseline_repeat,D14,full,Cardiomyocytes-1,977,0.9702559908523272,0.9961011222683602
translate_moderate,baseline_repeat,D14,full,Cardiomyocytes-2,1,0.9994288411225324,0.9994288411225324
translate_moderate,baseline_repeat,D14,full,Endocardial cells,28,0.9781921527543264,0.9977837476086814
translate_moderate,baseline_repeat,D14,full,Epi-epithelial cells,6,0.9994636170237259,0.9999084852114899
translate_moderate,baseline_repeat,D14,full,Erythrocytes,241,0.9879167460246645,0.9978890613304626
