time,cell_index,x,y,growth,final_knn10_brain_support,retained_in_figure
1.0,26231,0.8720134,2.869929,0.26810426,1,True
1.0,33489,-1.201722,2.765155,0.22628164,1,True
1.0,35571,0.86522746,2.7396286,0.35276452,1,True
1.0,41141,-1.0333695,3.050973,0.1166716,1,True
1.0,46689,-1.2307208,2.915623,0.30981815,1,True
1.0,51101,-0.9276179,2.8195505,0.1315626,1,True
1.0,54877,-0.9734807,2.8086367,0.15576677,1,True
1.0,57950,-1.0484855,3.0566194,0.29637405,1,True
1.0,60912,0.9930691,3.0286484,0.4201801,1,True
1.0,61456,0.8731095,2.8500865,0.40317175,1,True
1.0,65360,-0.88129485,2.9154897,0.25033498,1,True
1.0,67667,0.026692534,2.7560554,0.17011186,1,True
1.0,72210,0.89714396,3.0874245,0.23104015,1,True
1.0,75931,-0.38996166,2.5704958,-0.016405871,1,True
1.25,454,-0.84346884,2.7961748,0.20098788,1,True
1.25,4085,0.27813834,2.5404034,0.24174182,1,True
1.25,6564,-0.9470423,2.6890635,0.081312165,1,True
1.25,8606,0.98220545,2.788298,0.33424914,1,True
1.25,9558,0.45742184,3.6041932,0.23101005,1,True
1.25,11653,0.92359036,2.9297078,0.3666879,1,True
1.25,16720,0.6504556,2.5587602,0.020597512,1,True
1.25,17978,0.6228241,2.5813518,0.3224973,1,True
1.25,19009,-0.03128764,2.5620794,0.17652364,1,True
1.25,22936,0.81582683,2.6273375,0.13060102,1,True
1.25,23402,0.4825146,2.6777537,0.059330806,1,True
1.25,27624,0.28579912,2.5620198,0.08831821,1,True
1.25,31023,0.3012483,2.6144636,0.17977194,1,True
1.25,31965,-0.87411416,2.755095,0.2546047,1,True
1.25,36477,-0.98495686,2.8911922,0.08597913,1,True
1.25,43801,-1.1058961,3.1077552,0.0923192,1,True
1.25,49413,-1.0348809,3.3587325,0.22284691,1,True
1.25,55070,0.48774675,3.6191127,0.24062772,1,True
1.25,63412,0.79139155,2.757669,0.03153129,1,True
1.25,64679,-0.9462312,3.0096703,0.22083281,1,True
1.25,66594,0.21590608,2.6325932,0.019407222,1,True
1.25,67592,1.0311143,2.9241009,0.22595346,1,True
1.25,72469,-0.34498376,3.840644,0.13877855,1,True
1.25,72820,1.0308292,2.971852,0.06090217,1,True
1.25,72968,0.01291206,3.4167495,0.123010196,1,True
1.25,73199,-0.3311197,2.5711825,0.08951799,1,True
1.25,80841,-0.47162822,2.567011,0.10292455,1,True
1.25,81340,-1.0504271,3.2923932,-0.01826297,1,True
1.25,81343,0.8045847,2.6115844,-0.031210313,1,True
1.5,1212,0.2557034,2.6604915,0.21033126,1,True
1.5,3414,0.025628366,2.5515852,0.24883653,1,True
1.5,4825,1.1241128,2.970917,0.017447298,1,True
1.5,7648,-0.32238603,3.8691018,0.08967518,1,True
1.5,8033,0.67887914,2.598635,0.24360593,1,True
1.5,8516,0.9576136,2.9534216,0.2677349,1,True
1.5,11980,-1.1750405,2.8289216,0.24479316,1,True
1.5,12156,0.5184535,3.651707,0.18392557,1,True
1.5,15979,-0.054348595,2.926714,-0.006427275,1,True
1.5,16465,-1.0869528,3.2918322,0.083706215,1,True
1.5,20794,1.0934494,2.9188948,0.15587577,1,True
1.5,22050,-1.1897662,3.1560783,0.23003873,1,True
1.5,24110,-1.0252435,2.7524126,0.10471948,1,True
1.5,30872,0.57300985,2.5551045,0.13538109,1,True
1.5,34880,-0.59863055,3.7704651,0.098606,1,True
1.5,35151,1.0715638,2.7349625,0.26831612,1,True
