module,pathway,observed_lr_score,null_mean,null_sd,empirical_p_greater,n_permutations,fold_over_null_mean,adjusted_p_value
N1_sfrpEGC_VLMC,BAG,0.0,0.0029877328416342184,0.014813483180753638,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,CCL,0.0,1.1262921543854091e-05,0.0002916911638775633,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,CD40,0.0,0.0004962558892633825,0.002264390495343323,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,CDH5,0.0,0.0011189881735766349,0.0021199025200362522,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,CLDN,0.0,8.828160618427859e-05,0.0009180020213846073,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,CSPG4,0.0,9.360171489874234e-05,0.0011988309227660887,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,CXCL,0.0,0.08434927594049808,0.11899157702474067,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,EDN,0.0,0.0031414283462876257,0.03958453860527328,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,FN1,0.0,0.08596220233739306,0.0778911941112559,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,GDNF,0.0,3.673669783317504e-05,0.00018523127216385108,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,MSTN,0.0,0.007833104121201043,0.01785304019881649,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,NMU,0.0,7.354379208110558e-05,0.000653163446033942,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,NOTCH,0.0,0.0005239505332545236,0.005033780899143782,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,NPFF,0.0,4.409449633631461e-05,0.0008130568779459494,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,NPR2,0.0,1.8279960714262432e-05,0.0001484373373807935,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,NPW-B,0.0,0.000200368748728401,0.0009467545121814589,1.0,1999,0.0,1.0
N1_sfrpEGC_VLMC,CDH1,0.0,0.0,0.0,1.0,1999,,1.0
N1_sfrpEGC_VLMC,UROTENSIN,0.0,0.0,0.0,1.0,1999,,1.0
N2_reaEGC_wntEGC,BAG,0.1956727077728292,0.0034373316903103745,0.0112273685515875,0.0005,1999,56.9257567794282,0.005714285714285714
N2_reaEGC_wntEGC,NTS,0.7577647511733392,0.0643313003625813,0.06348703114076522,0.0005,1999,11.779098928553568,0.005714285714285714
N2_reaEGC_wntEGC,GALANIN,0.0495346607355336,0.005915781123654101,0.005936142667308716,0.0005,1999,8.373308562325018,0.005714285714285714
N2_reaEGC_wntEGC,GRN,7.410522198126733,1.2497569232748165,0.684457036129906,0.0005,1999,5.929570831028867,0.005714285714285714
N2_reaEGC_wntEGC,AGRN,7.26382610179781,1.327035444685055,0.8254285721253796,0.0005,1999,5.473724255738875,0.005714285714285714
N2_reaEGC_wntEGC,L1CAM,17.81940570673463,4.109034438830207,2.3865303434372542,0.0005,1999,4.336640632247318,0.005714285714285714
N2_reaEGC_wntEGC,NRXN,17.857139674635153,4.875315015429192,1.9576728039197129,0.0005,1999,3.662766327534042,0.005714285714285714
N2_reaEGC_wntEGC,GDF,0.19532306907943836,0.03193562675959801,0.029241308573405664,0.001,1999,6.116149545138816,0.01
N2_reaEGC_wntEGC,SEMA3,2.4861106085115403,0.5802228043744675,0.42599561225184907,0.002,1999,4.284751632938302,0.017777777777777778
N2_reaEGC_wntEGC,FN1,1.746046369447262,0.3375593651558295,0.34311484037090423,0.0025,1999,5.172560887597429,0.018181818181818184
N2_reaEGC_wntEGC,EPHB,3.9242451225262394,1.1782689584517532,0.642023706130515,0.0025,1999,3.330517276533112,0.018181818181818184
N2_reaEGC_wntEGC,LAMININ,5.800832347813509,1.9080725080695782,1.0777430588001993,0.006,1999,3.040152993809594,0.037142857142857144
N2_reaEGC_wntEGC,VIP,0.0522501281067162,0.00483645394663359,0.010402720705736437,0.0065,1999,10.803396183082619,0.037142857142857144
N2_reaEGC_wntEGC,SEMA5,7.289372779168044,2.690801283885195,1.270883375385583,0.0065,1999,2.7089970644889325,0.037142857142857144
N2_reaEGC_wntEGC,THBS,5.220571109567157,1.6143945246976716,1.0412200453989806,0.007,1999,3.2337641324352333,0.037333333333333336
N2_reaEGC_wntEGC,TAC,0.030305480157610393,0.003795644215471283,0.006558298672987434,0.0075,1999,7.984278408941323,0.0375
N2_reaEGC_wntEGC,TENASCIN,3.0181692259131427,0.9196882258015598,0.5984118420262813,0.0085,1999,3.2817308531732468,0.04
N2_reaEGC_wntEGC,JAM,3.827535002800764,1.0925429119253787,0.801753087031619,0.0095,1999,3.5033269275030428,0.042222222222222223
N2_reaEGC_wntEGC,WNT,18.291058457407175,6.602083275346352,3.8514669338036853,0.014,1999,2.770497992006562,0.05600000000000001
N2_reaEGC_wntEGC,CNTN,3.529974791301652,1.380311165544072,0.7531468555764675,0.014,1999,2.55737610432953,0.05600000000000001
N2_reaEGC_wntEGC,PSAP,12.781399452898834,4.950870973658116,2.7665320554946464,0.019,1999,2.5816466478129345,0.07238095238095238
N2_reaEGC_wntEGC,NEGR,0.14006746643613419,0.043335964017427696,0.038570711897042545,0.0295,1999,3.232129932076868,0.10434782608695652
N2_reaEGC_wntEGC,CDH,1.8147278153691666,0.6706344229853783,0.4783431343314702,0.03,1999,2.705986679435232,0.10434782608695652
N2_reaEGC_wntEGC,CALCR,0.05101634783467462,0.016150251941575787,0.01786720519848257,0.0415,1999,3.1588577081786955,0.13833333333333334
N2_reaEGC_wntEGC,ncWNT,3.029932177855274,1.1425905413008683,0.925353234869576,0.0455,1999,2.6518092600395757,0.14559999999999998
N2_reaEGC_wntEGC,EPHA,5.8151521194597855,2.7788646687915874,1.5147850289359102,0.051,1999,2.0926359548083187,0.15692307692307692
N2_reaEGC_wntEGC,CD34,0.0015884266761851931,0.0003534044614658122,0.0017174463721758575,0.057,1999,4.494642398109213,0.1688888888888889
N2_reaEGC_wntEGC,NGL,0.16426315024879418,0.07728658520709933,0.06492194023375852,0.094,1999,2.1253772541331717,0.2541935483870968
N2_reaEGC_wntEGC,HSPG,0.27755460222371564,0.08219829876563492,0.12330051745092299,0.095,1999,3.3766465534169225,0.2541935483870968
N2_reaEGC_wntEGC,NCAM,3.904369203880496,2.0586741192176836,1.2794010446097643,0.0965,1999,1.896545532599494,0.2541935483870968
N2_reaEGC_wntEGC,SEMA6,2.2768926223478116,1.3600698393777204,0.6840779065131609,0.0985,1999,1.6740997825446742,0.2541935483870968
N2_reaEGC_wntEGC,SEMA4,0.987615053060134,0.5386112292269308,0.3582171791574037,0.106,1999,1.833632496815298,0.265
N2_reaEGC_wntEGC,GPR,0.03127302481216238,0.012771534838472164,0.032746544585579,0.11,1999,2.44865047213883,0.26666666666666666
N2_reaEGC_wntEGC,VISTA,0.8944074133626916,0.45900302898921147,0.3539317849935662,0.1155,1999,1.9485871701812103,0.26742857142857146
N2_reaEGC_wntEGC,COLLAGEN,0.8564041842968241,0.4847251730969081,0.3373627414963042,0.117,1999,1.7667829768882428,0.26742857142857146
N2_reaEGC_wntEGC,SEMATOSTATIN,0.28645933235802257,0.21108113547481452,0.3724684043543618,0.129,1999,1.3571053221485152,0.2866666666666667
N2_reaEGC_wntEGC,FGF,0.7150028553031431,0.4106670128498297,0.2778147322749733,0.1345,1999,1.7410769137296185,0.29081081081081084
