niche,time,dpi,pathway,interaction_class,inj,uninj,log2_inj_over_uninj
N1_sfrpEGC_VLMC,1.0,5,AGT,Secreted Signaling,0.04556839519573178,0.01728299077106236,1.3986806700462446
N1_sfrpEGC_VLMC,1.0,5,ANGPT,Secreted Signaling,0.0052317002505011785,0.004241354200378572,0.3027549150472879
N1_sfrpEGC_VLMC,1.0,5,ANGPTL,Secreted Signaling,7.918332248963133,2.556398273182794,1.6310839853767418
N1_sfrpEGC_VLMC,1.0,5,BAG,Secreted Signaling,0.08911364269491925,0.013234025992728115,2.7513942971554703
N1_sfrpEGC_VLMC,1.0,5,BMP,Secreted Signaling,0.06436134765780317,0.715215900312481,-3.474112370130517
N1_sfrpEGC_VLMC,1.0,5,CALCR,Secreted Signaling,0.14240167991345282,0.12965622872043664,0.13527465056798846
N1_sfrpEGC_VLMC,1.0,5,CCK,Secreted Signaling,0.09806276467560616,0.08798632776474176,0.1564260758489288
N1_sfrpEGC_VLMC,1.0,5,CCL,Secreted Signaling,0.0005350088277355166,0.0,28.994987458216144
N1_sfrpEGC_VLMC,1.0,5,CD34,Cell-Cell Contact,0.018766851648889703,0.06634557973315204,-1.821813707249033
N1_sfrpEGC_VLMC,1.0,5,CD40,Secreted Signaling,0.004457051766023342,0.0006195923208613197,2.846698546299
N1_sfrpEGC_VLMC,1.0,5,CD45,Cell-Cell Contact,0.001542258070302641,0.0,30.522397050520752
N1_sfrpEGC_VLMC,1.0,5,CDH,Cell-Cell Contact,9.017380572458553,7.603563083341446,0.24603277677996505
N1_sfrpEGC_VLMC,1.0,5,CDH1,Cell-Cell Contact,0.0,0.0,0.0
N1_sfrpEGC_VLMC,1.0,5,CDH5,Cell-Cell Contact,0.003883687220071484,0.024142516053206203,-2.6360771160872893
N1_sfrpEGC_VLMC,1.0,5,CLDN,Cell-Cell Contact,0.0001957309770757909,0.005199486217648856,-4.731425059486609
N1_sfrpEGC_VLMC,1.0,5,CNTN,Cell-Cell Contact,8.911187469341408,7.815265912935969,0.18932273086670864
N1_sfrpEGC_VLMC,1.0,5,COLLAGEN,ECM-Receptor,3.3483759853159327,0.7666239329356382,2.1268705926697393
N1_sfrpEGC_VLMC,1.0,5,CSPG4,Cell-Cell Contact,0.003242179033369433,8.468017072989615e-05,5.258795753894601
N1_sfrpEGC_VLMC,1.0,5,CXCL,Secreted Signaling,0.13930937624741913,0.028903417909312473,2.2689803514508537
N1_sfrpEGC_VLMC,1.0,5,EDN,Secreted Signaling,0.04618274579538678,0.0,35.4266349000079
N1_sfrpEGC_VLMC,1.0,5,EGF,Secreted Signaling,0.44448449233961573,0.004862042831583283,6.514426672422613
N1_sfrpEGC_VLMC,1.0,5,EPHA,Cell-Cell Contact,7.092357205495363,3.9453131908964805,0.8461253689018264
N1_sfrpEGC_VLMC,1.0,5,EPHB,Cell-Cell Contact,13.077327372537383,21.623674547828774,-0.7255439777061026
N1_sfrpEGC_VLMC,1.0,5,ESAM,Cell-Cell Contact,0.0019482455407898373,0.04061688157006993,-4.381832058455072
N1_sfrpEGC_VLMC,1.0,5,FGF,Secreted Signaling,3.923325758986367,6.524257835006307,-0.7337366683865496
N1_sfrpEGC_VLMC,1.0,5,FN1,ECM-Receptor,0.3578006069172105,0.07944838706791928,2.171065998623931
