niche,time,dpi,condition,pathway,interaction_class,lr_score
N2_reaEGC_wntEGC,0.0,2,inj,THBS,ECM-Receptor,4.9710093134606845
N2_reaEGC_wntEGC,0.0,2,inj,THY1,Cell-Cell Contact,0.00022496896720054847
N2_reaEGC_wntEGC,0.0,2,inj,UCN,Secreted Signaling,0.0007934080919765296
N2_reaEGC_wntEGC,0.0,2,inj,UROTENSIN,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,VEGF,Secreted Signaling,0.045852213750224954
N2_reaEGC_wntEGC,0.0,2,inj,VIP,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,inj,VISTA,Cell-Cell Contact,0.09727042020668149
N2_reaEGC_wntEGC,0.0,2,inj,WNT,Secreted Signaling,3.5246375986459797
N2_reaEGC_wntEGC,0.0,2,inj,ncWNT,Secreted Signaling,0.21911528982788223
N1_sfrpEGC_VLMC,0.0,2,uninj,ACTIVIN,Secreted Signaling,0.11029267585615649
N1_sfrpEGC_VLMC,0.0,2,uninj,ADIPONECTIN,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,AGRN,ECM-Receptor,10.37384315323918
N1_sfrpEGC_VLMC,0.0,2,uninj,AGT,Secreted Signaling,0.014347426141436918
N1_sfrpEGC_VLMC,0.0,2,uninj,ANGPT,Secreted Signaling,0.009055980804120782
N1_sfrpEGC_VLMC,0.0,2,uninj,ANGPTL,Secreted Signaling,6.968856241828137
N1_sfrpEGC_VLMC,0.0,2,uninj,BAG,Secreted Signaling,0.0015008828947976293
N1_sfrpEGC_VLMC,0.0,2,uninj,BMP,Secreted Signaling,0.03531495088013532
N1_sfrpEGC_VLMC,0.0,2,uninj,CALCR,Secreted Signaling,0.017348817463647647
N1_sfrpEGC_VLMC,0.0,2,uninj,CCK,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,CCL,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,CD34,Cell-Cell Contact,0.013320641044346881
N1_sfrpEGC_VLMC,0.0,2,uninj,CD40,Secreted Signaling,0.0032590574521803367
N1_sfrpEGC_VLMC,0.0,2,uninj,CD45,Cell-Cell Contact,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,CDH,Cell-Cell Contact,11.875504926023298
N1_sfrpEGC_VLMC,0.0,2,uninj,CDH1,Cell-Cell Contact,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,CDH5,Cell-Cell Contact,0.06584937816408486
N1_sfrpEGC_VLMC,0.0,2,uninj,CLDN,Cell-Cell Contact,0.00933449670815652
N1_sfrpEGC_VLMC,0.0,2,uninj,CNTN,Cell-Cell Contact,13.5082212994587
N1_sfrpEGC_VLMC,0.0,2,uninj,COLLAGEN,ECM-Receptor,2.390899240102727
N1_sfrpEGC_VLMC,0.0,2,uninj,CSPG4,Cell-Cell Contact,0.006802218082354622
N1_sfrpEGC_VLMC,0.0,2,uninj,CXCL,Secreted Signaling,0.09017753143459817
N1_sfrpEGC_VLMC,0.0,2,uninj,EDN,Secreted Signaling,0.39550203933855865
N1_sfrpEGC_VLMC,0.0,2,uninj,EGF,Secreted Signaling,0.03447106386991257
N1_sfrpEGC_VLMC,0.0,2,uninj,EPHA,Cell-Cell Contact,3.6591595800726213
N1_sfrpEGC_VLMC,0.0,2,uninj,EPHB,Cell-Cell Contact,11.852914262386394
N1_sfrpEGC_VLMC,0.0,2,uninj,ESAM,Cell-Cell Contact,0.017574998168993848
N1_sfrpEGC_VLMC,0.0,2,uninj,FGF,Secreted Signaling,3.0817714450240143
N1_sfrpEGC_VLMC,0.0,2,uninj,FN1,ECM-Receptor,0.38829398203243515
N1_sfrpEGC_VLMC,0.0,2,uninj,GALANIN,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,GAS,Secreted Signaling,0.12625119284427827
N1_sfrpEGC_VLMC,0.0,2,uninj,GDF,Secreted Signaling,0.34120960535999345
N1_sfrpEGC_VLMC,0.0,2,uninj,GDNF,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,GPR,Secreted Signaling,0.049596906263059175
N1_sfrpEGC_VLMC,0.0,2,uninj,GRN,Secreted Signaling,3.963674188857833
N1_sfrpEGC_VLMC,0.0,2,uninj,HH,Secreted Signaling,0.0061463036762441445
N1_sfrpEGC_VLMC,0.0,2,uninj,HSPG,ECM-Receptor,0.14601284181343716
N1_sfrpEGC_VLMC,0.0,2,uninj,JAM,Cell-Cell Contact,6.003197782522856
N1_sfrpEGC_VLMC,0.0,2,uninj,L1CAM,Cell-Cell Contact,5.035646683905815
N1_sfrpEGC_VLMC,0.0,2,uninj,LAMININ,ECM-Receptor,20.106262405646707
N1_sfrpEGC_VLMC,0.0,2,uninj,MAG,Cell-Cell Contact,0.0001957587991430158
N1_sfrpEGC_VLMC,0.0,2,uninj,MPZ,Cell-Cell Contact,0.008834081650844202
N1_sfrpEGC_VLMC,0.0,2,uninj,MSTN,Secreted Signaling,0.017805750287583202
N1_sfrpEGC_VLMC,0.0,2,uninj,NCAM,Cell-Cell Contact,3.919467093316331
N1_sfrpEGC_VLMC,0.0,2,uninj,NEGR,Cell-Cell Contact,0.7769669012317459
N1_sfrpEGC_VLMC,0.0,2,uninj,NGL,Cell-Cell Contact,0.30739020458058075
N1_sfrpEGC_VLMC,0.0,2,uninj,NMU,Secreted Signaling,0.00012152058958381465
N1_sfrpEGC_VLMC,0.0,2,uninj,NOTCH,Cell-Cell Contact,0.007042950102341328
N1_sfrpEGC_VLMC,0.0,2,uninj,NPFF,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,NPR2,Secreted Signaling,0.030552242389859267
N1_sfrpEGC_VLMC,0.0,2,uninj,NPW-B,Secreted Signaling,7.775664446143568e-05
N1_sfrpEGC_VLMC,0.0,2,uninj,NPY,Secreted Signaling,0.18737966099194098
