"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","pattern","significant_fdr_0p05"
"GO:1902903","regulation of supramolecular fiber organization","40/1205","48/1691",0.0384879110249072,0.999985291063607,0.999985291063607,"Aebp1/Arf1/Arf6/Cav1/Cdh5/Chrna7/Cib1/Clu/Coro1a/Cyfip1/Emilin1/Esam/Fes/Flna/Gja1/Hspg2/Id1/Ldlr/Met/Myadm/Nrp1/Pecam1/Plekhg2/Pxn/Rdx/Rock2/Rps3/S100a10/S1pr1/Sdc4/Sgk1/Slit2/Snca/Tac1/Tacr1/Tgfbr1/Tmsb15a/Trem2/Wasf3/Wnt11",40,2,FALSE
"GO:0030522","intracellular receptor signaling pathway","26/1205","30/1691",0.0400830878978678,0.999985291063607,0.999985291063607,"Aldh1a2/Atat1/Bdnf/Btk/Cav1/Cd86/Colec12/Dab2/Ddrgk1/Flt1/Foxp1/Irf1/Isl1/Lmo3/Nagk/Nfkbia/Prcp/Ptgis/Sfrp1/Skp2/Slc15a3/Snai2/Snw1/Tifa/Trem2/Ufsp2",26,2,FALSE
"GO:0034976","response to endoplasmic reticulum stress","22/1205","25/1691",0.043024243851827,0.999985291063607,0.999985291063607,"Alox5/Atf3/Aup1/Bag6/Cav1/Ccnd1/Clu/Ddrgk1/Manf/Map3k5/Mbtps2/Nfe2l1/Nr1h3/Parp16/Pmp22/Rhbdd1/Rnf139/Rnf5/Selenok/Thbs1/Tmbim6/Tmub1",22,2,FALSE
"GO:0089718","amino acid import across plasma membrane","14/1205","15/1691",0.0430759972636417,0.999985291063607,0.999985291063607,"Agt/Gfap/Itgb1/Kcnj10/Rgs2/Slc16a2/Slc1a3/Slc38a4/Slc6a6/Slc6a9/Slc7a11/Slc7a2/Slc7a3/Slc7a5",14,2,FALSE
"GO:0001816","cytokine production","100/1205","128/1691",0.0436446550151128,0.999985291063607,0.999985291063607,"Abcc9/Abcd1/Agt/Aif1/Alox5/Angpt1/Anxa4/Axl/B2m/Bank1/Bmpr1a/Btk/C3ar1/Ccbe1/Ccl5/Ccn1/Cd247/Cd34/Cd74/Ceacam1/Chrna7/Clu/Col3a1/Crhr2/Csf1r/Dll1/Drd2/Epha2/Ephb2/F2r/Fbln1/Fgfr1/Fgfr4/Flt1/Fn1/Fosl2/Foxp1/Fzd5/Gas6/Gpnmb/Hdac3/Hdac7/Heg1/Hmox1/Ifngr1/Il17d/Il17ra/Il18r1/Ilrun/Inhbb/Iqgap1/Irf1/Irf8/Isl1/Itgb6/Itgb8/Laptm5/Ltb/Lum/Lyn/Met/Mul1/Ncl/Nfatc1/Nr4a3/Polr3c/Prkd2/Ptafr/Ptprc/Rabgef1/Rbpj/Rock2/Rps3/S1pr3/Selenok/Siglec1/Slc7a5/Snai2/Stat1/Sulf1/Sulf2/Tcirg1/Tek/Thbs1/Tnfrsf1b/Tnfrsf4/Tnfrsf8/Traf3ip3/Trem2/Trim32/Trim38/Trim55/Trim65/Tsku/Tspo/Twist2/Vegfd/Vsir/Wnt11/Zbtb25",100,2,FALSE
"GO:0032271","regulation of protein polymerization","18/1205","20/1691",0.0446552764263838,0.999985291063607,0.999985291063607,"Arf6/Cav1/Cdh5/Coro1a/Cyfip1/Esam/Fes/Met/Myadm/Pecam1/Plekhg2/Rdx/Rps3/Sgk1/Slit2/Snca/Tmsb15a/Tppp3",18,2,FALSE
"GO:0034249","negative regulation of amide metabolic process","18/1205","20/1691",0.0446552764263838,0.999985291063607,0.999985291063607,"Bank1/Clu/Dcp2/Dcps/Eif4ebp1/Exosc8/Grb7/Ncl/Parp16/Polr2g/Rgs2/Rnf139/Rock2/Rps3/Shfl/Trim2/Zar1/Zfp36l2",18,2,FALSE
"GO:0048193","Golgi vesicle transport","18/1205","20/1691",0.0446552764263838,0.999985291063607,0.999985291063607,"Arf1/Arf5/Atp9b/Bet1l/Blzf1/Chic2/Cnih4/Krt18/Laptm5/Pgap1/Pitpnb/Pkdcc/Plpp3/Preb/Rnf139/Slc30a6/Sort1/Trappc2l",18,2,FALSE
"GO:0150076","neuroinflammatory response","18/1205","20/1691",0.0446552764263838,0.999985291063607,0.999985291063607,"Agt/Aif1/Bpgm/Clu/Csf1r/Cst7/Ctsc/Grn/Ifngr1/Ifngr2/Itgam/Itgb1/Ldlr/Pomgnt1/Smo/Snca/Tnfrsf1b/Trem2",18,2,FALSE
"GO:0006909","phagocytosis","29/1205","34/1691",0.0450048528582696,0.999985291063607,0.999985291063607,"Aif1/Axl/Btk/Cfp/Colec12/Coro1a/Gas6/Hck/Irf8/Itgal/Itgam/Itgb1/Itgb2/Itgb3/Ldlr/Marco/Met/Ncf2/Nr1h3/Pecam1/Pip4p2/Pros1/Ptprc/Ptx3/Tgm2/Thbs1/Trem2/Tyro3/Unc13d",29,2,FALSE
