benchmark,split,method,space,projection_repeat,projection_seed,projection_sha256,n_projections,primary_metric,primary_value,sliced_w2,exact_w1,exact_w2,n_predicted,n_observed,predicted_weight_sum,exact_ot_predicted_points,exact_ot_observed_points,target,dataset
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),spatial,2,3492434686,75dbbf8ced050ec293832743853b53226b7c434e0fec3da283524a764b255200,1024,sliced_w2,0.1597286062473125,0.1597286062473125,0.2293422926634543,0.2419824543376079,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),spatial,3,2342638583,5e73c7cee21b6a13b4f7aac4bda35239685758cae64d2371faae94c48c3998a4,1024,sliced_w2,0.1587130862917043,0.1587130862917043,0.2293422926634543,0.2419824543376079,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),spatial,4,405741690,59341eca9038511c3a89b5b5172f64156b1df35772a4624e486936c0d4b24512,1024,sliced_w2,0.1598505956900715,0.1598505956900715,0.2293422926634543,0.2419824543376079,5000,2081,5000.0,800,800,2,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),joint,0,145915730,f5fc8128ff9a2d485b09721c4ac1e7559cb0c14826be8a2d2c4b3ad9cba59a51,1024,sliced_w2,0.0540063935369408,0.0540063935369408,0.966006455409766,0.9899838472811322,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),joint,1,1233712865,72014b42bcfbdac317a3b5f53686f6cf44a6629f242f976e318d9e78a2a40813,1024,sliced_w2,0.0533455656499618,0.0533455656499618,0.966006455409766,0.9899838472811322,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),joint,2,3650356732,a7c4c29265b63ace91912fe4a498e71c12db1a8511bd6530030b67c3f80d8616,1024,sliced_w2,0.0546089313566687,0.0546089313566687,0.966006455409766,0.9899838472811322,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),joint,3,3749898887,a17e16ef91d836c3cdbbecbfabc9e4142c9d0747eae673e64a9ff71368ba451f,1024,sliced_w2,0.0558879448153884,0.0558879448153884,0.966006455409766,0.9899838472811322,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),joint,4,967189306,fe718b851eccf0934e30d97ca1cfe9f9f28f5589ce6992f199a1a4ff62e18c8b,1024,sliced_w2,0.0555425668814971,0.0555425668814971,0.966006455409766,0.9899838472811322,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),state,0,844468328,b60bb8a45ce1c39aedc12d81d80ab9d5e82b12c9977f9bcdaca452684df5e436,1024,sliced_w2,0.0465208877230172,0.0465208877230172,0.8542510622423086,0.8867935186494591,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),state,1,808167128,91be85227c0bd5658f7011aaf4e2504b61d893e45f32542744c0a39e8d0b5c47,1024,sliced_w2,0.0459377422169805,0.0459377422169805,0.8542510622423086,0.8867935186494591,5000,3048,5000.0,800,800,3,zebrafish
