source_obs_id,time_point_processed,Annotation,Batch,CellID
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.63,0.0,reaEGC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.63
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.64,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.64
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.65,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.65
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.66,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.66
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.67,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.67
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.68,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.68
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.70,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.70
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.71,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.71
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.72,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.72
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.73,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.73
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.74,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.74
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.75,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.75
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.77,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.77
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.78,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.78
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.79,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.79
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.83,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.83
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.84,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.84
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.88,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.88
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.89,0.0,MCG,Injury_2DPI_rep1_SS200000147BL_D5,CELL.89
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.91,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.91
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.94,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.94
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.95,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.95
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.96,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.96
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.97,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.97
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.99,0.0,scgnIN,Injury_2DPI_rep1_SS200000147BL_D5,CELL.99
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.102,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.102
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.103,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.103
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.104,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.104
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.107,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.107
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.108,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.108
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.110,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.110
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.111,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.111
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.113,0.0,MCG,Injury_2DPI_rep1_SS200000147BL_D5,CELL.113
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.114,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.114
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.115,0.0,MCG,Injury_2DPI_rep1_SS200000147BL_D5,CELL.115
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.117,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.117
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.118,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.118
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.120,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.120
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.122,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.122
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.123,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.123
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.124,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.124
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.125,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.125
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.126,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.126
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.127,0.0,MCG,Injury_2DPI_rep1_SS200000147BL_D5,CELL.127
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.128,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.128
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.130,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.130
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.132,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.132
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.133,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.133
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.134,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.134
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.135,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.135
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.136,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.136
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.140,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.140
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.141,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.141
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.142,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.142
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.143,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.143
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.144,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.144
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.145,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.145
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.146,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.146
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.148,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.148
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.151,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.151
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.153,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.153
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.155,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.155
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.156,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.156
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.158,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.158
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.160,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.160
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.161,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.161
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.162,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.162
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.164,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.164
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.165,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.165
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.166,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.166
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.174,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.174
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.176,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.176
