dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,input_manifest_sha256,display_name,source_role,source_file_sha256
zebrafish,2,paste,spatial,0.11313126393512926,0.0005270788667975384,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,spateo,joint,0.08541812571216538,0.0009592080110295851,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,spateo,state,0.09035861000161557,0.0002900221627013549,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,spateo,spatial,0.13475455354736604,0.002047289835481605,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,random_independent_pairs,joint,0.0852250201391158,0.0005377505844944746,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,random_independent_pairs,state,0.08070601180820317,0.0004917078969639228,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,random_independent_pairs,spatial,0.1817510143637454,0.00018854205292921785,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,mioflow,state,0.08608800615064896,0.0004136375927640429,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MIOFlow,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,stories,state,0.08829371221007214,0.000398307358586928,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,STORIES,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,2,wot,state,0.0840103250601117,0.0003709798460626525,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Waddington-OT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,CytoBridge-0.015,joint,0.061056142794240056,0.0005485193972303583,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
