source_time,target_time,source,target,count,source_fraction
1.5,2.0,Adipose tissue,Meninges,8,0.12121212121212122
1.5,2.0,Brain,Brain,10564,0.9077161024230967
1.5,2.0,Cartilage primordium,Cartilage primordium,938,0.47397675593734206
1.5,2.0,Cartilage primordium,Connective tissue,619,0.31278423446184944
1.5,2.0,Cartilage primordium,Spinal cord,109,0.05507832238504295
1.5,2.0,Cavity,Cavity,5081,0.5689172545067741
1.5,2.0,Cavity,Connective tissue,1236,0.13839435673496808
1.5,2.0,Cavity,Heart,521,0.05833613257194043
1.5,2.0,Cavity,Brain,366,0.040980853207927444
1.5,2.0,Choroid plexus,Brain,68,0.6476190476190476
1.5,2.0,Choroid plexus,Choroid plexus,16,0.1523809523809524
1.5,2.0,Connective tissue,Connective tissue,3921,0.7445879225218383
1.5,2.0,Connective tissue,Cartilage primordium,320,0.060767185719711354
1.5,2.0,Dorsal root ganglion,Dorsal root ganglion,1074,0.7788252356780275
1.5,2.0,Dorsal root ganglion,Connective tissue,151,0.10949963741841914
1.5,2.0,Epidermis,Epidermis,943,0.3942307692307692
1.5,2.0,Epidermis,Cavity,417,0.17433110367892976
1.5,2.0,Epidermis,Spinal cord,406,0.1697324414715719
1.5,2.0,Epidermis,Connective tissue,299,0.125
1.5,2.0,Facial nerve,Brain,1,0.5
1.5,2.0,Facial nerve,Connective tissue,1,0.5
1.5,2.0,GI tract,Cavity,614,0.5057660626029654
1.5,2.0,GI tract,GI tract,338,0.2784184514003295
1.5,2.0,GI tract,Connective tissue,82,0.06754530477759473
1.5,2.0,Heart,Heart,1474,0.8742586002372479
1.5,2.0,Jaw and tooth,Jaw and tooth,2985,0.8657192575406032
1.5,2.0,Kidney,Kidney,54,0.4864864864864865
1.5,2.0,Kidney,Connective tissue,23,0.2072072072072072
1.5,2.0,Kidney,Cavity,16,0.14414414414414414
1.5,2.0,Liver,Liver,1798,0.8561904761904762
1.5,2.0,Lung,Lung,427,0.7791970802919708
1.5,2.0,Lung,Liver,70,0.12773722627737227
1.5,2.0,Meninges,Meninges,2345,0.6501247574161353
1.5,2.0,Meninges,Brain,754,0.20903798170224563
1.5,2.0,Mesentery,Cavity,73,0.8202247191011236
1.5,2.0,Mesothelium,Cavity,37,0.6851851851851852
1.5,2.0,Mesothelium,Lung,8,0.14814814814814814
1.5,2.0,Mucosal epithelium,Connective tissue,39,0.2746478873239437
1.5,2.0,Mucosal epithelium,Mucosal epithelium,31,0.21830985915492956
1.5,2.0,Mucosal epithelium,Jaw and tooth,29,0.20422535211267606
1.5,2.0,Mucosal epithelium,Muscle,19,0.13380281690140844
1.5,2.0,Muscle,Connective tissue,1309,0.368836291913215
1.5,2.0,Muscle,Muscle,1094,0.30825584671738515
1.5,2.0,Muscle,Spinal cord,550,0.15497323189630882
1.5,2.0,Pancreas,Pancreas,22,0.4782608695652174
1.5,2.0,Pancreas,Cavity,16,0.34782608695652173
1.5,2.0,Smooth muscle,Cavity,13,0.48148148148148145
1.5,2.0,Smooth muscle,Smooth muscle,8,0.2962962962962963
1.5,2.0,Smooth muscle,GI tract,5,0.18518518518518517
1.5,2.0,Spinal cord,Spinal cord,1311,0.8276515151515151
1.5,2.0,Sympathetic nerve,Connective tissue,27,0.7297297297297297
1.5,2.0,Sympathetic nerve,Sympathetic nerve,8,0.21621621621621623
2.0,2.5,Adipose tissue,Adipose tissue,132,0.5076923076923077
2.0,2.5,Adipose tissue,Meninges,71,0.27307692307692305
2.0,2.5,Adipose tissue,Spinal cord,23,0.08846153846153847
2.0,2.5,Blood vessel,Connective tissue,7,0.5384615384615384
2.0,2.5,Blood vessel,Heart,4,0.3076923076923077
2.0,2.5,Brain,Brain,10568,0.8876942461150777
2.0,2.5,Cartilage,Adipose tissue,2,1.0
2.0,2.5,Cartilage primordium,Cartilage primordium,726,0.3793103448275862
2.0,2.5,Cartilage primordium,Connective tissue,550,0.28735632183908044
2.0,2.5,Cartilage primordium,Spinal cord,180,0.09404388714733543
2.0,2.5,Cartilage primordium,Meninges,148,0.07732497387669801
2.0,2.5,Cavity,Cavity,4966,0.6381392958108455
2.0,2.5,Cavity,Connective tissue,605,0.07774351066563866
2.0,2.5,Cavity,Brain,403,0.05178617322025186
2.0,2.5,Cavity,Heart,284,0.03649447442816756
2.0,2.5,Choroid plexus,Choroid plexus,41,0.4270833333333333
2.0,2.5,Choroid plexus,Brain,39,0.40625
