"SYMBOL","mapped"
"Gm43192",FALSE
"Gm43263",TRUE
"Gm43388",FALSE
"Gm43731",FALSE
"Gm43824",FALSE
"Gm44107",FALSE
"Gm44196",TRUE
"Gm44693",FALSE
"Gm44738",FALSE
"Gm44759",FALSE
"Gm44788",TRUE
"Gm4489",TRUE
"Gm44956",FALSE
"Gm45044",FALSE
"Gm45307",FALSE
"Gm45323",FALSE
"Gm45336",FALSE
"Gm45368",FALSE
"Gm45576",FALSE
"Gm45680",FALSE
"Gm45708",TRUE
"Gm45723",TRUE
"Gm45740",FALSE
"Gm45774",FALSE
"Gm45781",FALSE
"Gm4593",TRUE
"Gm46401",TRUE
"Gm46516",TRUE
"Gm47002",FALSE
"Gm47067",FALSE
"Gm47109",FALSE
"Gm47113",TRUE
"Gm47144",FALSE
"Gm47214",FALSE
"Gm47232",FALSE
"Gm47262",FALSE
"Gm47326",FALSE
"Gm47360",FALSE
"Gm47438",TRUE
"Gm47448",FALSE
"Gm47456",FALSE
"Gm47465",TRUE
"Gm47518",FALSE
"Gm47682",FALSE
"Gm47712",FALSE
"Gm47715",TRUE
"Gm47729",FALSE
"Gm47774",FALSE
"Gm47777",FALSE
"Gm47861",FALSE
"Gm47902",FALSE
"Gm47979",FALSE
"Gm48024",FALSE
"Gm48073",FALSE
"Gm48336",FALSE
"Gm48370",FALSE
"Gm48393",TRUE
"Gm4847",TRUE
"Gm48485",FALSE
"Gm48648",FALSE
"Gm48662",FALSE
"Gm48697",FALSE
"Gm48715",FALSE
"Gm48721",FALSE
"Gm48821",FALSE
"Gm48834",FALSE
"Gm48847",FALSE
"Gm4894",TRUE
"Gm48942",FALSE
"Gm49008",FALSE
"Gm49035",FALSE
"Gm49042",FALSE
"Gm49106",FALSE
"Gm49116",FALSE
"Gm49198",FALSE
"Gm49217",FALSE
"Gm49224",FALSE
"Gm49371",FALSE
"Gm498",FALSE
"Gm5092",TRUE
"Gm5460",TRUE
"Gm5524",TRUE
"Gm5570",TRUE
"Gm5608",TRUE
"Gm5833",TRUE
"Gm5907",TRUE
"Gm6416",TRUE
"Gm7145",TRUE
"Gm8739",TRUE
"Gm9733",FALSE
"Gm9871",TRUE
"Gm9921",TRUE
"Gm9961",TRUE
"Gm9962",TRUE
"Gp1bb",TRUE
"Gpx5",TRUE
"Grhl1",TRUE
"Grhl3",TRUE
"Gria3",TRUE
"Grm1",TRUE
"Grm5",TRUE
"Gstm1",TRUE
"Gypa",TRUE
"Gzmk",TRUE
"Hapln2",TRUE
"Hba-a1",TRUE
"Hdc",TRUE
"Hdlbp",TRUE
"Hic1",TRUE
"Hoxb9",TRUE
"Hr",TRUE
"Hrh4",TRUE
"Hsd3b1",TRUE
"Hsh2d",TRUE
"Hspa12b",TRUE
"Htr2c",TRUE
"Htr4",TRUE
"Htra1",TRUE
"Ibsp",TRUE
"Idi2",TRUE
"Ido1",TRUE
"Ifi27l2a",TRUE
"Ifi35",TRUE
"Igf1",TRUE
"Igf2",TRUE
"Igfbp5",TRUE
"Igfn1",TRUE
"Igha",TRUE
"Igkc",TRUE
"Ihh",TRUE
"Il17rc",TRUE
"Il19",TRUE
"Il1rapl1",TRUE
"Il1rapl2",TRUE
"Il23a",TRUE
"Il7",TRUE
"Ina",TRUE
"Inpp5j",TRUE
"Ins2",TRUE
"Iqsec3",TRUE
"Itga9",TRUE
"Itgb4",TRUE
"Jag2",TRUE
"K230010J24Rik",FALSE
"Kbtbd12",TRUE
"Kcnb2",TRUE
"Kcnd2",TRUE
"Kcnip4",TRUE
"Kcnj15",TRUE
"Kcnq5",TRUE
"Kcns1",TRUE
"Kel",TRUE
"Khk",TRUE
"Kif26b",TRUE
"Kir3dl2",TRUE
"Kirrel3",TRUE
"Klc2",TRUE
"Klra17",TRUE
"Klra9",TRUE
"Kncn",TRUE
"Kremen2",TRUE
"Krt13",TRUE
"Krt14",TRUE
"Krt15",TRUE
"Krt17",TRUE
"Krt19",TRUE
"Krt23",TRUE
"Krt25",TRUE
"Krt27",TRUE
"Krt4",TRUE
"Krt5",TRUE
"Krt6a",TRUE
"Krt72",TRUE
"Krtdap",TRUE
"Lama2",TRUE
"Lama3",TRUE
"Lama5",TRUE
"Lamb2",TRUE
"Lgals3",TRUE
"Lingo2",TRUE
"Lipf",TRUE
