stage,stage_label,sender_type,receiver_type,n_sender_cells_mean,n_sender_cells_std,n_sender_cells_min,n_sender_cells_max,n_receiver_cells_mean,n_receiver_cells_std,n_receiver_cells_min,n_receiver_cells_max,edge_count_mean,edge_count_std,edge_count_min,edge_count_max,G_AB_attention_mean_mean,G_AB_attention_mean_std,G_AB_attention_mean_min,G_AB_attention_mean_max,A_AB_mass_attention_mean,A_AB_mass_attention_std,A_AB_mass_attention_min,A_AB_mass_attention_max,edge_predictor_probability_mean_mean,edge_predictor_probability_mean_std,edge_predictor_probability_mean_min,edge_predictor_probability_mean_max,spatial_distance_mean_mean,spatial_distance_mean_std,spatial_distance_mean_min,spatial_distance_mean_max,D_AB_joint_mean,D_AB_joint_std,D_AB_joint_min,D_AB_joint_max,D_AB_spatial_mean,D_AB_spatial_std,D_AB_spatial_min,D_AB_spatial_max,D_AB_state_mean,D_AB_state_std,D_AB_state_min,D_AB_state_max,n_grouping_seeds
4.0,terminal_4,Nervous System,Eye,824.0,0.0,824,824,71.0,0.0,71,71,49.4,4.615192303685731,45,57,1.7967533786579257,0.12488701763269239,1.6876021743866436,1.9854238775041368,0.19708989318955444,0.02351158906974715,0.16890166696836628,0.23253908300787754,0.7932516125331615,0.006635258894753179,0.7837765303750833,0.7990601241588593,0.06747943387864999,0.0013497262726136943,0.06585221465017337,0.06935592881403864,1.0515478534791411,0.11578040596326179,0.9176821764259856,1.2301622823232832,0.09130296753430509,0.014704531877401405,0.0756369385763389,0.11489242147024485,1.0470566156509045,0.11484491717797105,0.9142004513547332,1.2241390969171677,5
4.0,terminal_4,Nervous System,Fast Muscle Cell,824.0,0.0,824,824,274.0,0.0,274,274,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Nervous System,Forebrain,824.0,0.0,824,824,47.0,0.0,47,47,44.2,4.147288270665544,38,48,1.8527275884191632,0.06649912043706213,1.7621646578374661,1.924540175691895,0.23196650317298725,0.02055772875164371,0.2085270649362956,0.26201457257471034,0.7625230172945866,0.02518547579275135,0.7213439031651145,0.7887417986279442,0.06858846664250692,0.001728625452960492,0.06594132997193619,0.07047933861169786,1.3356103284780372,0.1030541019594537,1.2274862360775496,1.490073079482465,0.07421885879580423,0.010648889222604992,0.062466387894424144,0.09048249386051603,1.3329147099085088,0.10271118015676793,1.2251152499324598,1.486523347595191,5
4.0,terminal_4,Nervous System,Hatching Gland,824.0,0.0,824,824,22.0,0.0,22,22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Nervous System,"Musculature System, Yolk Syncytial Layer",824.0,0.0,824,824,438.0,0.0,438,438,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Nervous System,Myotome,824.0,0.0,824,824,128.0,0.0,128,128,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Nervous System,Nervous System,824.0,0.0,824,824,824.0,0.0,824,824,2285.4,74.65788638851221,2200,2380,1.7173615847205366,0.017591299714343762,1.6977218266034668,1.7429420332306407,0.7844930245972792,0.0029438746766634856,0.7817104486512995,0.7879679261331093,0.7923213468884077,0.002058769046271458,0.7894082066958601,0.7944915887938828,0.06481022848127145,0.00042098110899133035,0.06418286223126984,0.06513580362148144,4.581384642788002,0.01434852986771716,4.562312730038567,4.594936713390606,0.2241030629868776,0.005443802452611602,0.21855344380282996,0.23244469990086417,4.573369105930528,0.014265936822817099,4.554343143511042,4.586669774923237,5
4.0,terminal_4,Nervous System,Notochord,824.0,0.0,824,824,171.0,0.0,171,171,19.2,5.449770637375485,11,26,1.0969610512420538,0.0848038688172117,0.9868466420607134,1.1950491553261167,0.028494264716458335,0.0030189561535077826,0.02373046179071892,0.03130322380539731,0.6910750867382564,0.006390333672750241,0.681982858614488,0.697926538331168,0.0641419848498031,0.0071837398962125,0.051869298416105186,0.07033705763104889,0.1461545778186148,0.009823154662530274,0.1326400027899595,0.15599322726822323,0.0057528047991637675,0.0007982604600148976,0.004855022460120325,0.006603990284973159,0.14592062024662392,0.009812973667156874,0.13235809263177475,0.15570625953354267,5
4.0,terminal_4,Nervous System,Otic Vesicle,824.0,0.0,824,824,1.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Nervous System,Pigment Cell,824.0,0.0,824,824,103.0,0.0,103,103,82.6,17.06751299984857,62,100,1.1529294893337703,0.10191515356039824,0.9732379263906337,1.2194672991191187,0.13704386020055415,0.022162207812861018,0.10066008032042857,0.156549701371243,0.7626386700616961,0.0076255137495950705,0.755546941872566,0.7712103523565143,0.06836975549664245,0.0028818721671405034,0.06429417860964613,0.07162193408235908,1.019993682558464,0.1829747958551233,0.7389003760066772,1.2106877969999725,0.012151805960326884,0.003513829748105455,0.00624245375926505,0.015275409129698884,1.0197092799406644,0.18289982313903663,0.7387579529500157,1.2103873887797862,5
