variant,reference,timepoint,velocity_key,n_cells,n_nonzero_pairs,zero_pair_fraction,mean_cosine_raw,median_cosine_raw,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted,meaningful_velocity_cutoff_baseline_p10,n_meaningful_pairs,mean_cosine_meaningful,median_cosine_meaningful,global_vector_cosine_rigid_adjusted,magnitude_spearman,relative_vector_field_rmse,mean_delta_l2_rigid_adjusted
rotate_moderate,baseline_repeat,D10,full,908,908,0.0,0.9501770986060638,0.9908004336244656,0.9412751500581483,0.9824110034232103,0.07197982912175008,791,0.967073440737368,0.9844680134147321,0.9670826943905341,0.9550261205663912,0.256646250712709,0.04562923789149951
rotate_moderate,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.6554246072490427,0.9380967287321301,0.6582581300705624,0.941158758999379,0.002246412270358618,773,0.6990789387113934,0.9501948793276594,0.6621874039083127,0.6515288398717615,0.7505892100512038,0.008091664471133804
rotate_moderate,baseline_repeat,D14,full,1967,1967,0.0,0.9048490518154048,0.9654184615760013,0.9206610413217875,0.9793822062266415,0.16149507359991605,1688,0.9542164374511726,0.9826397170687737,0.9579075355972662,0.9030891013284085,0.30604988863630256,0.09588662588528002
rotate_moderate,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.8429061657169223,0.9708578624804232,0.844588132955328,0.9737584306998883,0.011280512489434383,1674,0.9029356208174455,0.9805162176858977,0.8737449566421913,0.7358930694540604,0.5705987992144822,0.02689449218771296
rotate_strong,baseline_repeat,D4,full,147,147,0.0,0.32447841016130086,0.5365841524241487,0.31481027888897634,0.5287803554653421,0.07811896361619332,130,0.3300429122951555,0.5640376586009779,0.3250017610939216,0.06363856168161451,1.711375322949076,0.34299349860775125
rotate_strong,baseline_repeat,D4,interaction,147,147,0.0,-0.029333700909124176,-0.08030186223269135,-0.036879553501751934,-0.13111651837727892,0.005463815425728138,79,0.05094555831868595,-0.051955073369120724,0.022707268303983508,0.2666737187285132,1.2785086214906503,0.024782003464117165
rotate_strong,baseline_repeat,D7,full,528,528,0.0,0.7272652916950051,0.9147114183873274,0.7023725387464154,0.9189635796037477,0.05534534910194697,459,0.7755083641697676,0.935291906485628,0.8068736501367619,0.5991007016535834,0.6984058271976812,0.11498861466371797
rotate_strong,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.5682158578840799,0.8939627669284572,0.5817068595866354,0.9054711583113715,0.0017844352666525802,259,0.8819110871774389,0.9833019567147913,0.49331608820545214,0.7453165093157442,0.870359576805806,0.0041511858755308466
rotate_strong,baseline_repeat,D10,full,908,908,0.0,0.7502714738670426,0.9436599229121003,0.7411024135341228,0.9219204796259628,0.07197982912175008,735,0.8427770343376793,0.9405335150066471,0.8547394401838296,0.7916276685150946,0.5264855076917216,0.09474640222755215
rotate_strong,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.4689308172625287,0.8275401737534067,0.46656478708672455,0.8003662258262185,0.002246412270358618,746,0.5127161904925296,0.8408270675731527,0.46666305661285157,0.3540815244692252,1.157553012440118,0.01347416056080032
