dataset,target,space,metric,full,no_lr_prior,no_interaction,no_lr_prior_minus_full,no_lr_prior_relative_to_full,no_interaction_minus_full,no_interaction_relative_to_full
mosta,1,spatial,exact_w2,0.121342766375,0.119766811206,0.129332167183,-0.00157595516907,-0.0129876317818,0.00798940080758,0.0658415911079
mosta,1,spatial,sliced_w2,0.0312042785884,0.0399808678591,0.0294898171156,0.00877658927079,0.281262367465,-0.0017144614728,-0.0549431536429
mosta,1,state,exact_w1,1.03503751678,1.01260835167,1.03411837267,-0.0224291651077,-0.0216699054325,-0.000919144102931,-0.000888029745814
mosta,1,state,exact_w2,1.04638147392,1.02375306931,1.04541552145,-0.0226284046109,-0.0216253872749,-0.000965952475003,-0.000923136063734
mosta,1,state,sliced_w2,0.023732945817,0.0308978145779,0.0150325500516,0.0071648687609,0.301895467008,-0.00870039576546,-0.366595694969
mosta,2,joint,exact_w1,1.12470586169,1.07107773654,1.10024153406,-0.0536281251563,-0.0476819113182,-0.0244643276352,-0.0217517561422
mosta,2,joint,exact_w2,1.13816127647,1.08451669369,1.11235926392,-0.0536445827753,-0.0471326725696,-0.02580201255,-0.0226699089869
mosta,2,joint,sliced_w2,0.0401706961479,0.0347502847983,0.0263884089017,-0.00542041134953,-0.134934463908,-0.0137822872462,-0.343093064543
mosta,2,spatial,exact_w1,0.121600481212,0.130993342844,0.106337824516,0.00939286163216,0.077243622217,-0.0152626566961,-0.125514772178
mosta,2,spatial,exact_w2,0.141525405578,0.151746016489,0.125244495758,0.0102206109107,0.0722174995293,-0.0162809098206,-0.115038778756
mosta,2,spatial,sliced_w2,0.0637038734562,0.0572921819709,0.0376596002174,-0.00641169148522,-0.100648377208,-0.0260442732387,-0.408833432345
mosta,2,state,exact_w1,1.00656343465,0.968543340736,0.988447186783,-0.0380200939117,-0.0377721786854,-0.0181162478645,-0.0179981183907
mosta,2,state,exact_w2,1.01652763048,0.979427165183,0.9991492814,-0.0371004652958,-0.036497252198,-0.0173783490787,-0.0170957960784
mosta,2,state,sliced_w2,0.0384798922203,0.032315600199,0.0247676737425,-0.00616429202127,-0.160195147793,-0.0137122184778,-0.356347632144
mosta,3,joint,exact_w1,1.15918619108,1.15671278931,1.15193971158,-0.00247340177928,-0.00213373985845,-0.00724647950527,-0.00625135078472
mosta,3,joint,exact_w2,1.17094555458,1.16927841108,1.16449771218,-0.00166714349253,-0.00142375833446,-0.00644784239687,-0.00550652621863
mosta,3,joint,sliced_w2,0.0216722324758,0.0394390159972,0.0168220137176,0.0177667835214,0.819794801539,-0.00485021875821,-0.22379876017
mosta,3,spatial,exact_w1,0.110150896391,0.116768746539,0.116855772786,0.00661785014836,0.0600798574065,0.00670487639478,0.0608699213031
mosta,3,spatial,exact_w2,0.128327664747,0.135778458462,0.135071101042,0.00745079371485,0.0580606974304,0.00674343629451,0.0525485779531
mosta,3,spatial,sliced_w2,0.0545301435173,0.047871806221,0.0356260485074,-0.00665833729628,-0.122103791899,-0.0189040950099,-0.346672386877
mosta,3,state,exact_w1,1.03769853251,1.04189705529,1.03768717521,0.00419852278025,0.00404599471687,-1.13572977045e-05,-1.09446986275e-05
mosta,3,state,exact_w2,1.04888104286,1.05286340581,1.04876867281,0.00398236294697,0.00379677273613,-0.000112370048274,-0.00010713326267
mosta,3,state,sliced_w2,0.0177624233311,0.0390508534097,0.0151687573329,0.0212884300787,1.1985093296,-0.00259366599818,-0.146019827917
zebrafish,1,joint,exact_w1,1.22535908262,1.1671086805,1.27118039019,-0.0582504021117,-0.0475374140839,0.0458213075707,0.0373941877289
zebrafish,1,joint,exact_w2,1.24640393112,1.18762755884,1.29326113088,-0.0587763722858,-0.0471567609971,0.046857199761,0.0375939120465
zebrafish,1,joint,sliced_w2,0.0273669575387,0.0485321316817,0.0314834300516,0.0211651741429,0.773384257749,0.00411647251289,0.1504176161
zebrafish,1,spatial,exact_w1,0.0528485901267,0.0444468273383,0.059890813893,-0.00840176278843,-0.158977992947,0.00704222376628,0.133252821871
zebrafish,1,spatial,exact_w2,0.0655104309276,0.0554296908338,0.0712390907811,-0.0100807400938,-0.153879923412,0.00572865985354,0.0874465298491
zebrafish,1,spatial,sliced_w2,0.0160999464134,0.0192896663044,0.0170879001452,0.00318971989101,0.198119907303,0.000987953731731,0.0613637900625
zebrafish,1,state,exact_w1,1.16898369956,1.09327348395,1.18508305984,-0.0757102156121,-0.0647658437329,0.0160993602749,0.0137720998855
zebrafish,1,state,exact_w2,1.19111641467,1.11409274111,1.20782542447,-0.0770236735639,-0.0646651096526,0.0167090097928,0.0140280241183
zebrafish,1,state,sliced_w2,0.0276212463554,0.0531583010107,0.0301062721086,0.0255370546553,0.924543893737,0.00248502575326,0.089967908084
zebrafish,2,joint,exact_w1,1.27608552007,1.19719337865,1.31866648219,-0.0788921414238,-0.0618235535023,0.0425809621142,0.0333684235456
zebrafish,2,joint,exact_w2,1.29906179774,1.21965931046,1.34131240048,-0.0794024872881,-0.0611229484432,0.042250602732,0.0325239359708
zebrafish,2,joint,sliced_w2,0.0389024457783,0.0587653930611,0.0427926020825,0.0198629472828,0.510583509222,0.00389015630426,0.0999977308992
