dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,display_name
arista,3,CytoBridge-0.015,joint,0.07474027972887376,0.0025258500471040547,5,CytoBridge
arista,1,exact_ot_displacement,joint,0.0432488470009874,0.0012984157524908724,5,Linear OT displacement
arista,2,exact_ot_displacement,joint,0.06255304682350245,0.0009464835271395798,5,Linear OT displacement
arista,3,exact_ot_displacement,joint,0.06591572458861363,0.0015369501292273775,5,Linear OT displacement
arista,1,moscot,joint,0.05539097219253952,0.0010537813945661414,5,MOSCOT
arista,2,moscot,joint,0.076038272675061,0.0008021749677164365,5,MOSCOT
arista,3,moscot,joint,0.07364430138835185,0.001437866606333239,5,MOSCOT
arista,1,paste,joint,0.05506096875782518,0.0010685236429455725,5,PASTE
arista,2,paste,joint,0.07135617548862247,0.0007874855925412746,5,PASTE
arista,3,paste,joint,0.0728187511218931,0.0013213948876396012,5,PASTE
arista,1,random_independent_pairs,joint,0.06724201227572887,0.0009509174694334899,5,Random interpolation
arista,2,random_independent_pairs,joint,0.08528853300813673,0.0005940750271429864,5,Random interpolation
arista,3,random_independent_pairs,joint,0.08541979960183962,0.0012131773308580699,5,Random interpolation
arista,1,spateo,joint,0.054818251310687315,0.001036961733504806,5,Spateo
arista,2,spateo,joint,0.0754178232700044,0.0007936134273214154,5,Spateo
arista,3,spateo,joint,0.07590358312461364,0.0018407101802871593,5,Spateo
arista,1,stvcr,joint,0.04245584370931156,0.0008972592058649845,5,stVCR
arista,2,stvcr,joint,0.060785115277384505,0.001225127178432331,5,stVCR
arista,3,stvcr,joint,0.07645593100772614,0.002489451379466025,5,stVCR
arista,1,CytoBridge-0.015,spatial,0.033126309184606004,7.765356572354205e-05,5,CytoBridge
arista,2,CytoBridge-0.015,spatial,0.052235822625741224,0.0002652934697340518,5,CytoBridge
arista,3,CytoBridge-0.015,spatial,0.0884180135099619,0.0011957855035115439,5,CytoBridge
arista,1,exact_ot_displacement,spatial,0.03601632898191039,0.00018026739720249506,5,Linear OT displacement
arista,2,exact_ot_displacement,spatial,0.051868856417985575,6.653421637226555e-05,5,Linear OT displacement
arista,3,exact_ot_displacement,spatial,0.0531207439702571,0.0007630450387129841,5,Linear OT displacement
arista,1,moscot,spatial,0.04904554740884098,0.00012573438589201462,5,MOSCOT
arista,2,moscot,spatial,0.07026563024914544,0.00016011960434554197,5,MOSCOT
arista,3,moscot,spatial,0.0530749905816541,0.0005444426595033286,5,MOSCOT
arista,1,paste,spatial,0.21378479634975625,0.00140947655374836,5,PASTE
arista,2,paste,spatial,0.1922252124087071,0.0009671196896073213,5,PASTE
arista,3,paste,spatial,0.1795922014015983,0.0028202717488399606,5,PASTE
arista,1,random_independent_pairs,spatial,0.2289803458192555,0.0010678339069437454,5,Random interpolation
arista,2,random_independent_pairs,spatial,0.23051688956763688,0.000666942605535397,5,Random interpolation
arista,3,random_independent_pairs,spatial,0.21843647115451748,0.0022781466272988977,5,Random interpolation
arista,1,spateo,spatial,0.039779181706926,0.00011035859812592836,5,Spateo
arista,2,spateo,spatial,0.0768669659163302,0.0002374802157083525,5,Spateo
arista,3,spateo,spatial,0.11737378014112998,0.001795034140398511,5,Spateo
arista,1,stvcr,spatial,0.06083366607564494,0.00025940045508774973,5,stVCR
arista,2,stvcr,spatial,0.06243741829655962,0.0003284332048248703,5,stVCR
arista,3,stvcr,spatial,0.08149233130190923,0.0011028555703226411,5,stVCR
arista,1,CytoBridge-0.015,state,0.04756038891126872,0.001030351126949508,5,CytoBridge
arista,2,CytoBridge-0.015,state,0.07098512486918199,0.002108351553239367,5,CytoBridge
arista,3,CytoBridge-0.015,state,0.0738833609582968,0.001670302420659157,5,CytoBridge
arista,1,exact_ot_displacement,state,0.04370926293093238,0.0006504750333666874,5,Linear OT displacement
arista,2,exact_ot_displacement,state,0.065718403717166,0.001219593870850753,5,Linear OT displacement
arista,3,exact_ot_displacement,state,0.06854500199053648,0.0012744057253726594,5,Linear OT displacement
arista,1,mioflow,state,0.06067435537084646,0.0008891463658931466,5,MIOFlow
arista,2,mioflow,state,0.08068293499369839,0.0010098523496639609,5,MIOFlow
arista,3,mioflow,state,0.07852762369541869,0.0010815914478795993,5,MIOFlow
arista,1,moscot,state,0.061422270477732945,0.00047568538823032034,5,MOSCOT
arista,2,moscot,state,0.08412230937223904,0.0009833653228398622,5,MOSCOT
arista,3,moscot,state,0.08104601693902466,0.00105988189230064,5,MOSCOT
arista,1,paste,state,0.0430661604282298,0.0006919548618431807,5,PASTE
arista,2,paste,state,0.06490383455294615,0.0012410607770029737,5,PASTE
arista,3,paste,state,0.06775932636733578,0.0012807588877591484,5,PASTE
arista,1,random_independent_pairs,state,0.053201150050633104,0.0005923802682426695,5,Random interpolation
arista,2,random_independent_pairs,state,0.0759914023798786,0.0009769137918113516,5,Random interpolation
arista,3,random_independent_pairs,state,0.07685940025105088,0.0011531798947204454,5,Random interpolation
arista,1,spateo,state,0.06142398423086174,0.0005407986605321405,5,Spateo
arista,2,spateo,state,0.0847646111970063,0.0010851177567968565,5,Spateo
arista,3,spateo,state,0.07989818687111852,0.001155341248455737,5,Spateo
arista,1,stories,state,0.0655103209515583,0.00044674686209797296,5,STORIES
arista,2,stories,state,0.08988923293560927,0.0007468511481127756,5,STORIES
arista,3,stories,state,0.08131817886348104,0.0010864462846165148,5,STORIES
arista,1,stvcr,state,0.0420094815220454,0.00043636717361413674,5,stVCR
arista,2,stvcr,state,0.062207266086908276,0.0014496886087867313,5,stVCR
arista,3,stvcr,state,0.07562394263197796,0.0018808382232298037,5,stVCR
arista,1,wot,state,0.0566939568635369,0.0005278595949821792,5,Waddington-OT
arista,2,wot,state,0.08010058145723564,0.0010506613525826116,5,Waddington-OT
arista,3,wot,state,0.07608092248584716,0.0011278086837134295,5,Waddington-OT
admouse,1,CytoBridge-0.015,joint,0.02446681995824128,0.00038734007425714575,5,CytoBridge
admouse,1,exact_ot_displacement,joint,0.029943918330906476,0.0003202561916998315,5,Linear OT displacement
