time,pair,score_min,score_geometric_mean,ligand,receptor,ligand_n_subunits,receptor_n_subunits,is_multisubunit,score_difference,absolute_difference,symmetric_relative_difference
0.0,bmp4_bmpr1aa_acvr2aa,1.3328081206199085e-06,1.750988982248901e-06,bmp4,bmpr1aa_acvr2aa,1,2,True,4.181808616289925e-07,4.181808616289925e-07,0.23882552424281822
0.0,bmp4_bmpr1aa_acvr2ab,0.0,0.0,bmp4,bmpr1aa_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1aa_acvr2ba,0.0,0.0,bmp4,bmpr1aa_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1aa_acvr2bb,0.0,0.0,bmp4,bmpr1aa_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1aa_bmpr2b,0.0,0.0,bmp4,bmpr1aa_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ab_acvr2aa,0.0,0.0,bmp4,bmpr1ab_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ab_acvr2ab,0.0,0.0,bmp4,bmpr1ab_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ab_acvr2ba,0.0,0.0,bmp4,bmpr1ab_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ab_acvr2bb,0.0,0.0,bmp4,bmpr1ab_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ab_bmpr2b,0.0,0.0,bmp4,bmpr1ab_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ba_acvr2aa,0.0,0.0,bmp4,bmpr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ba_acvr2ab,0.0,0.0,bmp4,bmpr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ba_acvr2ba,0.0,0.0,bmp4,bmpr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ba_acvr2bb,0.0,0.0,bmp4,bmpr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1ba_bmpr2b,0.0,0.0,bmp4,bmpr1ba_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1bb_acvr2aa,0.0,0.0,bmp4,bmpr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1bb_acvr2ab,0.0,0.0,bmp4,bmpr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1bb_acvr2ba,0.0,0.0,bmp4,bmpr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1bb_acvr2bb,0.0,0.0,bmp4,bmpr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp4_bmpr1bb_bmpr2b,0.0,0.0,bmp4,bmpr1bb_bmpr2b,1,2,True,0.0,0.0,0.0
