pair,time_0.0,time_0.5,time_1.0,time_1.5,time_2.0,time_2.5,time_3.0,time_3.5,time_4.0
COL6A3_ITGA9_ITGB1,0.03226159503461473,0.10663760587588562,0.07596690442848335,0.33583284351559234,0.3095910207851171,1.0,0.2683211641956658,0.7264696498294069,0.0
COL6A3_SDC4,0.11412402968547238,0.019342370782353586,0.013678203021934034,0.22527078659894695,0.19934832852959758,0.9302471399660458,0.36599111369323917,1.0,0.0
COL6A6_CD44,0.0,0.1944974138681414,0.21154922493459924,0.3962051723486435,1.0,0.796790001717391,0.1656189619370419,0.9648135561741066,0.7494958633272913
COL6A6_ITGA10_ITGB1,0.0,0.19376669557477674,0.2631544275817961,0.32362658484423645,0.08153291161235145,0.8533648944615532,0.2942502719272426,1.0,0.328899057576559
COL6A6_ITGA1_ITGB1,0.21929136408448163,0.10219495117513962,0.03129090070074633,0.2894446088595055,0.7703143225340952,1.0,0.7812222089372343,0.6718238243153588,0.0
COL6A6_ITGA3_ITGB1,0.05326720197867498,0.044605396683896584,0.0,0.14637371938193566,0.3737886889103515,0.5835942476818514,0.49397938014912235,1.0,0.26381969656794824
COL6A6_ITGA9_ITGB1,0.0,0.07273065109958443,0.024885907760552592,0.2904387359827351,0.5190969910668747,1.0,0.39703178629543506,0.8333037415769651,0.0878413362317478
COL6A6_SDC4,0.22357051162835206,0.03106409195285453,0.0,0.17285342294088954,0.5155160569571611,0.7742070358458699,0.5284265870316989,1.0,0.13795047114392792
COL9A2_CD44,0.0,0.3250097350588054,0.27083591399392326,0.5659482261298219,0.2777835420104014,0.3415831979429429,0.043032562894130114,0.45171045759631545,1.0
COL9A2_ITGA10_ITGB1,0.0,0.4372799776461947,0.4902867016711798,0.6676365133562755,0.05584057648919492,0.5626638957069973,0.4735244943226631,0.7469805882717002,1.0
COL9A2_ITGA1_ITGB1,0.1438611722444772,0.28567248245250254,0.08696178767614805,0.8929222170100107,0.497355119624009,1.0,0.5383704743245938,0.7529601856603012,0.0
COL9A2_ITGA3_ITGB1,0.0,0.255788588271478,0.10385385991624083,0.4621134441961256,0.09616792994102508,0.351528392140314,0.2604623507024585,0.789085290939956,1.0
COL9A2_ITGA9_ITGB1,0.0,0.5255124821404484,0.36969421218068194,1.0,0.28196264574826374,0.792639123915083,0.3028163406450022,0.7987768389356488,0.8157688115996212
COL9A2_SDC4,0.00992218997172463,0.19873646766892222,0.0,0.635383677256689,0.027899377001862714,0.540365808286055,0.5628272317240407,1.0,0.9160549452532725
COMP_ITGA3_ITGB1,0.0382528196486592,0.24515704525292956,0.2921097742215531,0.2817445007254786,0.0,0.1952662961958587,0.057751445443002834,1.0,0.151339100010392
COMP_SDC4,0.10348866180610468,0.19979354847207417,0.3091232921779923,0.304811802900009,0.04915857858918264,0.22710730761635162,0.09064634373036588,1.0,0.0
CSPG4_ITGA3_ITGB1,0.0,0.02681565726088998,0.05570060044963446,0.16366989287646969,0.22585968404235382,0.5443443472946272,0.2571151097617913,1.0,0.2534295771084902
CXCL12_ACKR3,0.08109821877160515,0.07638156064435425,0.0,0.22865808778408547,0.3383965599535777,1.0,0.646172304777629,0.9358986295975189,0.03518997920249115
CXCL12_CXCR4,0.02426640468430382,0.04364082540954942,0.0,0.27922929458813306,0.3058191969965767,1.0,0.4496065705560507,0.9751611794663249,0.07774602661603383
DLL1_NOTCH3,0.21419958141952872,0.10248982755636857,0.0,0.367940835074972,0.17083055042709433,0.33075326890738815,0.6037968394465164,1.0,0.7658463457238504
DLL4_NOTCH3,0.0,0.29539369325523046,0.20981191072076263,0.585690250283133,0.30771219671514705,0.5117613653301515,0.7835721996495927,1.0,0.808300629848408
EDN1_EDNRA,0.04497218599410242,0.152532024464606,0.0,0.30034317648490716,0.2195180566290562,1.0,0.5054088316649308,0.5655063233392845,0.06615809168274761
EDN1_EDNRB,0.0,0.41366019839928525,0.1500850986805558,0.8518240850797729,0.12017461992050586,0.9748443367493663,0.5186080612796306,0.7622599023312935,1.0
EDN2_EDNRA,0.0587840681164366,0.09169233669950094,0.0,0.13729015567147734,0.1062952826799847,0.23807818630036093,0.3145395618711366,1.0,0.4164390896650544
EDN2_EDNRB,0.04785747394581259,0.0635669615896385,0.0,0.14504614328005933,0.007567874356645235,0.07777033037126352,0.0613810605182841,0.6080820630958502,1.0
EFNA1_EPHA2,0.64764220322977,0.14796153403089943,0.0,0.47886836737235977,0.8756092712712036,0.6995735796998707,0.542736483917101,1.0,0.751215600880265
EFNA1_EPHA3,0.2763390308857217,0.17303205394347204,0.026046958497535227,0.8074998337768861,0.9902834201367471,1.0,0.06874086866220742,0.6816946729237415,0.0
EFNA1_EPHA4,0.5368901965567052,0.2221085596232973,0.0,0.4929825009892433,0.7139773473828449,0.633370976198059,0.3623613739973152,1.0,0.4646903399812634
EFNA1_EPHA5,0.713012137259492,0.14316107509189535,0.0,0.48542784402059513,1.0,0.6830365098879081,0.3723503891040317,0.8396925814258659,0.8312144182122099
EFNA1_EPHA8,0.0,0.4032053738043295,0.33421524155982274,0.9829289993216346,0.6168645872662093,0.5674880192914674,0.15115152063498347,1.0,0.5322169611791278
EFNA3_EPHA2,0.08631521983241909,0.24167039118304995,0.24704020289389148,0.6597011253272194,0.0,0.16455080816275433,0.08976623649193398,1.0,0.8159650583660722
EFNA3_EPHA3,0.03729165626253992,0.5064021568747531,0.4001441092113722,1.0,0.1836911013635568,0.3581879303169205,0.0,0.6706375880307358,0.4064083296617873
EFNA3_EPHA4,0.07440584508503575,0.3379375088962306,0.0980547410725137,0.6570653113999296,0.013261703544996959,0.17394485086382303,0.0,1.0,0.6325650559946046
EFNA3_EPHA5,0.16234891255812084,0.48092157011727416,0.24418111059422012,0.8714431596878686,0.0,0.22313290475750996,0.05114000895971545,0.9813488001016917,1.0
EFNA3_EPHA8,0.0,0.5648500858156295,0.4718094662826804,1.0,0.1283501246706122,0.23652484041603017,0.08340890669581508,0.8397148082843349,0.5808123158796594
EFNA5_EPHA2,0.06601844567208615,0.0,0.0035148002892998295,0.17255050904437802,0.14923216106740403,0.5540794752882193,0.4206943581757336,1.0,0.31240472931451546
EFNA5_EPHA3,0.0,0.10988661861525643,0.07144788076075727,0.4619706159353047,0.2649402320910578,1.0,0.3102990231999896,0.991467999300803,0.1942245981510438
EFNA5_EPHA4,0.09540108834115167,0.0722731108824612,0.0,0.22725557060790644,0.14648606882684725,0.5026561507781186,0.26147690244516963,1.0,0.28975185510829116
EFNA5_EPHA5,0.11122268446870924,0.060265848086279376,0.0,0.2579852350996784,0.1450695346344129,0.638960031068876,0.35090470453800043,1.0,0.3868924058817682
EFNA5_EPHA8,0.0,0.17697965181478292,0.15931283753519374,0.45251912473600914,0.1833533404380949,0.5461044956750327,0.24776834843169288,1.0,0.28994053482604415
EFNA5_EPHB2,0.0,0.06527229962659205,0.06854019215776173,0.20073334197865933,0.18524641691507693,0.5004157816414315,0.4765061340521139,1.0,0.26531955291884635
EFNB1_EPHA4,0.5090516142137828,0.23319398256681018,0.2085304560815936,0.49114783722014294,0.2861948118814013,0.3169110657826211,0.0,1.0,0.5560048715375007
EFNB1_EPHB1,0.10748760982313875,0.17028897516036495,0.134244878056493,0.5126687140702,0.43254540736959807,0.6068868893773038,0.0,1.0,0.17469207247472493
EFNB1_EPHB2,0.01781355650176578,0.026185218171910045,0.3430189611884283,0.2970529529066049,0.17656009155244368,0.14032209378409474,0.0,1.0,0.34139108057173545
EFNB1_EPHB3,0.5055692365472555,0.20876576309564157,0.43512767451082496,0.41340871834560566,0.08642451902429887,0.5293215906208484,0.0,1.0,0.5669708286469496
EFNB2_EPHA4,0.3685774696035306,0.19176988000203096,0.0,0.39802690338859853,0.1783917540546267,0.28233095837553235,0.05849317382865412,1.0,0.6340790634178798
EFNB2_EPHB1,0.08993508965622925,0.1767909904673502,0.0,0.44903110278259983,0.3744418491137903,0.5739804391135045,0.1065414882131659,1.0,0.31289431151057684
EFNB2_EPHB2,0.0,0.04349206466951078,0.02877995184489133,0.2588424283201183,0.10893315454832214,0.16659659964589818,0.13927521062441456,1.0,0.4887907806278479
EFNB2_EPHB3,0.3776927561906656,0.12330540714222413,0.07234693796057878,0.29482427002321,0.044926610489228136,0.44898426387592594,0.0,1.0,0.6421644742597021
EFNB3_EPHA4,0.08196890729310688,0.1218295194143713,0.0,0.2646570500474679,0.10027696323851637,0.3644314603623003,0.1489257300740845,1.0,0.2670448427626013
EFNB3_EPHB1,0.0,0.14211823351809688,0.02296190485819521,0.32424030898034223,0.22440514308537432,0.6607279943454275,0.23801230573843668,1.0,0.1469416399113881
EFNB3_EPHB2,0.0,0.12480644961816281,0.09461202937507784,0.24755091168453192,0.14664487160435835,0.38330721547610297,0.35217451567189817,1.0,0.2636940571850619
EFNB3_EPHB3,0.077004160005049,0.07753880105010963,0.016974204875968735,0.19828786903260762,0.0,0.5450020226052128,0.15528063535784029,1.0,0.24708549520065673
ESAM_ESAM,0.3301782624015448,0.10748593411685313,0.1765017710345175,0.552587102053053,0.21438194378726178,1.0,0.17127921838773788,0.8653696480264063,0.0
